row_id,Facility Name,Area,Type,Contact Phone,Managed by,Cost,Apply hours,Apply Location,Eligibility,Other,Address Line1,Address Line2,City,Postal Code,Province,country
Canada-BC-31-BC-SeniorsServicesSoc-output-133,ROSS PLACE,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-360-7563,Nova Pacific Care Inc,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Smoking Allowed; Pets Allowed; Wheelchair Accessible,2638 Ross Lane,,Victoria,V8T 5M4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-134,BRENTWOOD HOUSE,VANCOUVER ISLAND SOUTH,"RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)
RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility)",250-652-0634,No Manager provided,"Residential Care Private: approx. $2,500-10,000/monthResidential Care Public: 80% of net income",Regular office hours,Directly to building or your local health authority,Age Requirement: 55+; BC Residency,N/A,1167 Stellys Cross Rd.,,Victoria,V8M 1H4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-135,CARLTON HOUSE OF OAK BAY,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-595-1914,Carlton House Limited,Market Rate,Regular office hours,Directly to building; or email: living@carltonhouse.ca; or visit: www.carltonhouse.ca,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,2080 Oak Bay Ave.,,Victoria,V8R 6W2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-136,ROSE MANOR,VANCOUVER ISLAND SOUTH,"SUPPORTIVE HOUSING - RETIREMENT HOMES
SUBSIDIZED HOUSING",250-383-0414,Oak Bay Kiwanis Rose Manor Society,Market Rate30% of monthly gross income,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible,857 Rupert Terrace,,Victoria,V8V 3V5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-137,ST. FRANCIS MANOR BY THE SEA,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-382-7999,No Manager provided,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+,Wheelchair Accessible,1128 Dallas Rd.,,Victoria,V8V 1B9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-138,VICTORIAN AT MACKENZIE,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-381-9496,Holiday Retirement Corporation,Market RateSAFER,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,4000 Douglas St.,,Victoria,V8X 5R5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-139,ABBEYFIELD DUNCAN,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-748-1352,Abbeyfield Duncan Society,Market Rate,Regular office hours,Phone or visit building and ask for the manager; www.abbeyfield.ca,Age Requirement: 55+,Wheelchair Accessible,5905 Indian Rd.,,Duncan,V9L 5L9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-140,ABBEYFIELD HOUSE COURTENAY,VANCOUVER ISLAND NORTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-338-6311,Abbeyfield St.John Society,SAFERMarket Rate,Regular office hours,Directly to manager; or online at www.abbeyfield.ca,Age Requirement: 55+,Wheelchair Accessible,994 8th Street,,Courtenay,V9N 9G1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-141,DEERTRAIL COTTAGE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-746-9641,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building; or email: deertrailcottage@hotmail.com; or visit: http://www.deertrailcottage.ca,No Age Requirement,Pets Allowed; Wheelchair Accessible,1711 Escarpment Way,,Duncan,V9L 5W7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-142,HUCKLEBERRY HOUSE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-748-4757,No Manager provided,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible,4404 Cowichan Lake Rd.,,Duncan,V9L 6J7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-143,SEASIDE LODGE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-245-4151,Echo Group Ltd,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible,3740 Shell Beach Rd.,,Ladysmith,V9G 1K9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-144,SERENITY SENIORS HOME,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-753-0387,Hecate Lodge Society,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,940 Hecate St.,,Nanaimo,V9R 4K8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-145,LONGLAKE CHATEAU,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-756-1411,Holiday Retirement Corporation,SAFERMarket Rate,Regular office hours,Directly to building,Age Requirement: 65+,Pets Allowed; Smoking Allowed; Wheelchair Accessible,3035 Ross Rd.,,Nanaimo,V9T 5S8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-146,ABBEYFIELD PORT ALBERNI,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-724-5054,Abbeyfield Port Alberni,SAFERMarket Rate,Regular office hours,Call or apply to manager; www.abbeyfield.ca,No Age Requirement,Pets Allowed; Wheelchair Accessible,3839 8th Ave.,,Port Alberni,V9Y 8J6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-147,DOVEHILL HOUSE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-416-0332,No Manager provided,Market Rate,Regular office hours,Directly to building; ; www.dovehillhouse.com,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,3326 Creegan Dr.,,Chemainus,V0R 1K0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-148,TABOR COURT,ABBOTSFORD,ASSISTED LIVING - PUBLIC (apply through health authority),604-859-8718,Tabor Home Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,31944 Sunrise Cres.,,Abbotsford,V2T 1N5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-149,CASA LOMA,VANCOUVER ISLAND NORTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-897-1033,Retirement Concepts,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+; BC Residency,Wheelchair Accessible,4646 Headquarters Rd.,,Courtenay,V9N 7J3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-150,IRONWOOD PLACE,VANCOUVER ISLAND NORTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-287-4486,Campbell River & Dist. Assoc. for Community Living,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: under 55 with disability; Age Requirement: 55+,Wheelchair Accessible,1351 Ironwood St.,,Campbell River,V9W 5Z7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-151,THE STEEPLES,VANCOUVER ISLAND CENTRAL,ASSISTED LIVING - PUBLIC (apply through health authority),250-246-3291,Chemainus Health Care Foundation,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,9910 Esplanade St.,,Chemainus,V0R 1K1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-152,HERITAGE PLACE,VANCOUVER ISLAND CENTRAL,ASSISTED LIVING - PUBLIC (apply through health authority),250-723-8895,Alberni Clayoquot Continuing Care Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; Age Requirement: under 55 with disability; Age Requirement: 55+,Wheelchair Accessible,4360 Heritage Lane,,Port Alberni,V9Y 3C4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-153,THE GARDENS AT QUALICUM BEACH,VANCOUVER ISLAND CENTRAL,ASSISTED LIVING - PUBLIC (apply through health authority),250-752-2888,Chartwell REIT,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+; BC Residency,Wheelchair Accessible,673 Fir St.,,Qualicum Beach,V9K 1R1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-154,BRAEHAVEN ASSISTED LIVING,GULF ISLANDS,ASSISTED LIVING - PUBLIC (apply through health authority),250-537-5520,Greenwoods Elder Care Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+,Wheelchair Accessible,137 Blain Rd.,,Salt Spring Island,V8K 0A1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-155,KEEPING HOUSE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-716-1920,No Manager provided,Market Rate,Regular office hours,Directly to building,BC Residency; Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,2263 Jingle Pot Rd.,,Nanaimo,V9R 6W2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-156,LAKESIDE GARDENS,VANCOUVER ISLAND CENTRAL,ASSISTED LIVING - PRIVATE (apply directly to facility),250-756-0799,Lakeside Gardens Ltd.,"Assisted Living Private: approx. $1,500-7,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible; Pets Allowed,4088 Wellesley Ave.,,Nanaimo,V9T 6M2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-157,QUALICUM MANOR,VANCOUVER ISLAND CENTRAL,"RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility)
RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)",250-752-1262,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building or your local health authority,Age Requirement: 55+,Wheelchair Accessible,124 4th Ave.,,Qualicum Beach,V9K 1N6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-158,DOUGLAS CARE COMMUNITY,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-383-9011,Trillium Care Communities,"Assisted Living Private: approx. $1,500-7,000/month",Regular office hours,Directly to building,Age Requirement: under 55 with disability; Age Requirement: 55+,Wheelchair Accessible; Smoking Allowed; Pets Allowed,657 Niagara St.,,Victoria,V8V 2P9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-159,HILLSIDE TERRACE,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-383-1977,Victoria Cool Aid,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; Age Requirement: 55+,Pets Allowed; Smoking Allowed; Wheelchair Accessible,1460 Hillside Ave.,,Victoria,V8T 2B7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-160,JESKEN AERIE,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-384-1423,M'Akola Housing Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,817 Goldstream Ave.,,Victoria,V9B 2X8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-161,SUNRISE SENIOR LIVING,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-383-1366,Sunrise Senior Living,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible; Pets Allowed,920 Humboldt St.,,Victoria,V8V 4W7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-162,ARROWSMITH LODGE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-248-4331,Arrowsmith Rest Home Society,Residential Care Public: 80% of net income,Regular office hours; 250-951-9500,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,266 Moilliet St.,,Parksville,V9P 1M9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-163,WESTHAVEN (WCGH),VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-724-8875,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,3949 Port Alberni Hwy.,,Port Alberni,V9Y 4S1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-164,CERWYDDEN CARE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-746-4432,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,3243 Cowichan Lake Rd.,,Duncan,V9L 1M9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-165,COMORANT ISLAND HEALTH CENTRE,VANCOUVER ISLAND NORTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-974-5585,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,49 School Rd.,,Alert Bay,V0N 1A0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-166,SUNSHINE MANOR,VANCOUVER ISLAND NORTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-286-7111,Sunshine Seniors Care,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible,70 Jones Rd.,,Campbell River,V9W 2X9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-167,BERWICK COMOX VALLEY,VANCOUVER ISLAND NORTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-339-1690,Berwick Retirement Communities Ltd,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building; www.berwickrc.com,Age Requirement: 55+,Wheelchair Accessible,1700 Comox Ave.,,Comox,V9M 4H4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-168,BERWICK ON THE LAKE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-729-7995,Berwick Retirement Communities Ltd,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building; www.berwickrc.com,Age Requirement: 55+,Wheelchair Accessible,3201 Ross Rd.,,Nanaimo,V9T 6L9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-169,DOVER HOUSE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-756-4222,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible,6155 Hammond Bay Rd.,,Nanaimo,V9T 5M4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-170,HARMONY HOUSE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-753-2316,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Smoking Allowed; Wheelchair Accessible; Pets Allowed,2316 Arbot Rd.,,Nanaimo,V9R 6S8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-171,DWELLING PLACE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-756-3008,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible,2630 Labieux Rd.,,Nanaimo,V9T 3N1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-172,WOODGROVE MANOR,VANCOUVER ISLAND CENTRAL,"RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility)
RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)",250-390-1036,Trillium Care Communities,"Residential Care Private: approx. $2,500-10,000/monthResidential Care Public: 80% of net income",Regular office hours,Directly to building or your local health authority,No Age Requirement,Wheelchair Accessible,6304 Metral Dr.,,Nanaimo,V9T 2L8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-173,HALLIDAY HOUSE,VANCOUVER ISLAND CENTRAL,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-248-2835,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible,188 McCarter St.,,Parksville,V9P 2G6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-174,GREENWOODS,GULF ISLANDS,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-537-5561,Greenwoods Elder Care Society,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,133 Blain Rd.,,Salt Spring Island,V8K 1Z9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-175,BERWICK HOUSE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-721-4062,Berwick Retirement Communities Ltd,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building; www.berwickrc.com,Age Requirement: 55+,Wheelchair Accessible,4062 Shelbourne Ave.,,Victoria,V8Z 2A4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-176,GLENWARREN LODGE,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-383-2323,Retirement Residence REIT,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+,Wheelchair Accessible,1230 Balmoral Rd.,,Victoria,V8T 1B3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-177,GATE HOUSE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-743-4913,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible; Pets Allowed,3380 Cobble Hill Rd.,,Victoria,V0R 1L0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-178,PARKWOOD COURT,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-598-1575,Revera Inc.,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible,3000 Shelbourne St.,,Victoria,V8R 4M8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-179,LUTHER COURT MANOR,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-477-7241,Luther Court Society,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,1525 Cedar Hill Cross Rd.,,Victoria,V8P 5M1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-180,ST. CHARLES MANOR,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-595-4255,Trillium Care Communities,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible; Pets Allowed,1006 St. Charles St.,,Victoria,V8S 3P6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-181,HART HOUSE SENIORS REST HOME,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-598-3542,Trillium Care Communities,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Wheelchair Accessible; Pets Allowed,1961 Fairfield Rd.,,Victoria,V8S 1H5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-182,JAMES BAY LODGE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-388-6457,Retirement Residence REIT,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,336 Simcoe St.,,Victoria,V8V 1L2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-183,SHERWOOD HOUSE,VANCOUVER ISLAND CENTRAL,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-715-0116,Society for the Christian Care of the Elderly,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Smoking Allowed; Pets Allowed; Wheelchair Accessible,260 Government St.,,Duncan,,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-184,SOUTHVIEW APARTMENTS,NORTHEAST BC,ASSISTED LIVING - PUBLIC (apply through health authority),250-782-2611,Southview Housing Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority or directly to building,Age Requirement: 55+,Wheelchair Accessible,1111 90th Ave.,,Dawson Creek,V1G 5A3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-185,HERITAGE MANOR II,NORTHEAST BC,ASSISTED LIVING - PUBLIC (apply through health authority),250-262-5204,North Peace Health Council,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed; Smoking Allowed,9819 107th Ave.,,Fort St John,V1J 2P6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-186,COTTONWOOD MANOR,NORTHWEST BC,"ASSISTED LIVING - PUBLIC (apply through health authority)
SUBSIDIZED HOUSING",250-845-2895,Smithers Community Services Association,30% of monthly gross income,Regular office hours,Directly to building manager; 250-845-3770,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed; Smoking Allowed,3322 13th St.,,Houston,V0J 1S0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-187,ALWARD PLACE EXTENSION,NORTHERN INTERIOR,ASSISTED LIVING - PUBLIC (apply through health authority),250-565--5574,Northern Health Authority,Assisted Living Public: 70% of net income,Regular office hours,Northern Health Authority,BC Residency; Age Requirement: 55+,Wheelchair Accessible,2121 6th Ave.,,Prince George,V2M 6W5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-188,CARRINGTON PLACE,OKANAGAN NORTH,"ASSISTED LIVING - PRIVATE (apply directly to facility)
SUPPORTIVE HOUSING - RETIREMENT HOMES",250-545-5704,Chartwell REIT,"Assisted Living Private: approx. $1,500-7,000/monthMarket Rate",Regular office hours,Directly to building; or email: Carringtonplace@chartwellreit.com; or visit: www.chartwellreit.com,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,4651 23rd St.,,Vernon,V1T 9J4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-189,TWEEDSMUIR HOUSE,NORTHERN INTERIOR,ASSISTED LIVING - PUBLIC (apply through health authority),250-692-3294,Lakes District Senior Citizens Hsg Assoc,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+; BC Residency,Wheelchair Accessible,16 4th Ave.,,Burns Lake,V0J 1E1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-190,SKEENA PLACE,NORTHWEST BC,ASSISTED LIVING - PUBLIC (apply through health authority),250-842-5211,Wrinch Memorial Foundation,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,No Age Requirement,Smoking Allowed; Wheelchair Accessible; Pets Allowed,Bag 999 2510 Hwy 62,,Hazelton,V0J 1Y0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-191,BULKLEY VALLEY HOSPITAL,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-847-2611,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,3950 8th Ave.,,Smithers,V0J 2N0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-192,BURNS LAKE HOSPITAL (THE PINES),NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-692-2490,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,PO Box 7500,,Burns Lake,V0J 1E0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-193,G.R. BAKER MEMORIAL HOSPITAL,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-985-5600,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,543 Front St.,,Quesnel,V2J 2K7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-194,KITIMAT GENERAL HOSPITAL,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-632-2121,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,920 Lahakes Blvd.,,Kitimat,V8C 2S3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-195,NORTHERN HAIDA GWAII HOSPITAL,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-626-4700,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,2520 Harrison Ave.,,Masset,V0T 1M0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-196,MCBRIDE HOSPITAL ECU,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-569-2251,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,594 King St.,,McBride,V0J 2E0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-197,JUBILEE LODGE,NORTHERN INTERIOR,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-565-2286,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,1475 Edmonton St.,,Prince George,V2M 1S2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-198,PRINCE RUPERT HOSPITAL,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-624-2171,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1305 Summit Ave.,,Prince Rupert,V8J 2A6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-199,CHARTWELL BIRCHWOOD RETIREMENT RESIDENCE,CHILLIWACK,SUPPORTIVE HOUSING - RETIREMENT HOMES,604-426-0455,Chartwell REIT,Market RateSAFER,Regular office hours,Directly to building manager; email: lgable@chartwellreit.ca; or visit: www.chartwellreit.ca,Age Requirement: 65+,Pets Allowed; Wheelchair Accessible,45650 Patten Ave.,,Chilliwack,V2P 1S4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-200,QUEEN CHARLOTTE HOSPITAL,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-559-4300,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,3209 Oceanview Dr.,,Queen Charlotte,V0T 1S0,BC,Canada
