row_id,Facility Name,Address,City,Postal Code,Province,Country,Community,Licensee,Contact Phone,Total Unresolved Infractions,Approx Start Rate per Month,Beds (AC),Attributes,Link to Inspection Details,facility_type
Canada-SK-24-SK-PersonalCareHome-output-59,Golden Years Manor,2315 Arens Rd,Regina ,S4V 1G3,SK,Canada,Regina,Tara Singh,(306) 569-9920,0,$4000 and up,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/fe94b64b-d874-462f-bcd2-e4bb231baa0,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-60,Parkway Lodge,420 8th Avenue SE,Weyburn ,,SK,Canada,Weyburn,Kevin Gilbert,(306) 842-7868,0,$2200 to $2799,30,Initial Licence Date: 2017 - 07 - 25; Approx Monthly Starting Range: $2200 to $2799,http://personalcarehomes.saskatchewan.ca/Inspection/Details/9ae9978f-e298-411a-b4fc-bc7bd4f9e16,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-61,Simona's Home Ltd.,766/768 Lenore Dr,Saskatoon ,S7K 6A8,SK,Canada,Saskatoon,Simona's Home Ltd.,(306) 249-3183,2,$2200 to $2799,10,Can only admit and care for residents who are able to climb and descend steps independently; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/66e77977-69e6-42a3-9474-df2d73fff53,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-62,Melville Seventh and Main Care Home,703 Main Street,Melville ,S0A 2P0,SK,Canada,Melville,Donna Hotte,(306) 728-3382,0,$1500 to $1799,10,Cannot admit or care for residents who are at risk of wandering; Condition(s) attached; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/fd447a0a-e8b7-4509-be74-475e59d174b,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-63,Good Shepherd Home,4 Heritage Cres,Gravelbourg ,S0H 1X0,SK,Canada,Gravelbourg,Marilyn & Gerald Geoffrion,(306) 648-2448,0,$1500 to $1799,2,Residents must be able to climb and descend steps independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8eb7c448-b8ba-4a7e-b869-a7a8b3e17d8,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-64,Preeceville Personal Care Home,26 3 Ave NW,Preeceville ,S0A 3B0,SK,Canada,Preeceville,Let Our Residents Dance Care Home Inc,(306) 547-3366,0,$1800 to $2199,30,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5f26beea-9e20-42ef-b7d3-64879db9203,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-65,Northern Light Care Homes Inc.,214 Lochrie Crescent,Saskatoon ,S7M 5E4,SK,Canada,Saskatoon,Northern Light Care Homes  Inc.,(306) 934-5573,0,$2200 to $2799,9,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a8dbb005-aaad-45ff-9377-2e288a882ce; http://personalcarehomes.saskatchewan.ca/Inspection/Details/93c97d23-0859-46b1-bfec-77427e8aa1d; http://personalcarehomes.saskatchewan.ca/Inspection/Details/e7875531-6b2f-4f1a-b8bb-61b745584b0,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-66,Joyti Care Home,2135 5th Avenue North,Regina ,S4R 0R9,SK,Canada,Regina,Harjinder Singh,(306) 546-2092,0,$1800 to $2199,9,Can only admit and care for residents who can climb and descend steps independently; Cannot admit and care for residents with heavy care needs; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/6c05f45e-ee24-4762-b9b4-e68e4274430,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-67,Reysiliza M. Macadaeg,327 Wedge Rd,Saskatoon ,S7L 6G1,SK,Canada,Saskatoon,Reysiliza M. Macadaeg,(306) 262-2924,0,$1800 to $2199,14,Can only admit and care for residents in Bedroom #s 8; 9; 10; 11; and 12 who can climb and descend stairs independently. Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/7753b83e-bab0-4e80-9cb9-f150edfccd8; http://personalcarehomes.saskatchewan.ca/Inspection/Details/3c0f4f67-74a6-49ef-9753-61947936413; http://personalcarehomes.saskatchewan.ca/Inspection/Details/f68a04a1-eef8-4fa1-b629-de8a02c1f48,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-68,Evelyn Thomas,18 Carter Crescent,Outlook ,S0L 2N0,SK,Canada,Outlook,Evelyn Thomas,(306) 867-8140,4,$1200 to $1499,5,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/7ce099e4-f805-4e29-bf34-ee79038ce35; http://personalcarehomes.saskatchewan.ca/Inspection/Details/a8c9e7f9-a989-4b85-ba71-0bdf38cc9ff,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-69,Ashton Manor,27 Sidney St,Regina ,S4X 1X1,SK,Canada,Regina,Safia Siasang,(306) 569-7755,0,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d53cfcbf-fef5-47e0-9277-62ae931961c; http://personalcarehomes.saskatchewan.ca/Inspection/Details/835aaf79-9de7-40da-9dfe-2f331f42ce9,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-70,Baraka Care Homes Ltd,270 Meilicke Road,Saskatoon ,S7K 6R1,SK,Canada,Saskatoon,Baraka Care Homes  Ltd. ,(306) 979-0582,0,$2200 to $2799,13,Can only admit and care for residents who can climb and descend steps independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d89ddda2-4906-430b-ae0a-e806461cd91,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-71,Wilfredo Santiago,1449 12 St W,Prince Albert ,S6V 3E7,SK,Canada,Prince Albert,Wilfredo Santiago,(306) 922-4417,0,$1200 to $1499,12,Residents on the lower level must be able to climb and descend steps independently; Cannot admit or care for residents who are at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d3e253d5-e2f6-4720-a188-0dee8be3c23,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-72,Eatonia Oasis Living Inc.,205 2nd Ave W,Eatonia ,S0L 0Y0,SK,Canada,Eatonia,Eatonia Oasis Living Inc.,(306) 967-2447,4,$2200 to $2799,24,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/c49718f6-abfb-4fb6-ad96-e949ce9bd02; http://personalcarehomes.saskatchewan.ca/Inspection/Details/833e830e-ce96-4d56-85b0-d7005d33b6f,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-73,Crystal Flowers,855 Coppermine Crescent,Saskatoon ,S7K 4K9,SK,Canada,Saskatoon,Crystal Flowers,(306) 382-4833,0,$1800 to $2199,10,Can Only Admit residents to lower level who are capable of climbing and descending stairs independently;  Cannot admit Residents at risk of wandering,http://personalcarehomes.saskatchewan.ca/Inspection/Details/bf130a6f-2665-4271-a270-5a883a1d134; http://personalcarehomes.saskatchewan.ca/Inspection/Details/91e9c8e3-5599-4ba9-97a6-05c440f57d2; http://personalcarehomes.saskatchewan.ca/Inspection/Details/cddf67d6-e9a4-47e1-a317-5316ea1897e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-74,Gertrude Down,272 3 Ave,Unity ,S0K 4L0,SK,Canada,Unity,Gertrude Down,(306) 228-3835,1,$1800 to $2199,2,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/ee68adcb-237c-4102-ad18-48d114e8513; http://personalcarehomes.saskatchewan.ca/Inspection/Details/53070fc3-a234-42ae-9aed-4b2eda06565,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-75,Milena Peris,219 Stone Crescent,Saskatoon ,S7M 4J3,SK,Canada,Saskatoon,Milena Peris,(306) 978-9807,0,$1800 to $2199,5,Can only admit and care for residents who can climb and descend stairs independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/1263df60-c1d5-412e-a1b8-378f94d4f28,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-76,Sunnyville Care Home,232 22 St E,Prince Albert ,S6V 1N1,SK,Canada,Prince Albert,Tita Liwan,(306) 970-4344,0,$1800 to $2199,5,Can only admit and care for residents on the lower level of the home who are able to climb and descend stairs independently; Cannot admit and care for residents who are at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/87466324-7192-489c-8e20-52ecb5a7c58; http://personalcarehomes.saskatchewan.ca/Inspection/Details/c54511fb-97a2-4674-9db6-36d9bd34e40,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-77,West Park Crossing Retirement Community,1801 Meier Drive,Moose Jaw ,S6J 0C3,SK,Canada,Moose Jaw,West Park Crossing Retirement Community Inc,(306) 694-4744,6,$2800 to $3499,88,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8d358ac9-2a6d-4311-a496-05e08e08a39; http://personalcarehomes.saskatchewan.ca/Inspection/Details/8d2c9747-6017-4f60-901c-088a390f5d3; http://personalcarehomes.saskatchewan.ca/Inspection/Details/58d94d83-88f2-440b-8d91-b10aac889e8; http://personalcarehomes.saskatchewan.ca/Inspection/Details/05f41041-d9df-41ff-9179-595ebd1a381,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-78,Balicanta Holdings Ltd.,510 Spencer Crescent,Saskatoon ,S7K 7T4,SK,Canada,Saskatoon,Irineo Balicanta & Beatriz Robles,(306) 934-5903,0,$1800 to $2199,12,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/c2e99c59-1ba6-43fa-87d9-39c3676ddfb,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-79,Chateau St. Michael's Ltd.,525 7th Ave SE,Moose Jaw ,S6H 8B6,SK,Canada,Moose Jaw,"LREIT Holdings, 32  Corporation ",(306) 693-2323,1,$2200 to $2799,50,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/7152fe1f-17b4-4942-9cc8-0b5ac05c43d; http://personalcarehomes.saskatchewan.ca/Inspection/Details/b2ffd46f-83fd-4b99-bf3c-4d7a5dbc889,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-80,Parliament Place Care Home,4001 Elphinstone St,Regina ,S4S 3L1,SK,Canada,Regina,Suzan Bentum,(306) 525-3883,0,$2200 to $2799,10,Residents in the basement must be able to ascend and descend stairs independently.  Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/025e1328-1142-419d-b5bb-09656148b9b; http://personalcarehomes.saskatchewan.ca/Inspection/Details/d2a3e339-9001-4c90-8eb2-8337ee033fd,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-81,Applewood Manor Inc.,510 Paton Crescent,Saskatoon ,S7W 0B8,SK,Canada,Saskatoon,Applewood Manor Inc.,(306) 651-2344,0,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d5a7676a-0f88-4569-a697-298850a2ce0,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-82,Beverly Manor,784 4 St E,Shaunavon ,S0N 2M0,SK,Canada,Shaunavon,Annette Hewitt,(306) 297-3512,0,$1500 to $1799,4,Initial Licence Date: 1993 10 25; Approx Monthly Range: $1500 to $1799; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a660c9eb-571c-4ee0-a232-9c45a5ab7e2,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-83,McMurchy Care Home,85 & 87 McMurchy Ave,Regina ,S4R 3G5,SK,Canada,Regina,Mirinae Kim,(306) 545-3441,0,$2200 to $2799,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/2a507399-6dca-4cf6-9982-7ca54c2aceb; http://personalcarehomes.saskatchewan.ca/Inspection/Details/e5a5a11e-572f-444f-a692-a87609c972d,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-84,Bethel Manor,5161 Sherwood Dr,Regina ,S4R 4C1,SK,Canada,Regina,Anu-Oluwa PO Care Home Inc.,(306) 546-3626,0,$2800 to $3499,20,Door on northwest corner between bedrooms #11 & #12 is to be used as emergency exit only and posted accordingly; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e5318e53-331a-49bc-abb8-8543b343b55; http://personalcarehomes.saskatchewan.ca/Inspection/Details/97c22cfe-16af-4fbb-8999-5e3c1351cef,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-85,Oxford Place Inc.,1007 Main St N,Moose Jaw ,S6H 0X1,SK,Canada,Moose Jaw,Oxford Place Inc.,(306) 692-2837,7,$1800 to $2199,20,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/6f7974aa-c6ad-4184-95c9-0089f2d3259; http://personalcarehomes.saskatchewan.ca/Inspection/Details/8a21f7dc-8a68-4518-b109-b1c76ec2982,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-86,Crocus Plains Villa Inc.,1135 Park Ave,Weyburn ,S4H 0K6,SK,Canada,Weyburn,Crocus Plains Villa Inc.,(306) 842-0616,0,$1800 to $2199,30,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a42796d8-19be-4add-af74-82d54b83c4d,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-87,Emyou Mekonnen,438 Avenue Y N,Saskatoon ,S7L 3L2,SK,Canada,Saskatoon,Emyou Mekonnen,(306) 382-8975,2,$1500 to $1799,10,Cannot admit or care for residents who are at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/df55214e-9659-47f1-8650-e4c21c4f976; http://personalcarehomes.saskatchewan.ca/Inspection/Details/69140422-f0eb-4d3c-bbef-38cc3dbde73; http://personalcarehomes.saskatchewan.ca/Inspection/Details/b255a855-fdd0-4bdc-a2d0-95a9e9497e7,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-88,Quality Care Homes Ltd.,1023 Konihowski Rd,Saskatoon ,S7S 1K5,SK,Canada,Saskatoon,Quality Care Homes Ltd. ,(306) 651-0231,2,$2200 to $2799,10,Can only admit and care for residents on the upper level who can climb and descend steps independently; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/51307f4c-5d7d-4eb3-aa07-03c2e5cd56d; http://personalcarehomes.saskatchewan.ca/Inspection/Details/2aefff82-82d6-4709-a75a-795fc1f9f49,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-89,Rowena U. Bacuyag,701 McIntosh Dr,Prince Albert ,S6V 7B3,SK,Canada,Prince Albert,(306) 970-8764,,0,$700 to $999,6,Initial Licence Date: 2017 05 26; Approx Monthly Starting Range: $700 to $999; Cannot admit or care for resident's who are at risk for wandering,http://personalcarehomes.saskatchewan.ca/Inspection/Details/336900ea-71ce-4030-82d1-71c302356bb,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-90,Sturgis & District Care Home Inc.,217 1st Avenue SE,Sturgis ,S0A 4A0,SK,Canada,Sturgis,Sturgis and District Care Home  Inc. ,(306) 548-2233,1,$1500 to $1799,10,Any resident who is admitted to bedroom #6 must be independently mobile with no mobility or respiratory aids and must have sole use of the hall closet outside the bedroom; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/2dcffe66-9cca-448b-b2ee-1e17df1ac41,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-91,Capilano Court,1236 3 Ave NW,Moose Jaw ,S6H 3V3,SK,Canada,Moose Jaw,Hatguill Holdings Limited,(306) 693-4518,1,$1500 to $1799,50,Initial Licence Date: 1991 10 01; Approx Monthly Range: $1500 to $1700; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/890dab9f-abdd-45f3-a34f-f2e76a9b335; http://personalcarehomes.saskatchewan.ca/Inspection/Details/dbf5d1a3-88eb-428b-8f6a-b7fe8ebc860,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-92,Furrows and Faith Retirement Co-operative Limited,406 Main St,Mossbank ,S0H 3G0,SK,Canada,Mossbank,Furrows and Faith Retirement Co-operative Limited,(306) 354-7799,1,$2200 to $2799,19,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/fe406c6c-707e-4641-a37e-7487fc9d9c0; http://personalcarehomes.saskatchewan.ca/Inspection/Details/356427a6-f4d2-4b8f-b10b-c16bc52714e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-93,Barinder Randhawa,102 Hargreaves Green,Saskatoon ,S7R 0C3,SK,Canada,Saskatoon,Barinder Randhawa,(306) 683-9714,0,$1200 to $1499,5,Can only admit residents to lower level of home who can climb and descend stairs independently. Cannot admit or care for residents who are at risk of wandering. Single room; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/489c1c6b-df33-418f-8d6e-bde4ee01b50; http://personalcarehomes.saskatchewan.ca/Inspection/Details/34f38fe4-06b8-4566-ae74-c887339ec01,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-94,Warm 'N' Cozy Care Inc.,743 Atton Crescent,SA,S7W 0K5,SK,Canada,Saskatoon,Warm 'N' Cozy Care Inc,(306) 374-2273,0,$3500 to $3999,15,Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/10da18f0-21d7-44e6-be85-8b5d1603472,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-95,River's Edge Villa,457 Riverside Dr,St. Louis ,S0J 2C0,SK,Canada,St. Louis,Doucet & Sons Villa Inc,(306) 422-9996,0,$1800 to $2199,18,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d38cb2f9-1b65-4f29-a60f-1ecd667bb7d; http://personalcarehomes.saskatchewan.ca/Inspection/Details/45b65dae-6ac6-41b3-98cd-68180f83ec2,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-96,Riverside Terrace (2012) Inc.,915 Saskatchewan Crescent W,Saskatoon ,S7M 0M7,SK,Canada,Saskatoon,Riverside Terrace (2012) Inc. ,(306) 664-1250,0,$2800 to $3499,24,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d0ce466a-ada9-4c2e-add9-0a68f01686b,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-97,Layne Carrick,226 Avenue T N,Saskatoon ,S7L 3B2,SK,Canada,Saskatoon,Layne Carrick,(306) 249-1310,0,$1200 to $1499,5,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents who are at risk of wandering.  Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/170cb7c5-3932-4cbf-ab5c-d6d61668a18,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-98,Kozy Korner Personal Care Home,310 18 Ave E,Regina ,S4N 1E2,SK,Canada,Regina,Monika Wojcik,(306) 585-7444,8,$2800 to $3499,16,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d2d0e9c1-fc02-45ec-a96b-d435e2d1a61; http://personalcarehomes.saskatchewan.ca/Inspection/Details/8efb92c9-7ba7-4184-9a7c-5fd113eccf8,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-99,Nelson Care Home,1336 7 St E,Prince Albert ,S6V 0V1,SK,Canada,Prince Albert,Corporation 101134328 Saskatchewan  Ltd. ,(306) 922-9506,0,$1800 to $2199,27,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/fa5db9ba-a844-4f82-8822-5868d260c66; http://personalcarehomes.saskatchewan.ca/Inspection/Details/41808ddd-9db4-483d-9bed-ba0c19f75ab,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-100,Beverly Johnson,210 Dixon Ave,Kinistino ,S0J 1H0,SK,Canada,Kinistino,Beverly Johnson,(306) 864-2257,6,$1500 to $1799,9,Cannot admit or care for residents who are at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5388d7f6-f88c-4446-b1b8-7d9d26083d6; http://personalcarehomes.saskatchewan.ca/Inspection/Details/1365a81f-4d21-46fc-a74c-e5b6f514000,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-101,Healthy Life Care Inc.,325/327 La Ronge Rd,Saskatoon ,S7K 4S1,SK,Canada,Saskatoon,Healthy Life Care  Inc.,(306) 934-2031,0,$1800 to $2199,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/f0ed46ff-2d2f-4c08-bda4-a2422c48ab4; http://personalcarehomes.saskatchewan.ca/Inspection/Details/40c16153-847f-4ec0-9bdb-d20c68bdddb,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-102,Royal Oaks Care Home,2319 Arens Rd,Regina ,S4V 1G3,SK,Canada,Regina,Lawrence & Shirley Boychuk,(306) 781-3348,0,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/1448ebd4-c7c7-4b35-a777-b99a952d217,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-103,Lac La Ronge Indian Band Health Services Inc.,"519 Elders Road, Bell's",La Ronge ,S0J 1L0,SK,Canada,La Ronge,Lac La Ronge Indian Band Health Services  Inc. ,(306) 425-5255,3,$2800 to $3499,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5f992826-d0b0-4c4c-bb0f-f1a6359f5c1,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-104,CBI Ltd,706 Evergreen Boulevard,Saskatoon ,S7S 1N1,SK,Canada,Saskatoon,CBI Ltd,(306) 952-2101,0,$2800 to $3499,14,Cannot admit or care for residents who are at risk of wandering.  Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/70d0e005-11a7-4278-baae-7e8f9ed62a3; http://personalcarehomes.saskatchewan.ca/Inspection/Details/088323a5-963a-4ba4-b2f8-19e0b722ce0; http://personalcarehomes.saskatchewan.ca/Inspection/Details/9ffb70ec-2ed7-486e-bd8c-70b23d04573,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-105,Rawlinson Crescent Care Home,39 Rawlinson Crescent,Regina ,S4S 6B7,SK,Canada,Regina,Maria Barredo Campbell,(306) 525-4834,0,$2200 to $2799,4,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/1b9c0607-f9e4-4ac3-97fa-69fa688fef5,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-106,Villa Royale Residential Group,1817 Edmonton Ave,Saskatoon ,S7L 0Y1,SK,Canada,Saskatoon,Larden Holdings Ltd. & Cherdale Properties  Ltd. ,(306) 978-3074,0,$2200 to $2799,25,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/b7ce48e5-875e-4dd1-be56-e5f3089c4d5,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-107,The Good Shepherd Villas Inc.,1499 15 Ave E,Prince Albert ,S6V 7S1,SK,Canada,Prince Albert,The Good Shepherd Villas  Inc. ,(306) 922-2346,0,$2200 to $2799,80,Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8a67a53a-9561-4ba0-bfd3-b53174cc3a1,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-108,Karen Elliott,"Lot 1, Block 100 Plan 101835277",Christopher Lake ,S0J 0N0,SK,Canada,Christopher Lake,Karen Elliott,(306) 982-3339,2,$2200 to $2799,10,Must meet Public Health requirements for potable water to the facility; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/ba58e4e8-2e7f-48dd-8604-ff5cd0679c2; http://personalcarehomes.saskatchewan.ca/Inspection/Details/7d07153c-6ad4-4cb0-af76-997ce149d67; http://personalcarehomes.saskatchewan.ca/Inspection/Details/eb28ab0f-74d0-4239-a7f6-215289ce2f0; http://personalcarehomes.saskatchewan.ca/Inspection/Details/c49b6295-cc72-41e2-a5ab-a1ab649cba6,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-109,Gina R. Garcia,214/216 Whitecap Crescent,Saskatoon ,S7M 5C7,SK,Canada,Saskatoon,Gina Garcia,(306) 880-3451,0,$1800 to $2199,15,Can only admit and care for residents to lower level who are able to climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/2652c92e-b75b-4b26-8940-e12109153f3; http://personalcarehomes.saskatchewan.ca/Inspection/Details/0cb648a2-5778-4b92-9e2c-1aac0d69ee4; http://personalcarehomes.saskatchewan.ca/Inspection/Details/e73010c1-ba2e-436f-b31d-4eb833986ce; http://personalcarehomes.saskatchewan.ca/Inspection/Details/503c0bfc-0eef-42c1-9bc0-85d487e966d,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-110,Joanne Lee,402 1 St W,Delisle ,S0L 0P0,SK,Canada,Delisle,Joanne Lee,(306) 921-5342,0,$2800 to $3499,5,Initial Licence Date: 2017 02 03; Approx Monthly Starting Range: $2800 to $3499; can only admit residents to upper floor who are capable to climb and descent stairs independently; Cannot admit residents at risk of wandering,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5a0284d9-2a61-4f7a-a0e3-cd854037840,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-111,Trinity Manor at Stonebridge Inc.,331 Cornish Rd,Saskatoon ,S7T 0T9,SK,Canada,Saskatoon,Trinity Manor at Stonebridge  Inc. ,(306) 373-3135,0,$3500 to $3999,84,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e0d5ab34-21a4-446e-a576-5a285499680; http://personalcarehomes.saskatchewan.ca/Inspection/Details/1dc77f80-be60-43fa-b5e3-c71c08d0a74,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-112,Shady Pines Personal Care Home,36/38 Empress Drive,Regina ,S4T 6M4,SK,Canada,Regina,Jacqueline Auclair,(306) 924-4500,1,$1800 to $2199,8,,http://personalcarehomes.saskatchewan.ca/Inspection/Details/8f78fc72-bb8c-4502-9173-0dc57b4a13f,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-113,Marta Girma & Meseret Megra,87 Dunsmore Dr,Regina ,S4R 7G1,SK,Canada,Regina,Meseret Megra & Marta Girma,(306) 522-0029,2,$2200 to $2799,9,Residents accommodated on the second floor must be able to climb and descend stairs independently; Single rooms; Double rooms,,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-114,Johnnie Jean Buchanan and Bobbi-Jean Buchanan,SW7-42-8W2 RM#395,Porcupine Plain ,S0E 1H0,SK,Canada,Porcupine Plain,Johnnie Jean & Bobbi-Jean Buchanan,(306) 278-2444,0,$1500 to $1799,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/15c84cd4-6d31-447b-a93b-c07c45c810e,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-115,Iver Main Place Inc.,52 3 Ave,Central Butte ,S0H 0T0,SK,Canada,Central Butte,Iver Main Place  Inc. ,(306) 796-2117,0,$1800 to $2199,27,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/d0ab997b-d802-4cf9-bb98-8d13abc3566,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-116,Monalei Holdings Ltd.,222 Litzenberger Crescent,Regina ,S4R 7A3,SK,Canada,Regina,Monalei Holdings Ltd.,(306) 949-0777,0,$2800 to $3499,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e2cb0981-ac79-4db1-b5bd-4d0e2e34946,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-117,Hillsdale Care Home,45 Anderson Ave,Regina ,S4S 4R3,SK,Canada,Regina,Glad Tidings Elder Care  Inc. ,(306) 501-1814,0,$2800 to $3499,10,All residents must be able to climb and descend stairs independently; Single rooms; Double rooms,,Assisted Living
