row_id,Facility Name,Address,City,Postal Code,Phone,Province,Country,Company Name / Name of operators,Number of rental units,Number of rental units in private residence for seniors,Type of residence,Year of opening,Date of possession,Updated on,Member of an association,Certification Date of issue,Offered services,Complete residence information,facility_type
Canada-QC-18-AssistedLiving(Assoc)-output-204,Hébergement l'hirondelle S.E.N.C. (1679),"611, chemin du Lac Sud",Sainte-Mélanie,J0K 3A0,450-889-8125,QC,Canada,Hébergement l'Hirondelle S.E.N.C.,16,16,Résidence à but lucratif,1987,7/1/2014,4/28/2016,RQRA- Regroupement québecois des résidences pour aînés,8/13/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1679,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-205,La Seigneurie Arthur Beauséjour inc. (1682),"373, rue Saint-Thomas",Joliette,J6E 3P9,450-752-2555,QC,Canada,La Seigneurie Arthur Beauséjour inc.,94,94,Résidence à but lucratif,1992,1/6/1992,7/24/2017,RQRA- Regroupement québecois des résidences pour aînés; Programme Qualité Logi-être,2/18/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1682,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-206,Résidence Geneviève (1701),"683, rue Lesage",Saint-Léon-le-Grand,J0K 2W0,819-228-4155,QC,Canada,Lajoie Nynon,9,9,Résidence à but lucratif,1993,6/1/1996,4/13/2017,Aucune,3/18/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1701,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-207,Résidence Racette (1708),"150, 8e Rue",Crabtree,J0K 1B0,450-754-2253,QC,Canada,9273-7717 Québec inc.,19,19,Résidence à but lucratif,1985,1/22/2013,4/27/2016,Programme Qualité Logi-être,6/2/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1708,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-208,Domaine du Bel Âge (1713),"2, rue Dufferin",Thurso,J0X 3B0,819-985-3566,QC,Canada,Francine Ayotte,9,9,Résidence à but lucratif,1988,1/1/1988,12/5/2016,Aucune,12/8/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1713,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-209,Auberge des Aînés (1718),"2185, boulevard l'Ange-Gardien Nord",L'Assomption,J5W 4R7,450-588-7474,QC,Canada,9070-6052 Québec inc.,53,53,Résidence à but lucratif,1998,1/1/1999,5/13/2016,RQRA- Regroupement québecois des résidences pour aînés,6/26/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1718,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-210,Résidence Notre-Dame de Fatima inc. (1721),"402, chemin Gosford Ouest",Sainte-Agathe-de-Lotbinière,G0S 2A0,418-599-2086,QC,Canada,Résidence Notre-Dame de Fatima inc. (organisation),18,18,Organisme à but non lucratif (OBNL ou OSBL),1987,10/18/1987,9/1/2017,RQOH-Réseau québécois des osbl díhabitation,9/16/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1721,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-211,La Villa du Boulevard S.E.N.C. (1724),"85, rue de la Madone",Trois-Rivières,G8T 4Y7,819-373-9173,QC,Canada,Laurendeau Josée; Dufresne Jonath,9,9,Résidence à but lucratif,1996,5/26/2014,4/11/2017,Aucune,1/16/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1724,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-212,"Aux Jardins de la Rivière (Phase 1, 3 et 4) (1725)","395 et 405, rue Saint-Étienne",L'Assomption,J5W 1X6,450-589-2213,QC,Canada,Société de gestion Retco Ltée,117,117,Résidence à but lucratif,2001,1/1/2016,2/3/2017,RQRA- Regroupement québecois des résidences pour aînés,6/4/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1725,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-213,Château Jouvence inc. (1726),"424, rue Notre-Dame",Repentigny,J6A 2T1,450-581-1425,QC,Canada,Château Jouvence inc.,47,47,Résidence à but lucratif,2004,1/1/2004,7/21/2017,Aucune,12/19/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1726,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-214,Résidence Grande-Côte (172),"484, chemin de la Grande-Côte",Saint-Eustache,J7P 1J8,450-473-2810,QC,Canada,9216-3617 Québec inc.,21,21,Résidence à but lucratif,1995,1/11/1995,5/31/2016,RQRA- Regroupement québecois des résidences pour aînés,5/9/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=172,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-215,La Maison au Tournant du Boisé (1730),"287-A, boulevard Industriel",Repentigny,J6A 8B8,450-654-9430,QC,Canada,Groupe Caja inc.,135,134,Résidence à but lucratif,1994,1/8/1994,5/29/2017,RQRA- Regroupement québecois des résidences pour aînés,8/19/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1730,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-216,Manoir Point du Jour (1732),"855, boulevard L'Ange Gardien Nord",L'Assomption,J5W 1P4,450-589-7443,QC,Canada,9355-3071 Québec inc.,49,49,Résidence à but lucratif,1987,4/15/2017,8/16/2017,RQRA- Regroupement québecois des résidences pour aînés,3/18/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1732,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-217,Manoir Marie-Claire inc. (1734),"74, rue Archambault",Repentigny,J6A 1A1,450-582-7628,QC,Canada,Manoir Marie-Claire inc.,55,55,Résidence à but lucratif,1989,6/1/1989,8/10/2017,RQRA- Regroupement québecois des résidences pour aînés,2/18/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1734,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-218,Résidence Le Colibri (1740),"826, rue Notre-Dame",Repentigny,J5Y 1B8,450-582-4002,QC,Canada,Château Jouvence inc.,27,27,Résidence à but lucratif,2005,1/1/2005,7/21/2017,Aucune,12/19/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1740,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-219,Résidence Au Coeur du Bonheur S.E.N.C. (1744),"1195, rue Principale",Saint-Agapit,G0S 1Z0,418-888-4124,QC,Canada,Résidence Au coeur du Bonheur S.E.N.C.,25,25,Résidence à but lucratif,1993,5/1/2015,4/22/2016,Aucune,6/2/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1744,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-220,Résidence St-Laurent (Louiseville) inc. (1751),"470, boul. St-Laurent Est",Louiseville,J5V 1H9,819-228-3618,QC,Canada,Résidence St-Laurent (Louiseville) inc.,53,52,Résidence à but lucratif,1993,1/1/1993,10/20/2016,RQRA- Regroupement québecois des résidences pour aînés,1/12/2016,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1751,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-221,Résidence Michel L'Écuyer (1755),"1515, chemin Montréal ouest",Gatineau,J8M 1V9,819-281-3539,QC,Canada,Michel L'Écuyer; Madeleine Francoe,9,2,Résidence à but lucratif,2007,9/1/2007,6/27/2017,Aucune,2/8/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1755,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-222,Villa du Beaucage (1757),"110, avenue Royale",Louiseville,J5V 1W3,819-228-3726,QC,Canada,Hogue Plante Françoise,4,4,Résidence à but lucratif,1998,9/1/1998,4/13/2017,Aucune,4/9/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1757,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-223,Résidence des Jardins (1767),"79, rue Boucher",Ripon,J0V 1V0,819-983-3181,QC,Canada,Résidence des Jardins (organisation),9,9,Résidence à but lucratif,1994,1/1/1994,5/27/2016,Aucune,7/9/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1767,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-224,Maison Angélique Inc. (1768),"236, rue de la Montagne",Papineauville,J0V 1R0,819-427-6296,QC,Canada,Maison Angélique Inc (organisation),9,9,Résidence à but lucratif,2007,1/11/2007,6/9/2017,Aucune,6/11/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1768,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-225,Résidence des Aînés (1769),"74, 1re Avenue",Plaisance,J0V 1S0,819-427-5811,QC,Canada,Hélène Guindon,13,13,Résidence à but lucratif,1996,11/1/1996,6/8/2017,Programme Qualité Logi-être,10/22/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1769,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-226,Résidence Le Riverain 2016 inc. (1786),"7472, route Marie-Victorin",Lotbinière,G0S 1S0,418-796-3131,QC,Canada,Résidence Le Riverain 2016 inc.,43,43,Résidence à but lucratif,2002,10/14/2016,6/27/2017,RQRA- Regroupement québecois des résidences pour aînés,4/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1786,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-227,La Cité des Étoiles inc. (1788),"236, rue Picard",Sainte-Croix,G0S 2H0,418-926-2808,QC,Canada,La Cité des Étoiles inc. (organisation),64,64,Résidence à but lucratif,1998,1/6/1998,8/30/2017,Aucune,11/20/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1788,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-228,Chambrière Vanier (1797),"370, avenue Plante",Québec,G1M 3L1,418-681-3301,QC,Canada,9312-3313 Québec inc.,56,56,Résidence à but lucratif,1988,2/1/2015,5/26/2017,Aucune,12/23/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1797,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-229,Foyer Belle Vie (1798),"11,Terrasse Martin",Montréal,H9E 1K5,514-626-8990,QC,Canada,George Valis,9,9,Résidence à but lucratif,2000,2/1/2000,3/2/2017,Aucune,8/21/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1798,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-230,Maison pour aînés Aurèle Cloutier (1802),"410, rue Aurèle-Cloutier",Québec,G1M 1J7,418-527-7708,QC,Canada,Gagnon Robert; Goyette MichelCharland Gill,7,7,Résidence à but lucratif,1994,5/17/2006,6/15/2017,Aucune,6/10/2014,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1802,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-231,Résidences Les Jardins SEC/Jardins Champfleury (1805),"1950, avenue Champfleury",Québec,G1J 4M6,418-660-6011,QC,Canada,"Résidences Les Jardins, Société en commandite",148,148,Résidence à but lucratif,1993,1/4/2006,3/8/2017,RQRA- Regroupement québecois des résidences pour aînés,10/6/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1805,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-232,Domaine Boisé Inc. (1808),"265,  boul. Labrosse",Gatineau,J8P 4P4,819-669-0092,QC,Canada,Domaine Boisé inc. (organisation),81,81,Résidence à but lucratif,1990,1/1/1990,3/14/2017,Aucune,6/26/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1808,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-233,Résidence Chénier Saint-Eustache inc. (180),"61, rue Chénier",Saint-Eustache,J7R 1W9,450-491-4491,QC,Canada,Résidence Chénier Saint-Eustache inc.,90,90,Résidence à but lucratif,1988,12/1/2013,3/6/2017,RQRA- Regroupement québecois des résidences pour aînés,5/8/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=180,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-234,Résidence Isabel et Maurice Carle (1813),"212, chemin Principal",Sainte-Thérèse-de-la-Gatineau,J0X 2X0,819-449-4301,QC,Canada,Isabel Fournier Carle; Maurice Aimé Car,8,8,Résidence à but lucratif,2002,1/1/2002,12/5/2016,Aucune,6/15/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1813,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-235,Résidence Montebello (1816),"532, rue Notre-Dame",Montebello,J0V 1L0,819-423-6673,QC,Canada,Daniel Charette; André Delis,50,38,Résidence à but lucratif,2001,7/1/2001,6/20/2017,CORPIQ-Corporation des Propriétaires immobiliers du Québec,2/12/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1816,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-236,Pavillon de Claire (1818),"765, boulevard Wilfrid-Hamel",Québec,G1M 3K9,418-682-8070,QC,Canada,Gestion Logipart,122,122,Résidence à but lucratif,1989,2/5/2013,6/13/2017,RQRA- Regroupement québecois des résidences pour aînés,6/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1818,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-237,Le Manoir St-Amand inc. (1819),"2220, 1re Avenue",Québec,G1L 3N1,418-529-0183,QC,Canada,Le Manoir St-Amand inc.,102,74,Résidence à but lucratif,1990,5/28/1999,3/8/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec; Fédération des loisirs,11/19/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1819,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-238,Villa du Bonheur (181),"95, chemin de la Grande-Côte",Saint-Eustache,J7P 1A5,450-491-3710,QC,Canada,Audrey Asselin; Christopher Gou,14,13,Résidence à but lucratif,1997,1/12/2016,2/7/2017,Aucune,6/6/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=181,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-239,Manoir Sainte-Marie (1822),"156, boulevard Lorrain",Gatineau,J8P 2G2,819-663-5736,QC,Canada,Naji Kamar; Faten Ibrah,39,39,Résidence à but lucratif,1973,3/15/2008,6/8/2017,Programme Qualité Logi-être,1/21/2012,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1822,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-240,Résidence Bernise (1823),"292, rue Notre-Dame",Maniwaki,J9E 2K1,819-449-5399,QC,Canada,Bernise Morin,4,4,Résidence à but lucratif,1998,3/10/1998,7/14/2017,Aucune,10/18/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1823,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-241,Résidence Potvin S.E.N.C. (1826),"1601, 3e Avenue",Québec,G1L 2Y7,418-649-0367,QC,Canada,Jean-François Marcoux et Mylène Morin,17,17,Résidence à but lucratif,1978,3/15/2017,4/19/2017,Aucune,5/13/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1826,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-242,Manoir King David (1834),"5555, avenue Trent",Côte-Saint-Luc,H4W 2V6,514-486-1157,QC,Canada,3217221 Canada inc.,104,104,Résidence à but lucratif,1978,6/13/1997,3/2/2017,RQRA- Regroupement québecois des résidences pour aînés,10/30/2011,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1834,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-243,Résidences Ste-Hénédine (9122-0152 Québec Inc.) (1835),"90, rue Principale",Sainte-Hénédine,G0S 2R0,418-935-3885,QC,Canada,9122-0152 Québec Inc.,28,28,Résidence à but lucratif,1998,10/16/2002,3/7/2017,RQRA- Regroupement québecois des résidences pour aînés,4/23/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1835,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-244,Foyer de Frampton Inc. (1836),"148, rue Principale",Frampton,G0R 1M0,418-479-2970,QC,Canada,Foyer de Frampton Inc. (organisation),32,30,Résidence à but lucratif,1965,2/1/2008,4/12/2016,Aucune,9/16/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1836,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-245,Les Jardins de la Falaise 2016 inc. (1837),"1312, Notre-Dame Nord",Sainte-Marie,G6E 2L7,418-386-1485,QC,Canada,Les Jardins de la Falaise 2016 inc.,10,10,Résidence à but lucratif,1980,7/1/2016,4/21/2017,Aucune,4/29/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1837,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-246,Manoir Centre-Ville (1838),"35, rue Saint-Antoine",Sainte-Marie,G6E 4B3,418-387-9003,QC,Canada,Gestion Emmanuelle Drouin inc.,30,30,Résidence à but lucratif,1989,1/1/2017,4/13/2017,RQRA- Regroupement québecois des résidences pour aînés,3/28/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1838,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-247,Manoir Saint-Édouard Marden (2014) S.E.N.C. (1839),"142, rue Principale",Frampton,G0R 1M0,418-479-2969,QC,Canada,Manoir St-Édouard Marden (2014) S.E.N.C.,14,14,Résidence à but lucratif,1996,3/10/2014,4/20/2016,Aucune,4/27/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1839,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-248,Pavillon Parent (Gestion Par-Audet inc.) (1843),"134, route du Vieux Moulin",Saint-Isidore,G0S 2S0,418-882-6236,QC,Canada,Gestion Par-Audet inc.,16,6,Résidence à but lucratif,1976,7/8/2004,4/13/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,2/26/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1843,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-249,Auberge 5 Saisons (1848),"2035, rue de Fondville",Québec,G1J 1X5,418-663-1010,QC,Canada,Lavoie Carl,25,25,Résidence à but lucratif,1982,9/15/2003,5/10/2016,Aucune,5/19/2015,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1848,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-250,Résidence Dumas-Morin (185),"1011, boulevard Albiny-Paquette",Mont-Laurier,J9L 1M2,819-623-6087,QC,Canada,9171-3198 Québec inc.,8,8,Résidence à but lucratif,1982,1/9/2006,3/24/2017,Aucune,7/9/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=185,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-251,La Villa d'Émilie Inc. (1873),"1568, rue des Oblats",Mont-Joli,G5H 2P1,418-775-3260,QC,Canada,La Villa d'Émilie Inc. (organisation),18,18,Résidence à but lucratif,1994,9/3/1994,4/14/2016,Aucune,11/11/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1873,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-252,La résidence Rubis inc. (1890),"627, rue du Verger",Saint-Elzéar,G0S 2J0,418-386-3830,QC,Canada,La résidence Rubis inc.,9,9,Résidence à but lucratif,1994,12/16/2015,4/13/2017,Aucune,11/27/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1890,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-253,Villa d'Accueil St-Bernard (1891),"560, rue de l'Accueil",Saint-Bernard,G0S 2G0,418-475-6999,QC,Canada,Beauchemin Maxime; Blais Chant,31,31,Résidence à but lucratif,1988,9/13/2013,4/12/2016,RQRA- Regroupement québecois des résidences pour aînés,4/14/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1891,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-254,Le Havre du Trait-Carré inc. (1900),"6880, 1re Avenue",Québec,G1H 2W8,418-624-0965,QC,Canada,Le Havre du Trait-Carré inc.,69,69,Résidence à but lucratif,1994,8/1/2002,3/3/2017,RQRA- Regroupement québecois des résidences pour aînés; CORPIQ-Corporation des Propriétaires immobiliers du Québec,7/25/2011,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1900,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-255,Résidence Lorraine Levesque (1908),"306, rue Principale",Saint-Gabriel-de-Rimouski,G0K 1M0,418-798-4949,QC,Canada,Lorraine Lévesque; Yves Plan,3,3,Résidence à but lucratif,1998,1/1/1998,8/1/2017,Aucune,3/5/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1908,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-256,Résidence Charlesbourg (1909),"4220, rue d'Orsainville",Québec,G1G 1R9,418-628-7729,QC,Canada,9170-5764 Québec inc,63,63,Résidence à but lucratif,1983,11/15/2008,3/8/2017,Aucune,9/1/2011,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1909,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-257,Pavillon Alain Campeau inc. (191),"2718,  rue Adolphe-Chapleau",Mont-Laurier,J9L 2N5,819-623-2199,QC,Canada,Pavillon Alain Campeau inc.,46,29,Résidence à but lucratif,1986,1/7/2009,9/13/2016,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,3/12/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=191,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-258,Résidence et Château de l'Île (1920),"223, rue  Saint-Rédempteur",Gatineau,J8X 4H1,819-778-8717,QC,Canada,Sam Chowieri Family Trust,228,228,Résidence à but lucratif,1988,5/18/1988,8/18/2016,RQRA- Regroupement québecois des résidences pour aînés,4/19/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1920,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-259,Pavillon Sénath inc. (192),"175, 10e Avenue",Ferme-Neuve,J0W 1C0,819-587-4117,QC,Canada,Pavillon Sénath inc.,15,15,Résidence à but lucratif,1985,12/1/2005,7/20/2017,Aucune,7/9/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=192,Assisted Living
