Facility Name,Address,City,Postal Code,Phone,Province,Country,Company Name / Name of operators,Number of rental units,Number of rental units in private residence for seniors,Type of residence,Year of opening,Date of possession,Updated on,Member of an association,Certification Date of issue,Offered services,Complete residence information,facility_type
Résidence Le Long des Berges (2471),"777, 1re Avenue",Québec,G1L 3J6,418-525-8488,QC,Canada,9036-5669 Québec inc.,106,106,Résidence à but lucratif,1997,7/1/1997,5/5/2016,Programme Qualité Logi-être; FADOQ,4/8/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2471,Assisted Living
Résidence Les Berges du Ruisseau (2472),"2404-2408, avenue Saint-Clément",Québec,G1E 1E8,418-628-3534,QC,Canada,Le Groupe immobilier Dévelco inc.,71,71,Résidence à but lucratif,1988,8/1/1988,6/8/2016,RQRA- Regroupement québecois des résidences pour aînés,4/7/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2472,Assisted Living
Résidence Carolle St-Amand (2474),"205,rue Notre-Dame Ouest",Rimouski,G5L 4M6,418-722-7421,QC,Canada,Carolle St-Amand,9,9,Résidence à but lucratif,1988,1/1/1988,6/6/2017,Programme Qualité Logi-être,1/12/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2474,Assisted Living
La Résidence de Mont-Joli (2475),"75, rue des Retraites, bureau 212",Mont-Joli,G5H 1E7,418-775-2554,QC,Canada,La Résidence de Mont-Joli (organisation),45,45,Organisme à but non lucratif (OBNL ou OSBL),2000,1/12/2000,3/27/2017,RQOH-Réseau québécois des osbl díhabitation; Fédération des OSBL d'habitation du Bas-St-Laurent; de la Gaspésie et des iles.,6/30/2017,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2475,Assisted Living
Manoir l'Émeraude (247),"872, rue de la Station",Prévost,J0R 1T0,450-224-4315,QC,Canada,9147-4486 Québec inc.,58,57,Résidence à but lucratif,1985,1/3/2010,3/6/2017,RQRA- Regroupement québecois des résidences pour aînés,7/20/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=247,Assisted Living
Résidence du Lac (2013) inc (2481),"10, rue Rioux",Lac-au-Saumon,G0J 1M0,418-778-3129,QC,Canada,Hélène Brochu,19,19,Résidence à but lucratif,1996,9/1/1996,8/1/2017,Aucune,9/5/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2481,Assisted Living
Résidence Langlois Bellavance Inc. (2482),"368, rue Dr Bergeron",Causapscal,G0J 1J0,418-756-5744,QC,Canada,"Résidence Langlois - Bellavance, Inc. (organisation)",25,25,Résidence à but lucratif,1996,1/1/1996,8/1/2017,Aucune,5/7/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2482,Assisted Living
Résidence Marie Antoinette (2483),"69, rue St-Denis",Causapscal,G0J 1J0,418-756-6050,QC,Canada,Résidence Marie Antoinette,14,14,Résidence à but lucratif,1990,5/1/2017,5/1/2017,Aucune,6/22/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2483,Assisted Living
Foyer Bienvenue Chez-Vous (2485),"129, rue de Riverin",Matane,G4W 1G1,418-562-4889,QC,Canada,Êve Gendron; Dave Gendr,9,9,Résidence à but lucratif,2005,10/29/2005,4/13/2016,Aucune,5/28/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2485,Assisted Living
Foyer Le Repos (2488),"285, rue de la Fabrique",Matane,G4W 1Z6,418-566-6809,QC,Canada,Madeleine Carrier,8,8,Résidence à but lucratif,1970,7/1/2003,4/29/2016,Aucune,8/31/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2488,Assisted Living
Résidences Les Jardins SEC/Jardins Katerina (2491),"1, boulevard Johnny-Parent",Québec,G2B 1S7,418-843-1940,QC,Canada,"Résidences Les Jardins, SEC",91,91,Résidence à but lucratif,1987,6/16/1987,5/19/2016,RQRA- Regroupement québecois des résidences pour aînés,6/6/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2491,Assisted Living
Résidence St-Rodrigue (2493),"190, 51e Rue Est",Québec,G1H 2J9,418-626-4181,QC,Canada,9317-8267 Québec inc.,9,5,Résidence à but lucratif,1983,4/29/2015,3/9/2017,Aucune,5/8/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2493,Assisted Living
La Résidence Le Bonheur D'Anny (249),"340, montée de l'Église",Saint-Colomban,J5K 2H9,450-504-2804,QC,Canada,"Venne, Annie",4,4,Résidence à but lucratif,1991,1/9/2014,6/28/2016,Aucune,4/3/2011,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=249,Assisted Living
Résidence du Boulevard (2506),"208, Boulevard Perron",Sainte-Félicité,G0J 2K0,418-733-4762,QC,Canada,9159-4853 Québec Inc.,8,8,Résidence à but lucratif,1997,8/16/2005,4/13/2016,Aucune,1/5/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2506,Assisted Living
S.E.C. Place Alexandra (Beauport) (2508),"2475, rue Alexandra",Québec,G1E 7A8,418-666-7636,QC,Canada,S.E.C. Place Alexandra,190,190,Résidence à but lucratif,1987,10/1/1987,6/14/2016,Aucune,6/17/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2508,Assisted Living
Chartwell Oasis St-Jean (2521),"1050, rue Stéfoni",Saint-Jean-sur-Richelieu,J3A 1T5,450-349-5861,QC,Canada,CHS L'Oasis St-Jean inc.,318,316,Résidence à but lucratif,1989,6/21/1989,8/11/2016,RQRA- Regroupement québecois des résidences pour aînés,11/16/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2521,Assisted Living
Domaine de l'Oasis (2522),"160, rue de L'église",Henryville,J0J 1E0,450-299-2446,QC,Canada,9264-2586 Québec Inc.,24,24,Résidence à but lucratif,1980,9/7/2012,7/6/2016,RQRA- Regroupement québecois des résidences pour aînés,1/26/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2522,Assisted Living
Domaine Vivr-Ans-Semble Inc. (2524),"150, 8e Avenue",Saint-Jean-sur-Richelieu,J2X 1K9,450-346-5036,QC,Canada,Domaine Vivr-Ans-Semble Inc.,58,58,Résidence à but lucratif,1990,9/7/2004,12/20/2016,Aucune,10/2/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2524,Assisted Living
Résidence Ange-Marie (253),181-A rue Brière,Saint-Jérôme,J7Y 3A7,450-432-8327,QC,Canada,Yee Paul,26,26,Résidence à but lucratif,1976,8/3/2007,3/14/2017,RQRA- Regroupement québecois des résidences pour aînés; FADOQ,12/9/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=253,Assisted Living
Résidence Iberville 2008 (2546),"395, 5e Avenue",Saint-Jean-sur-Richelieu,J2X 1V2,450-346-5878,QC,Canada,9192-7020 Québec Inc.,110,110,Résidence à but lucratif,1989,3/15/2008,7/15/2016,Aucune,6/18/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2546,Assisted Living
Résidence Jacques-Cartier Inc. (2548),"485, rue Jacques-Cartier Sud",Saint-Jean-sur-Richelieu,J3B 4K7,450-357-0030,QC,Canada,Résidence Jacques-Cartier Inc.,101,101,Résidence à but lucratif,2000,3/15/2016,7/25/2017,RQRA- Regroupement québecois des résidences pour aînés; CORPIQ-Corporation des Propriétaires immobiliers du Québec,3/7/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2548,Assisted Living
Résidence Chez-soi (254),"2025, rue Fournier",Saint-Jérôme,J7Y 4J6,450-438-9552,QC,Canada,9350-5402 Québec inc.,22,22,Résidence à but lucratif,1987,2/1/2017,2/23/2017,Aucune,7/16/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=254,Assisted Living
Résidence pour aînés Nicole et Maurice Montpas (2554),"484, rue de la Neuve-France",Saint-Jean-sur-Richelieu,J3B 1A5,450-359-6688,QC,Canada,Nicole Montpas; Maurice Montp,8,8,Résidence à but lucratif,1995,8/5/1995,7/19/2017,Aucune,7/18/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2554,Assisted Living
Résidence Mgr Forget St-Jean (2555),"222, rue Jacques-Cartier Nord",Saint-Jean-sur-Richelieu,J3B 6T4,450-358-2090,QC,Canada,9293-9495 Québec Inc.,88,88,Résidence à but lucratif,1992,1/25/2016,6/1/2016,RQRA- Regroupement québecois des résidences pour aînés,2/20/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2555,Assisted Living
Résidence l'Athanasois Inc. (2557),"175, 9e Avenue",Saint-Jean-sur-Richelieu,J2X 1J7,450-358-3946,QC,Canada,Résidence l'Athanasois Inc.,18,18,Résidence à but lucratif,1987,4/1/2015,8/9/2017,Aucune,6/30/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2557,Assisted Living
Résidence Carole Bédard (2561),"255, 12e Avenue",Saint-Jean-sur-Richelieu,J2X 1E2,450-358-1385,QC,Canada,Carole Bédard,4,4,Résidence à but lucratif,2002,1/1/2002,8/24/2017,Aucune,2/25/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2561,Assisted Living
La Résidence familiale d'Argenteuil (2574),"44, rue D'Argenteuil",Saint-Jean-sur-Richelieu,J2W 1N4,450-348-3837,QC,Canada,"Hébert, Christiane",8,8,Résidence à but lucratif,2000,6/28/2013,7/18/2017,Aucune,11/24/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2574,Assisted Living
Pavillon Léa-Rose inc. (2579),"121, rue Principale",Saint-Lazare-de-Bellechasse,G0R 3J0,418-888-2384,QC,Canada,Pavillon V. Audet inc. (organisation),21,7,Résidence à but lucratif,1968,1/1/1986,2/26/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,1/20/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2579,Assisted Living
La Balise (Résidence pour aînés) (2580),"324, rue Thibault",Matane,G4W 2W6,418-562-6753,QC,Canada,Claude Fortin,9,9,Résidence à but lucratif,2001,7/30/2001,2/1/2017,Aucune,8/1/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2580,Assisted Living
Le Carré St-Jérôme (2583),"100, rue St-Pierre",Matane,G4W 2B5,418-562-5533,QC,Canada,Le Carré St-Jérôme ( 2962-2230 Québec Inc),48,48,Résidence à but lucratif,1993,1/3/1993,6/6/2017,RQRA- Regroupement québecois des résidences pour aînés,12/17/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2583,Assisted Living
La Villa Des Chênes (2585),"30, rue St-Pierre",Saint-Michel-du-Squatec,G0L 4H0,418-855-2266,QC,Canada,Guylaine Lebel,9,9,Résidence à but lucratif,1995,1/1/1995,4/29/2016,Aucune,3/2/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2585,Assisted Living
La Maison du Lac Témiscouata Inc. (2586),"647, rue Mgr-Gagnon",Témiscouata-sur-le-Lac,G0L 1X0,418-899-6352,QC,Canada,"La Maison du Lac, Enr. (organisation)",17,11,Résidence à but lucratif,1996,10/16/2015,4/26/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,5/20/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2586,Assisted Living
Villa des Basques (2587),"85, rue Père-Nouvel C.P. 40",Trois-Pistoles,G0L 4K0,418-851-4042,QC,Canada,9089-4056 Québec Inc,105,90,Résidence à but lucratif,1992,10/1/1992,7/19/2017,Aucune,12/21/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2587,Assisted Living
Auberge Rose de la Rivière N.J.R. (2588),"355, rue Principale",Dégelis,G5T 1L2,418-853-5132,QC,Canada,Auberge  Rose de la Rivière N.J.R. (organisation),29,29,Résidence à but lucratif,1989,1/1/1989,4/26/2016,Aucune,3/2/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2588,Assisted Living
9066-2768 Québec inc. Villa de Cabano (2589),"844, rue Commerciale Nord",Témiscouata-sur-le-Lac,G0L 1E0,418-854-1155,QC,Canada,9066-2768 Québec inc.  Villa de Cabano (organisation),20,20,Résidence à but lucratif,1998,8/12/1998,5/5/2016,RQRA- Regroupement québecois des résidences pour aînés,4/21/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2589,Assisted Living
Résidence du Domaine (258),"487, rue du Domaine",Saint-Jérôme,J7Z 4C9,450-431-6768,QC,Canada,Simouri Rabia,8,8,Résidence à but lucratif,1988,12/6/2007,9/13/2016,Aucune,12/9/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=258,Assisted Living
Résidence Marie Lyne (2592),"2329, Commerciale Sud",Témiscouata-sur-le-Lac,G0L 1X0,418-899-6681,QC,Canada,Pelletier Lyne,9,9,Résidence à but lucratif,1995,5/22/2013,6/7/2017,Aucune,12/22/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2592,Assisted Living
"Résidence Dégelico, Inc. (2594)","387, Ave Princpale",Dégelis,G5T 1L3,418-853-9033,QC,Canada,"Résidence Dégelico, Inc. (organisation)",38,28,Résidence à but lucratif,1994,1/8/1994,4/14/2016,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,3/4/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2594,Assisted Living
Villa St-Honoré inc. (2597),"4,rue de l`Église",Saint-Honoré-de-Témiscouata,G0L 3K0,418-497-2655,QC,Canada,Villa St-Honoré inc. (organisation),19,19,Organisme à but non lucratif (OBNL ou OSBL),1988,9/12/1988,5/13/2016,RQOH-Réseau québécois des osbl díhabitation; Regroupement des OSBL d'habitation  BSL/GIM,3/4/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2597,Assisted Living
L'Oasis des Aînés de Saint-Eusèbe (2600),"110, rue Deschamps",Saint-Eusèbe,G0L 2Y0,418-899-1661,QC,Canada,L'Oasis des Aînés de Saint-Eusèbe (organisation),9,9,Organisme à but non lucratif (OBNL ou OSBL),2001,5/1/2001,3/27/2017,RQOH-Réseau québécois des osbl díhabitation; Programme Qualité Logi-être; FOHBGI,5/21/2015,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2600,Assisted Living
"Chartwell, Manoir et Cours de l'Atrium, résidence pour retraités (2603)","545, rue Francis-Byrne",Québec,G1H 7L3,418-626-6060,QC,Canada,CSH-HCN Lessee (l'Atrium) LP,617,617,Résidence à but lucratif,1996,6/28/2001,7/27/2017,RQRA- Regroupement québecois des résidences pour aînés,5/20/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2603,Assisted Living
Résidence Lanoyée (2604),"3, rue Principale",Notre-Dame-des-Monts,G0T 1L0,418-439-3908,QC,Canada,Résidence Lanoyée,10,10,Organisme à but non lucratif (OBNL ou OSBL),1997,5/1/1997,3/9/2017,RQOH-Réseau québécois des osbl díhabitation; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,5/19/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2604,Assisted Living
Corporation des Patriotes inc. (2607),"21, rue Vermont, bureau 2018",Clermont,G4A 1H7,418-439-1665,QC,Canada,Corporation des Patriotes inc.,16,16,Organisme à but non lucratif (OBNL ou OSBL),2002,1/1/2002,11/28/2016,RQOH-Réseau québécois des osbl díhabitation,2/13/2015,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2607,Assisted Living
Les Jardins St-Sacrement (2608),"1300, rue Garnier",Québec,G1S 4Y1,418-681-3813,QC,Canada,Les Habitations Populaires St-Sacrement,73,69,Organisme à but non lucratif (OBNL ou OSBL),1999,12/1/1999,2/20/2017,Programme Qualité Logi-être,6/23/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2608,Assisted Living
Résidence Le Grenier (260),"10070, rue Charton",Montréal,H2B 2C6,514-389-8071,QC,Canada,Réal Leboeuf,24,24,Résidence à but lucratif,1987,7/1/1987,7/10/2017,Aucune,6/23/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=260,Assisted Living
Résidence d'accueil Charlevoisine 2000 (2610),"337, rue Saint-Laurent",Saint-Siméon,G0T 1X0,418-638-5131,QC,Canada,Gaétane Savard,6,6,Résidence à but lucratif,2000,7/1/2000,3/9/2017,Aucune,2/9/2014,Repas; Assistance personnelle; Aide domestique,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2610,Assisted Living
Auberge des Aînés (9104-0832 Québec Inc.) (2612),"100, rue du Foyer",Sainte-Justine,G0R 1Y0,418-383-5576,QC,Canada,9104-0832 Québec Inc.,32,31,Résidence à but lucratif,1999,5/1/2007,4/13/2017,Aucune,1/13/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2612,Assisted Living
Résidence Ancestrale (2613),"93, rue Principale",Sainte-Sabine,G0R 4H0,418-383-5039,QC,Canada,9312-9872 Québec inc.,7,7,Résidence à but lucratif,1995,12/1/2014,4/18/2016,Aucune,11/4/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2613,Assisted Living
Résidence L'Arc-en-Ciel (2614),"285, rue Principale",Sainte-Justine,G0R 1Y0,418-383-5810,QC,Canada,Gaétan Girard,11,11,Résidence à but lucratif,1996,1/9/2007,4/12/2016,Aucune,6/17/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2614,Assisted Living
Résidence L'Arc-en-Ciel des Etchemins (2616),"283, 2e Avenue",Lac-Etchemin,G0R 1S0,418-625-5625,QC,Canada,9079-5329 Québec inc.,17,17,Résidence à but lucratif,1991,8/1/1999,8/1/2016,Aucune,10/7/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2616,Assisted Living
Résidence du Palais inc. (261),"522, rue du Palais",Saint-Jérôme,J7Z 1Y4,450-432-9296,QC,Canada,Résidence du Palais inc.,10,10,Résidence à but lucratif,1987,1/1/1987,9/13/2016,Aucune,9/5/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=261,Assisted Living
Résidence La Belle Époque (2621),"3335, rue Clémenceau",Québec,G1C 7G8,418-663-6563,QC,Canada,Poly-Gestion Beauport inc.,47,47,Résidence à but lucratif,1991,9/1/1991,7/20/2017,Aucune,7/3/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2621,Assisted Living
Chartwell Ste-Geneviève Résidence pour retraités (2624),"4855, route Sainte-Geneviève",Québec,G2B 4W3,418-842-4085,QC,Canada,S.E.C. Résidence Ste-Geneviève,198,198,Résidence à but lucratif,1987,9/1/2004,6/15/2017,RQRA- Regroupement québecois des résidences pour aînés,6/20/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2624,Assisted Living
Résidence Au Gré du Temps (2630),"989, rue Saint-Édouard",Saint-Urbain,G0A 4K0,418-639-9990,QC,Canada,Corporation au Pied des Monts inc.,11,11,Organisme à but non lucratif (OBNL ou OSBL),2001,1/15/2001,3/9/2017,RQOH-Réseau québécois des osbl díhabitation,5/1/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2630,Assisted Living
"Résidence A. Parent, Inc. (2633)","97, rue St-Charles",Saint-Louis-du-Ha! Ha!,G0L 3S0,418-854-1779,QC,Canada,"Résidence A. Parent, Inc. (organisation)",36,36,Organisme à but non lucratif (OBNL ou OSBL),1994,11/1/1994,3/30/2017,RQOH-Réseau québécois des osbl díhabitation,3/9/2015,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2633,Assisted Living
Résidence Château Grandville (2637),"94, rue Lafontaine",Rivière-du-Loup,G5R 3A1,418-860-2582,QC,Canada,Résidence Château Grandville (organisation),43,43,Résidence à but lucratif,1980,4/1/2002,4/20/2016,Aucune,6/10/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2637,Assisted Living
Résidence Place de l'Étoile Inc. (2640),"526, Boulevard Hébert",Saint-Pascal,G0L 3Y0,418-492-9456,QC,Canada,Résidence Place de l'Étoile Inc. (organisation),29,29,Résidence à but lucratif,1988,3/12/2013,4/27/2017,Aucune,12/18/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2640,Assisted Living
"Résidence Charles-Oscar,inc. (2642)","504, rue Tessier",Rimouski,G5L 4L9,418-724-4920,QC,Canada,"Résidence Charles-Oscar, Inc. (organisation)",62,62,Résidence à but lucratif,1990,7/1/1990,7/4/2016,RQRA- Regroupement québecois des résidences pour aînés; CORPIQ-Corporation des Propriétaires immobiliers du Québec,6/11/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2642,Assisted Living
Manoir Normandie (2645),"556, rue St-Germain-Est",Rimouski,G5L 1E9,418-723-1616,QC,Canada,Capital Transit inc.,83,83,Résidence à but lucratif,1998,1/1/1998,4/18/2016,Aucune,5/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2645,Assisted Living
Résidence Duvernay (264),"33, rue Duvernay",Saint-Jérôme,J7Y 2Z5,450-438-5027,QC,Canada,RÉSIDENCE RENCAM INC.,11,11,Résidence à but lucratif,1963,5/16/2016,6/15/2016,Aucune,3/18/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=264,Assisted Living
Résidence Héritage (2663),"2040, rue Henri-Cyr, bureau 102",Longueuil,J3Y 8X5,450-445-4052,QC,Canada,9147-7133 Québec inc.,45,45,Résidence à but lucratif,1987,3/15/2017,7/18/2017,RQRA- Regroupement québecois des résidences pour aînés,9/12/2016,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2663,Assisted Living
La Villa Rose des Vents (2666),"151, St-Jean-Baptiste  C.P. 4",L'Isle-Verte,G0L 1K0,418-898-2152,QC,Canada,Corporation Les Amis des Aînés de L'Isle Verte,11,11,Organisme à but non lucratif (OBNL ou OSBL),1993,11/24/1993,6/6/2017,RQOH-Réseau québécois des osbl díhabitation,1/14/2015,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=2666,Assisted Living
