Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,Phone,Latitude,Longitude
Emerson Point,ALP,1355 Shannon Dr,,Iowa City,52246,IA, USA,Johnson (52),41.6467203,-91.5813642
Estabrook Lodge Assisted Living,ALP,2302 Rick Collins Way,,Eldora,50627,IA, USA,Hardin (42),42.357247,-93.111102
Faith Home Assisted Living,ALP,912 Davidson Dr,,Osage,50461,IA, USA,Mitchell (66),43.27664350000001,-92.8084652
Floyd Place,ALP,403 C St,,Sergeant Bluff,51054,IA, USA,Woodbury (97),42.40410910000001,-96.3630237
Forest Plaza AL,ALP,635 IA-9,,Forest City,50436,IA, USA,Winnebago (95),43.27169999999999,-93.6280472
Franken Manor,ALP,527 N Main Ave,,Sioux Center,51250,IA, USA,Sioux (84),43.08293099999999,-96.17635650000001
Gardens @ Cherokee,ALP,1610 IA-3,,Cherokee,51012,IA, USA,Cherokee (18),42.7706962,-95.55117419999999
Gardens Assisted Living,ALP,1000 W Washington St,,Jefferson,50129,IA, USA,Greene (37),42.017314,-94.38715099999999
Garnett Place,ALP,202 35th St Dr SE,,Cedar Rapids,52403,IA, USA,Linn (57),42.01485,-91.6320269
Golden Horizons,ALP,Byron Godbersen Dr,,Ida Grove,51445,IA, USA,Ida (47),42.3358532,-95.4633542
Good Samaritan Society - Timber Ridge,ALP,2 Oak Ridge Rd,,Ottumwa,52501,IA, USA,Wapello (90),41.003602,-92.46095989999999
Grand JiVante,ALP,1008 2nd Ave,,Ackley,50601,IA, USA,Hardin (42),42.5521992,-93.04840349999999
Greenfield Manor AL,ALP,615 SE Kent St,,Greenfield,50849,IA, USA,Adair (01),41.30314799999999,-94.45034799999999
Griswold Care Center AL,ALP,106 Harrison St,,Griswold,51535,IA, USA,Cass (15),41.2366773,-95.1339033
Hawkeye AL,ALP,1401 H Ave,,Milford,51351,IA, USA,Dickinson (30),43.32889369999999,-95.15857419999999
Hawkeye AL - Bancroft,ALP,548 E Ramsey St,,Bancroft,50517,IA, USA,Kossuth (55),43.29297379999999,-94.2092816
Heartland Care Center,ALP,604 E Fenton St,,Marcus,51035,IA, USA,Cherokee (18),42.820181,-95.800412
Heartwood Heights,ALP,409 9th Ave N,,Sibley,51249,IA, USA,Osceola (72),43.4050809,-95.741726
Heritage at Fox Run Assisted Living,ALP,3121 Macineery Dr,,Council Bluffs,51501,IA, USA,Pottawattamie (78),41.2107701,-95.8956702
Heritage Court,ALP,1499 Office Park Rd,,West Des Moines,50265,IA, USA,Polk (77),41.5911996,-93.7237389
Heritage House,ALP,1200 Brookridge Cir,,Atlantic,50022,IA, USA,Cass (15),41.3977464,-94.9992695
Highland Ridge,ALP,100 Village View Cir,,Williamsburg,52361,IA, USA,Iowa (48),41.67147900000001,-92.00281199999999
Homestead Assisted Living,ALP,2501 W State St,,Mason City,50401,IA, USA,Cerro Gordo (17),43.1517083,-93.2385281
Homestead of Albia,ALP,6592 165 St,,Albia,52531,IA, USA,Monroe (68),41.0445089,-92.7980845
Homestead of Chariton,ALP,1110 N 6th St,,Chariton,50049,IA, USA,Lucas (59),41.0272409,-93.300247
Homestead of Knoxville,ALP,908 S Park Ln Dr,,Knoxville,50138,IA, USA,Marion (63),41.31125910000001,-93.11535359999999
Huskamp Haven,ALP,300 W Riverview Dr,,Algona,50511,IA, USA,Kossuth (55),43.0641379,-94.2417413
Indian Creek Independent & Assisted Living Apts.,ALP,100 6th St,,Nevada,50201,IA, USA,Story (85),42.0118062,-93.45437059999999
Irving Point,ALP,910 7th Ave SE,,Cedar Rapids,52401,IA, USA,Linn (57),41.9772067,-91.65657800000001
Kennybrook Village,ALP,200 SW Brookside Dr,,Grimes,50111,IA, USA,Polk (77),41.6865979,-93.8058444
Kensington Place,ALP,504 Short Ave,,New Hampton,50659,IA, USA,Chickasaw (19),43.0544507,-92.304987
Kentucky Ridge Neighborhood AL,ALP,2060 S Kentucky Ave,,Mason City,50401,IA, USA,Cerro Gordo (17),43.13316700000001,-93.18383399999999
Keystone Senior Suites,ALP,251 6th St,,Keystone,52249,IA, USA,Benton (06),42.0044294,-92.2004245
Kingston Court,ALP,118 Reimer St SW,,Elkader,52043,IA, USA,Clayton (22),42.8468345,-91.4063382
Kosgrove Estates,ALP,4155 US-75,,Sioux Center,51250,IA, USA,Sioux (84),43.0443343,-96.1752262
Lakeside Assisted Living,ALP,401 Lawler St,,Emmetsburg,50536,IA, USA,Palo Alto (74),43.1163248,-94.6830622
Lakeview Village,ALP,3012 F Dr,,Amana,52203,IA, USA,Iowa (48),41.801332,-91.895107
Lamoni AL,ALP,810 E 3rd St,,Lamoni,50140,IA, USA,Decatur (27),40.6212,-93.92711399999999
Landsmeer Ridge Retirement Comm,ALP,1007 7th St NE, NE,Orange City,51041,IA, USA,Sioux (84),43.0136323,-96.0433422
Leahy Grove Independent and Assisted Living,ALP,800 2nd St SE,,Hampton,50441,IA, USA,Franklin (35),42.7347045,-93.2047918
Leland Smith Assisted Living,ALP,309 Ovesen Dr,,Wilton,52778,IA, USA,Muscatine (70),41.596549,-91.0144509
Lincolnway Villa AL,ALP,322-300 Lincoln Hwy,,Wheatland,52777,IA, USA,Clinton (23),41.83332499999999,-90.833242
Lincolnwood AL,ALP,302 W Lincoln St, PO Box 189,Edgewood,52042,IA, USA,Delaware (28),42.6429982,-91.402986
Linden Place AL,ALP,1802 5th Ave NW,,Waverly,50677,IA, USA,Bremer (09),42.7300938,-92.4932414
Lindens,ALP,2355 Hamilton Dr,,Ames,50014,IA, USA,Story (85),42.0012818,-93.6476691
Linnwood Estates,ALP,700 N Linn St,,Glenwood,51534,IA, USA,Mills (65),41.0527267,-95.7403398
Longview Retirement Apts,ALP,1010 Longview Rd,,Missouri Valley,51555,IA, USA,Harrison (43),41.5669344,-95.88351449999999
Lutheran Home Apts,ALP,1413 2nd Ave,,Vinton,52349,IA, USA,Benton (06),42.157918,-92.02336600000001
Maggie's House Assisted Living,ALP,107 E 2nd St,,DeWitt,52742,IA, USA,Clinton (23),41.8169978,-90.5318425
Main Street Manor,ALP,207 3rd St N,,Swea City,50590,IA, USA,Kossuth (55),43.38360269999999,-94.310255
Maple Grove Senior Living,ALP,1917 S 18th St,,Centerville,52544,IA, USA,Appanoose (04),40.7144799,-92.86770899999999
Maple Manor Village,ALP,343 Parriott St,,Aplington,50604,IA, USA,Butler (12),42.5830263,-92.8731025
Maple Ridge AL,ALP,1500 E South St,,Mt Ayr,50854,IA, USA,Ringgold (80),40.7111026,-94.2284438
Maples Assisted Living,ALP,98 Bolger Dr,,Fayette,52142,IA, USA,Fayette (33),42.8418612,-91.8091201
Martina Place,ALP,5815 Winwood Dr,,Johnston,50131,IA, USA,Polk (77),41.6688781,-93.70021159999999
Mayflower Home,ALP,927 1st Ave,,Grinnell,50112,IA, USA,Poweshiek (79),41.7392204,-92.72367039999999
Meadows (The),ALP,200 McCarren Dr,,Manchester,52057,IA, USA,Delaware (28),42.4868193,-91.439165
Meadows Assisted Living,ALP,528 N Kelly St,,Shell Rock,50670,IA, USA,Butler (12),42.7133658,-92.57183669999999
Meadows Assisted Living,ALP,1302 S Main St,,Clarion,50525,IA, USA,Wright (99),42.72127899999999,-93.73319509999999
Melrose Meadows Retirement Community,ALP,350 Dublin Dr,,Iowa City,52246,IA, USA,Johnson (52),41.65599220000001,-91.58484399999999
Mica Hill Estates,ALP,2121 Ave L,,Hawarden,51023,IA, USA,Sioux (84),43.0095609,-96.48106419999999
Mill Pond AL,ALP,1201 SE Mill Pond Ct,,Ankeny,50021,IA, USA,Polk (77),41.72450529999999,-93.57822220000001
Mills Harbour Independent/Assisted Living,ALP,311 S 10th Ave E,,Lake Mills,50450,IA, USA,Winnebago (95),43.4112313,-93.5292851
MJ Estates,ALP,411 S Carthage St,,Exira,50076,IA, USA,Audubon (05),41.5868314,-94.8775472
Mulberry Place,ALP,11 Deborah Dr,,Bloomfield,52537,IA, USA,Davis (26),40.7611366,-92.41643839999999
Murphy Place Assisted Living,ALP,620 E Monroe St,,Corydon,50060,IA, USA,Wayne (93),40.7549191,-93.3123224
New Homestead,ALP,2306 State St,,Guthrie Center,50115,IA, USA,Guthrie (39),41.68009199999999,-94.48499699999999
Northridge Village,ALP,3300 George Washington Carver Ave,,Ames,50014,IA, USA,Story (85),42.0561994,-93.65083519999999
Northwood Pines,ALP,700 10th St N, North,Northwood,50459,IA, USA,Worth (98),43.4511963,-93.2185588
Oak Estates,ALP,110 N Alice St,,Conrad,50621,IA, USA,Grundy (38),42.2252029,-92.8682661
Oakhill Assisted Living Home,ALP,1126 Oakhill Dr,,Hawarden,51023,IA, USA,Sioux (84),43.011724,-96.478292
Oakland Heights,ALP,904 N Scenic Dr,,Oakland,51560,IA, USA,Pottawattamie (78),41.31608019999999,-95.3864193
Oaks at Parkview Care Center,ALP,2235 US-34,,Fairfield,52556,IA, USA,Jefferson (51),41.0025319,-91.86614689999999
Odebolt Assisted Living,ALP,799 S Des Moines St,,Odebolt,51458,IA, USA,Sac (81),42.3048009,-95.24527479999999
Oneota Village,ALP,5 Ohio St,,Decorah,52101,IA, USA,Winneshiek (96),43.3037258,-91.8028329
Otsego Place,ALP,520 Otsego St,,Storm Lake,50588,IA, USA,Buena Vista (11),42.6434493,-95.20670539999999
Panora AL,ALP,807 E Main St,,Panora,50216,IA, USA,Guthrie (39),41.69212289999999,-94.3529921
Park Centre,ALP,500 1st St N,,Newton,50208,IA, USA,Jasper (50),41.7033376,-93.05288499999999
Park Place Estates,ALP,900 Lincoln St NE,,Le Mars,51031,IA, USA,Plymouth (75),42.7984928,-96.152935
Park Place Independent & Assisted Living,ALP,551 Park Ave,,Sac City,50583,IA, USA,Sac (81),42.4207227,-94.97729240000001
Parkview Assisted Living,ALP,210 Park St,,Coon Rapids,50058,IA, USA,Carroll (14),41.8719028,-94.6736081
Parkview Assisted Living,ALP,114 Forest St,,Fairbank,50629,IA, USA,Buchanan (10),42.64023460000001,-92.0502916
Pennington Square,ALP,502 Pinehaven Dr,,Monticello,52310,IA, USA,Jones (53),42.2285313,-91.18560260000001
Perry Lutheran Home AL,ALP,2323 Willis Ave,,Perry,50220,IA, USA,Dallas (25),41.8380818,-94.0903925
Petersen Commons,ALP,1607 W 12th St,,Davenport,52804,IA, USA,Scott (82),41.531409,-90.5977104
Pleasant View Assisted Living,ALP,200 Shannon Dr,,Whiting,51063,IA, USA,Monona (67),42.1255086,-96.15922049999999
Prairie Creek Assisted Living,ALP,301 4th St,,West Bend,50597,IA, USA,Palo Alto (74),43.0258769,-94.5281097
Prairie Hills at Cedar Rapids,ALP,2903 F Ave NW,,Cedar Rapids,52405,IA, USA,Linn (57),41.9792223,-91.7107286
Prairie View Inn,ALP,610 Eastern St,,Sanborn,51248,IA, USA,O'Brien (71),43.18452699999999,-95.643969
Prairie Vista Village,ALP,2785 1st Ave S,,Altoona,50009,IA, USA,Polk (77),41.6266962,-93.4634263
Prime Assisted Living,ALP,108 1st Ave NW,,Le Mars,51031,IA, USA,Plymouth (75),42.7946226,-96.16752869999999
Prime Assisted Living,ALP,725 Pearl St,,Sioux City,51101,IA, USA,Woodbury (97),42.4978594,-96.4083939
Primrose Retirement Community,ALP,1801 E Kanesville Blvd,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.2749722,-95.8223685
Reed Place,ALP,2506 3rd Ave N,,Denison,51442,IA, USA,Crawford (24),42.0205328,-95.3376249
Regency Assisted Living,ALP,815 High Rd,,Norwalk,50211,IA, USA,Warren (91),41.4834568,-93.678168
RidgeView Assisted Living,ALP,2975 F Ave NW,,Cedar Rapids,52405,IA, USA,Linn (57),41.9791166,-91.71136539999999
River Bend Retirement Community,ALP,813 Tyler St NE,,Cascade,52033,IA, USA,Dubuque (31),42.307734,-91.014793
River Hills Village,ALP,20 Village Cir,,Keokuk,52632,IA, USA,Lee (56),40.43199449999999,-91.4123779
River Living Center,ALP,831 US-52,,Guttenberg,52052,IA, USA,Clayton (22),42.7762012,-91.10019299999999
Riverside Senior Living,ALP,209 Park Dr,,Charles City,50616,IA, USA,Floyd (34),43.0700379,-92.6873306
"Rock Rapids PE, LLC",ALP,1510 S Carroll St,,Rock Rapids,51246,IA, USA,Lyon (60),43.4150904,-96.1727616
Rock Ridge Assisted Living,ALP,400 Canton St NW,,Shellsburg,52332,IA, USA,Benton (06),42.0968224,-91.87317589999999
Rose of Ames,ALP,1315 Coconino Rd,,Ames,50014,IA, USA,Story (85),42.01116010000001,-93.67698299999999
Rose of Council Bluffs,ALP,2306 Sherwood Dr,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.28004389999999,-95.812692
Rose of Des Moines,ALP,1330 19th St,,Des Moines,50314,IA, USA,Polk (77),41.60372390000001,-93.6432987
Rose of Dubuque,ALP,3390 Lake Ridge Dr,,Dubuque,52003,IA, USA,Dubuque (31),42.4852908,-90.7196376
Rose of East Des Moines,ALP,1331 Idaho St,,Des Moines,50316,IA, USA,Polk (77),41.6032817,-93.598626
Rose of Waterloo,ALP,421 Oak Ave,,Waterloo,50703,IA, USA,Blackhawk (07),42.50532080000001,-92.34149500000001
Rose Vista Assisted Living,ALP,1108 Park St, Po Box 6,Woodbine,51579,IA, USA,Harrison (43),41.743403,-95.7098714
Rosebush Gardens,ALP,4925 West Ave,,Burlington,52601,IA, USA,Des Moines (29),40.7994475,-91.15791879999999
Ruthven Community Care Center,ALP,2701 Mitchell St,,Ruthven,51358,IA, USA,Palo Alto (74),43.127774,-94.888954
Senior Star at Elmore Place Assisted Living,ALP,4500 Elmore Avenue,,Davenport,52807,IA, USA,Scott (82),41.56631650000001,-90.5268802
Senior Suites of Urbandale,ALP,4700 84th St,,Urbandale,50322,IA, USA,Polk (77),41.6456781,-93.7341149
Sigourney AL,ALP,810 S Stone St,,Sigourney,52591,IA, USA,Keokuk (54),41.3271591,-92.20830819999999
Silver Pond Assisted Living,ALP,516 13th St,,Wellman,52356,IA, USA,Washington (92),41.47540190000001,-91.8342381
"Silveridge, An Eventide Community, LLC",ALP,222 S 20th St,,Denison,51442,IA, USA,Crawford (24),42.0134899,-95.3431639
Solon Assisted Living Village,ALP,623 E 5th St,,Solon,52333,IA, USA,Johnson (52),41.8021046,-91.49040370000002
SOUTHCREST MANOR II,ALP,602 2nd St SW,,Waukon,52172,IA, USA,Allamakee (03),43.2618523,-91.47818009999999
Southfield Wellness Community AL,ALP,2414 Des Moines St,,Webster City,50595,IA, USA,Hamilton (40),42.45194240000001,-93.8199592
Spring Creek Independent and Assisted Living,ALP,110 2nd Ave,,Armstrong,50514,IA, USA,Emmet (32),43.3981928,-94.4861928
Springvale Assisted Living,ALP,1050 15th St,,Humboldt,50548,IA, USA,Humboldt (46),42.7326841,-94.2302364
"Stanard Family Assisted Living Center, Inc.",ALP,420 E 11th St,,Cedar Falls,50613,IA, USA,Blackhawk (07),42.52911530000001,-92.4409589
Stoney Brook Village,ALP,705 S Pine St,,West Union,52175,IA, USA,Fayette (33),42.95000659999999,-91.8035735
Suites of Ankeny,ALP,420 NW Ash Dr,,Ankeny,50023,IA, USA,Polk (77),41.7338683,-93.6099721
Summit Heights,ALP,8 Summit Ave,,Nora Springs,50458,IA, USA,Floyd (34),43.1429112,-93.0168795
Summit House Assisted Living,ALP,600 1st St NW,,Britt,50423,IA, USA,Hancock (41),43.097887,-93.80909
SunnyBrook of Fairfield,ALP,3000 W Madison Ave,,Fairfield,52556,IA, USA,Jefferson (51),41.0019888,-91.99851330000001
Sunrise Assisted Living Suites,ALP,599 Taylor St,,Traer,50675,IA, USA,Tama (86),42.18891120000001,-92.45956149999999
Sunrise Villa,ALP,308 N 12th St,,Bellevue,52031,IA, USA,Jackson (49),42.257287,-90.4376418
Swales Assisted Living,ALP,313 Elkader St,,Strawberry Point,52076,IA, USA,Clayton (22),42.6878125,-91.5342574
Swan Place,ALP,1024 E 12th St,,Carroll,51401,IA, USA,Carroll (14),42.07133839999999,-94.8508586
"Terrace AL of Hillcrest Home, Inc.",ALP,915 W 1st St,,Sumner,50674,IA, USA,Bremer (09),42.847339,-92.109034
Terrace Park Sr Living,ALP,201 SW Lorraine St,,Leon,50144,IA, USA,Decatur (27),40.7396327,-93.7610267
Thornton Heights Assisted Living,ALP,1329 Main St,,Lansing,52151,IA, USA,Allamakee (03),43.360156,-91.2345945
Timberland Village,ALP,725 Timberland Dr,,Story City,50248,IA, USA,Story (85),42.1890933,-93.574919
Tower Living Center,ALP,103 E Centre St, Box 477,Garnavillo,52049,IA, USA,Clayton (22),42.8690648,-91.2352999
Turner Pointe Assisted Living,ALP,1203 Buell Ave,,McGregor,52157,IA, USA,Clayton (22),43.0207839,-91.1899241
Valley Lodge AL,ALP,1118 US-20,,Correctionville,51016,IA, USA,Woodbury (97),42.481597,-95.7769058
Valley View Assisted Living,ALP,150 W Washington St, Po Box 430,North English,52316,IA, USA,Iowa (48),41.5183892,-92.078582
Valley View Manor AL,ALP,2421 Lutheran Dr,,Muscatine,52761,IA, USA,Muscatine (70),41.4186702,-91.0964924
Village Assisted Living,ALP,2555 Guthrie Ave,,Des Moines,50317,IA, USA,Polk (77),41.6139889,-93.56976999999999
Village at Legacy Pointe,ALP,1654 SE Holiday Crest Cir,,Waukee,50263,IA, USA,Dallas (25),41.611439,-93.839282
Village Terrace AL,ALP,302 Franklin St,,Keosauqua,52565,IA, USA,Van Buren (89),40.73637859999999,-91.95949960000002
Vintage Park Apartments,ALP,810 E Van Buren St,,Lenox,50851,IA, USA,Taylor (87),40.885425,-94.5560817
Waterford at Ames Assisted Living,ALP,1325 Coconino Rd, Ste 300,Ames,50014,IA, USA,Story (85),42.0104149,-93.6774801
Welcov Assisted Living at Alta,ALP,705 W 7th St,,Alta,51002,IA, USA,Buena Vista (11),42.668788,-95.312015
Welcov at Spirit Lake,ALP,1819 23rd St,,Spirit Lake,51360,IA, USA,Dickinson (30),43.4174938,-95.1169353
Wellington Place,ALP,2475 River Rd,,Decorah,52101,IA, USA,Winneshiek (96),43.3021883,-91.7404488
Wesley Acres Central AL,ALP,3520 Grand Ave,,Des Moines,50312,IA, USA,Polk (77),41.58339549999999,-93.66457609999999
Wesley the Village,ALP,1203 N E St,,Indianola,50125,IA, USA,Warren (91),41.373214,-93.57073799999999
West Liberty AL Residences,ALP,1000 N Miller St,,West Liberty,52776,IA, USA,Muscatine (70),41.57817419999999,-91.2584092
Westhaven Community,ALP,112 W 4th St,,Boone,50036,IA, USA,Boone (08),42.0602578,-93.8932834
Westside AL Suites,ALP,110 S Ely St,,Clarksville,50619,IA, USA,Butler (12),42.78422090000001,-92.6748375
White Oak Estates,ALP,914 N 12th St,,Oskaloosa,52577,IA, USA,Mahaska (62),41.3024155,-92.6305718
Willow Dale Independent & Assisted Living,ALP,118 N Ida St,,Battle Creek,51006,IA, USA,Ida (47),42.31667339999999,-95.5981357
Willows (The),ALP,324 SW 6th St,,Stuart,50250,IA, USA,Guthrie (39),41.4982321,-94.32450850000001
Winding Creek Meadows,ALP,1044 9th St,,Jesup,50648,IA, USA,Buchanan (10),42.4727656,-92.0588032
AASE HAUGEN HOME,Free Standing NF/SNF,4 Ohio St,,Decorah,52101,IA, USA,Winneshiek (96),43.30303819999999,-91.80283419999999
ABCM REHABILITATION CENTER OF INDEPENDENCE WEST CAMPUS,Free Standing NF/SNF,1610 3rd St NE,,Independence,50644,IA, USA,Buchanan (10),42.4719278,-91.8743556
ABCM REHABILITATION CENTERS OF INDEPENDENCE EAST CAMPUS,Free Standing NF/SNF,1700 3rd St NE,,Independence,50644,IA, USA,Buchanan (10),42.47200969999999,-91.87260889999999
"ACCORDIUS HEALTH AT ST. MARY, LLC",Free Standing NF/SNF,800 E Rusholme St,,Davenport,52803,IA, USA,Scott (82),41.543365,-90.5630192
"ACCURA HEALTHCARE OF AMES, LLC",Free Standing NF/SNF,3440 Grand Ave,,Ames,50010,IA, USA,Story (85),42.0552039,-93.6195012
"ACCURA HEALTHCARE OF BAXTER, LLC",Free Standing NF/SNF,407 Southeast Ave,,Baxter,50028,IA, USA,Jasper (50),41.82081299999999,-93.1440946
"ACCURA HEALTHCARE OF CHEROKEE, LLC",Free Standing NF/SNF,921 Riverview Dr,,Cherokee,51012,IA, USA,Cherokee (18),42.75948,-95.536039
"ACCURA HEALTHCARE OF KNOXVILLE, LLC",Free Standing NF/SNF,606 N 7th St,,Knoxville,50138,IA, USA,Marion (63),41.3241109,-93.0923725
"ACCURA HEALTHCARE OF NEWTON EAST, LLC",Free Standing NF/SNF,1743 S 8th Ave E,,Newton,50208,IA, USA,Jasper (50),41.691775,-93.03119
"ACCURA HEALTHCARE OF NEWTON WEST, LLC",Free Standing NF/SNF,2130 W 18th St S,,Newton,50208,IA, USA,Jasper (50),41.6797805,-93.07409969999999
"ACCURA HEALTHCARE OF OGDEN, LLC",Free Standing NF/SNF,625 E Oak St,,Ogden,50212,IA, USA,Boone (08),42.0373947,-94.0188486
"ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",Free Standing NF/SNF,909 N State St,,Pleasantville,50225,IA, USA,Marion (63),41.3941685,-93.2723492
"ACCURA HEALTHCARE OF POMEROY, LLC",Free Standing NF/SNF,303 E 7th St,,Pomeroy,50575,IA, USA,Calhoun (13),42.5429419,-94.680701
"ACCURA HEALTHCARE OF SIOUX CITY, LLC",Free Standing NF/SNF,3800 Indian Hills Dr,,Sioux City,51104,IA, USA,Woodbury (97),42.53593679999999,-96.3744816
ACCURA HEALTHCARE OF STANTON,Free Standing NF/SNF,213 Halland Ave,,Stanton,51573,IA, USA,Montgomery (69),40.977363,-95.0990777
ADEL ACRES,Free Standing NF/SNF,1919 Greene St,,Adel,50003,IA, USA,Dallas (25),41.6121849,-94.033721
AFTON CARE CENTER,Free Standing NF/SNF,508 W Pearl St,,Afton,50830,IA, USA,Union (88),41.0345904,-94.2024016
"AKRON CARE CENTER, INC.",Free Standing NF/SNF,991 IA-3,,Akron,51001,IA, USA,Plymouth (75),42.8194109,-96.54954839999999
ALGONA MANOR CARE CENTER,Free Standing NF/SNF,2221 E McGregor St,,Algona,50511,IA, USA,Kossuth (55),43.06777599999999,-94.2094556
ALTOONA NURSING AND REHABILITATION,Free Standing NF/SNF,200 7th Ave SW,,Altoona,50009,IA, USA,Polk (77),41.6498833,-93.47329959999999
ANAMOSA CARE CENTER,Free Standing NF/SNF,1209 E 3rd St,,Anamosa,52205,IA, USA,Jones (53),42.1037931,-91.2705254
ARBOR COURT,Free Standing NF/SNF,701 E Maple Leaf Dr,,Mt Pleasant,52641,IA, USA,Henry (44),40.97456030000001,-91.5437682
ATLANTIC SPECIALTY CARE,Free Standing NF/SNF,1300 E 19th St,,Atlantic,50022,IA, USA,Cass (15),41.39229629999999,-94.99477739999999
AVOCA SPECIALTY CARE,Free Standing NF/SNF,610 York Rd,,Avoca,51521,IA, USA,Pottawattamie (78),41.50307929999999,-95.33341349999999
BEDFORD SPECIALTY CARE,Free Standing NF/SNF,1005 Pearl St,,Bedford,50833,IA, USA,Taylor (87),40.6690481,-94.7252163
BELLE PLAINE SPECIALTY CARE,Free Standing NF/SNF,1505 Sunset Dr,,Belle Plaine,52208,IA, USA,Benton (06),41.899648,-92.265142
BETHANY HOME,Free Standing NF/SNF,1005 Lincoln Ave,,Dubuque,52001,IA, USA,Dubuque (31),42.5194937,-90.66224700000001
BETHANY LIFE,Free Standing NF/SNF,212 Lafayette Ave,,Story City,50248,IA, USA,Story (85),42.18153299999999,-93.59180490000001
BETHANY LUTHERAN HOME,Free Standing NF/SNF,7 Elliott St,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.27863579999999,-95.8364592
BETTENDORF HEALTH CARE CENTER,Free Standing NF/SNF,2730 Crow Creek Rd,,Bettendorf,52722,IA, USA,Scott (82),41.5699264,-90.4941444
BISHOP DRUMM RETIREMENT CENTER,Free Standing NF/SNF,5837 Winwood Dr,,Johnston,50131,IA, USA,Polk (77),41.669571,-93.699927
BLACK HAWK LIFE CARE CENTER,Free Standing NF/SNF,73 W 5th St,,Lake View,51450,IA, USA,Sac (81),42.3079401,-95.05673209999999
BLAIR HOUSE,Free Standing NF/SNF,1212 Indian Hills Dr,,West Burlington,52655,IA, USA,Des Moines (29),40.79512099999999,-91.16662300000002
BLOOMFIELD CARE CENTER,Free Standing NF/SNF,800 N Davis St,,Bloomfield,52537,IA, USA,Davis (26),40.76042419999999,-92.41827990000002
BRIARWOOD HEALTHCARE CENTER,Free Standing NF/SNF,605 Greenwood Dr,,Iowa City,52246,IA, USA,Johnson (52),41.651787,-91.54666499999999
BROOKLYN COMMUNITY ESTATES,Free Standing NF/SNF,406 North St,,Brooklyn,52211,IA, USA,Poweshiek (79),41.7395477,-92.4418239
BURLINGTON CARE CENTER,Free Standing NF/SNF,2610 S 5th St,,Burlington,52601,IA, USA,Des Moines (29),40.778485,-91.102862
CALVIN COMMUNITY,Free Standing NF/SNF,4210 Hickman Rd,,Des Moines,50310,IA, USA,Polk (77),41.61450609999999,-93.6753852
CAREAGE HILLS REHABILITATION AND HEALTHCARE,Free Standing NF/SNF,725 N 2nd St,,Cherokee,51012,IA, USA,Cherokee (18),42.7567449,-95.55236699999999
CARING ACRES NURSING & REHAB CENTER,Free Standing NF/SNF,1000 Hillcrest Dr,,Anita,50020,IA, USA,Cass (15),41.4364845,-94.7665926
CARLISLE CENTER FOR WELLNESS & REHAB,Free Standing NF/SNF,680 Cole St,,Carlisle,50047,IA, USA,Warren (91),41.4956293,-93.4927015
CASA DE PAZ HEALTH CARE CENTER,Free Standing NF/SNF,2121 W 19th St,,Sioux City,51103,IA, USA,Woodbury (97),42.5111883,-96.435959
CEDAR FALLS HEALTH CARE CENTER,Free Standing NF/SNF,1728 W 8th St,,Cedar Falls,50613,IA, USA,Blackhawk (07),42.53081700000001,-92.46639599999999
CEDAR HEALTH,Free Standing NF/SNF,807 5th St,,Charles City,50616,IA, USA,Floyd (34),43.0603901,-92.68351849999999
CEDAR MANOR NURSING HOME,Free Standing NF/SNF,1200 Mulberry St,,Tipton,52772,IA, USA,Cedar (16),41.7775986,-91.1237695
CENTERVILLE SPECIALTY CARE,Free Standing NF/SNF,1208 E Cross St,,Centerville,52544,IA, USA,Appanoose (04),40.74047700000001,-92.86251399999999
CHARITON SPECIALTY CARE,Free Standing NF/SNF,1214 N 7th St,,Chariton,50049,IA, USA,Lucas (59),41.0289215,-93.3021665
CHAUTAUQUA GUEST HOME #2 (11th St.),Free Standing NF/SNF,602 11th St,,Charles City,50616,IA, USA,Floyd (34),43.05198600000001,-92.67837829999999
CHAUTAUQUA GUEST HOME #3 (9th St.),Free Standing NF/SNF,302 9th St,,Charles City,50616,IA, USA,Floyd (34),43.0551141,-92.6757153
CHEROKEE SPECIALTY CARE,Free Standing NF/SNF,1011 N Roosevelt Ave,,Cherokee,51012,IA, USA,Cherokee (18),42.762611,-95.54455709999999
CLARENCE NURSING HOME,Free Standing NF/SNF,402 2nd Ave,,Clarence,52216,IA, USA,Cedar (16),41.8861491,-91.06273519999999
CLARION WELLNESS AND REHABILITATION CENTER,Free Standing NF/SNF,110 13th Ave SW,,Clarion,50525,IA, USA,Wright (99),42.72038339999999,-93.734461
CLARKSVILLE SKILLED NURSING AND REHABILITATION CENTER,Free Standing NF/SNF,115 N Hilton St,,Clarksville,50619,IA, USA,Butler (12),42.78521689999999,-92.6735289
CLEARVIEW HOME CLRFLD,Free Standing NF/SNF,202 Jefferson St,,Clearfield,50840,IA, USA,Taylor (87),40.80352500000001,-94.4768663
CLEARVIEW HOME MT AYR,Free Standing NF/SNF,406 W Washington,,Mt Ayr,50854,IA, USA,Ringgold (80),40.7182825,-94.2421866
COLONIAL MANOR OF AMANA,Free Standing NF/SNF,3207 220th Trail,,Amana,52203,IA, USA,Iowa (48),41.799113,-91.89469000000001
