row_id,Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location,Country
USA-NY-45-AdultCare-45-AdultCare-79,Westwood Commons Adult Home,50 Union Square Boulevard,Monroe,North Chili,14514,(585) 293-2060,(585) 293-2183,AF0577A,"DePaul Adult Care Communities, Inc.",370-E-196,120,0,0,0,0,AH,NFP,WRO,"50 Union Square Boulevard
North Chili, NY 14514
(43.11264509400007, -77.80940854699998)",USA
USA-NY-45-AdultCare-45-AdultCare-80,Brompton Heights,275 Brompton Road,Erie,Williamsville,14221,(716) 634-5734,(716) 634-1416,AF0460A,"Brompton Heights, Inc.",240-F-133,200,0,200,200,20,AH,PPHA,WRO,"275 Brompton Road
Williamsville, NY 14221
(42.97331477900008, -78.70829300299994)",USA
USA-NY-45-AdultCare-45-AdultCare-81,"Camphill Ghent, Inc.",2542 Route 66,Columbia,Chatham,12037,(518) 721-8400,(518) 721-1859,AF0693A,"Camphill Ghent, Inc.",200-E-007,31,18,0,0,0,AH/ALP,NFP,CDRO,"2542 Route 66
Chatham, NY 12037
(42.34260434600003, -73.60854751599999)",USA
USA-NY-45-AdultCare-45-AdultCare-82,Rainier Grove at Cherry Ridge,900 Cherry Ridge Road,Monroe,Webster,14580,(585) 697-6700,(585) 671-8255,AF0635A,"The Glen at Cherry Ridge, LLC",370-F-229,87,0,87,15,26,AH,PPHA,WRO,"900 Cherry Ridge Road
Webster, NY 14580
(43.20840709500004, -77.46987354099997)",USA
USA-NY-45-AdultCare-45-AdultCare-83,Crystal House Manor,"97 Mills Street, P.O. Box 576",Dutchess,Dover Plains,12522,(845) 877-6400,(845) 877-6500,AF0633A,"Crsytal House Manor, Inc.",230-F-272,39,0,0,0,0,AH,PPHA,MARO,"97 Mills Street, P.O. Box 576
Dover Plains, NY 12522
(41.74192902400006, -73.57173707399994)",USA
USA-NY-45-AdultCare-45-AdultCare-84,Carnegie East House,1844 Second Avenue,New York,New York,10128,(212) 360-2275,(212) 410-5180,AF0598B,"Carnegie East House Housing Development Fund Company, Inc.",420-S-387,112,0,0,0,0,EHP,NFP,MARO,"1844 Second Avenue
New York, NY 10128
(40.78376389300007, -73.94739781099997)",USA
USA-NY-45-AdultCare-45-AdultCare-85,The McClelland  Home for Adults,"126 Old Castle Point Road, Box 308",Dutchess,Beacon,12508,(845) 831-1909,(845) 831-1846,AF0307B,Evergreen Home for Adults Inc.,230-F-276,70,0,0,0,0,AH,PPHA,MARO,"126 Old Castle Point Road, Box 308
Beacon, NY 12508
(41.50538930000005, -73.97024899999997)",USA
USA-NY-45-AdultCare-45-AdultCare-86,Atria Delmar Place,467 Delaware Ave,Albany,Delmar,12054,(518) 434-4663,(518) 434-4660,AF0622B,"ATR New York LH, Inc.",000-S-008,106,0,106,0,0,EHP,PPHA,CDRO,"467 Delaware Ave
Delmar, NY 12054
(42.618842562000054, -73.84225333399996)",USA
USA-NY-45-AdultCare-45-AdultCare-87,Hudson Valley Senior Residence,80 Washington Avenue,Ulster,Kingston,12401,(845) 331-0630,(845) 331-6093,AF0270B,The Lutheran Care Network,740-E-008,48,0,48,0,0,AH,NFP,MARO,"80 Washington Avenue
Kingston, NY 12401
(41.92607853700008, -74.01663084299997)",USA
USA-NY-45-AdultCare-45-AdultCare-88,St. Zita's Villa,50 Saddle River Road,Rockland,Monsey,10952,(845) 356-2011,(845) 352-5209,AF0406A,St. Zita's Villa,620-E-017,35,0,0,0,0,AH,NFP,MARO,"50 Saddle River Road
Monsey, NY 10952
(41.11149961700005, -74.07165630599997)",USA
USA-NY-45-AdultCare-45-AdultCare-89,Atria Penfield,2006 Five Mile Line Road,Monroe,Penfield,14526,(585) 381-0282,(585) 381-0788,AF0552C,"ATR New York LH, Inc.",370-F-212,120,0,0,0,0,AH,PPHA,WRO,"2006 Five Mile Line Road
Penfield, NY 14526
(43.13816194300006, -77.47562533599995)",USA
USA-NY-45-AdultCare-45-AdultCare-90,The Eliot at Catskill,122 Jefferson Heights,Greene,Catskill,12414,(518) 943-7100,(518) 943-7123,AF0091C,"The Eliot at Catskill, LLC",300-F-033,98,40,0,0,0,AH/ALP,PPHA,CDRO,"122 Jefferson Heights
Catskill, NY 12414
(42.22954776900008, -73.87384791299996)",USA
USA-NY-45-AdultCare-45-AdultCare-91,Helen Keller National Center,111 Middle Neck Road,Nassau,Sands Point,11050,(516) 944-8900,(516) 944-7302,AF0264A,Helen Keller Services for the Blind,400-E-040,52,0,0,0,0,AH,NFP,MARO,"111 Middle Neck Road
Sands Point, NY 11050
(40.85467501000005, -73.69618580799994)",USA
USA-NY-45-AdultCare-45-AdultCare-92,Crimson Ridge Meadows,3 Treeline Drive,Monroe,Rochester,14612,(585) 720-9330,(585) 720-9331,AF0604B,"Peregrine Properties of Upstate, LLC",370-F-227,52,0,0,0,0,AH,PPHA,WRO,"3 Treeline Drive
Rochester, NY 14612
(43.25108921100008, -77.67452619199997)",USA
USA-NY-45-AdultCare-45-AdultCare-93,Norwegian Christian Home and Health Care Center,1250-1270 67th Street,Kings,Brooklyn,11219,(718) 232-2322,(718) 331-5111,AF0337A,Norwegian Christian,331-E-030,88,88,0,0,0,AH/ALP,NFP,MARO,"1250-1270 67th Street
Brooklyn, NY 11219
(40.62525405000008, -74.00350869399995)",USA
USA-NY-45-AdultCare-45-AdultCare-94,Crestview Manor ALP,150 Old Saw Mill River Road,Westchester,Hawthorne,10532,(914) 769-1762,(914) 769-2536,AF0228A,"Reckess, Azzy",800-F-129,76,40,0,0,0,AH/ALP,PPHA,MARO,"150 Old Saw Mill River Road
Hawthorne, NY 10532
(41.085425849000046, -73.82182750499999)",USA
USA-NY-45-AdultCare-45-AdultCare-95,The Mansion at South Union,11 South Union Street,Washington,Cambridge,12816,(518) 677-3711,(518) 677-0869,AF0081C,"ICC Management & Consulting, Inc.",760-F-012,34,34,0,0,0,AH/ALP,PPHA,CDRO,"11 South Union Street
Cambridge, NY 12816
(43.02675170900005, -73.38697924399997)",USA
USA-NY-45-AdultCare-45-AdultCare-96,Lincoln Rest Home,12 Lincoln Avenue,Westchester,Ardsley,10502,(914) 693-1146,(914) 693-1146,AF0294A,"Politan, Nenita",800-F-125,23,0,0,0,0,AH,PPHA,MARO,"12 Lincoln Avenue
Ardsley, NY 10502
(41.00972391700003, -73.84429214799997)",USA
USA-NY-45-AdultCare-45-AdultCare-97,Champlain Valley Senior Community,10 Gilliland Lane,Essex,Willsboro,12996,(888) 963-1110,(888) 963-1110,AF0707A,"Stonebrook Properties, LLC",260-F-018,81,0,81,29,21,AH,PPHA,CDRO,"10 Gilliland Lane
Willsboro, NY 12996
(44.36428774700005, -73.39056407299995)",USA
USA-NY-45-AdultCare-45-AdultCare-98,Whittier Place,30 Whittier Way,Columbia,Ghent,12075,(518) 828-0900,(518) 828-1201,AF0050B,"Hudson Valley Care Center, Inc.",200-E-005,80,40,0,0,0,AH/ALP,NFP,CDRO,"30 Whittier Way
Ghent, NY 12075
(42.282017481000025, -73.70569883699994)",USA
USA-NY-45-AdultCare-45-AdultCare-99,The Amsterdam at Harborside,300 East Overlook,Nassau,Port Washington,11050,(516) 472-6626,(516) 472-6698,AF0681A,"Amsterdam House CCRC, Inc.",400-S-320,55,0,55,0,18,EHP,NFP,MARO,"300 East Overlook
Port Washington, NY 11050
(40.828333765000025, -73.66556983899994)",USA
USA-NY-45-AdultCare-45-AdultCare-100,The Farrar Home,46 Constable Street,Franklin,Malone,12953,(518) 483-7550,(518) 483-8107,AF0041A,Farrar Home For Deserving Old Ladies,270-E-005,30,0,0,0,0,AH,NFP,CDRO,"46 Constable Street
Malone, NY 12953
(44.85521593100003, -74.28723103199997)",USA
USA-NY-45-AdultCare-45-AdultCare-101,Focus Senior Living at Utica,1445 Kemble Street,Oneida,Utica,13501,(315) 732-0100,(315) 732-2342,AF0073B,"UCSL, LLC",510-S-061,110,87,0,0,0,EHP/ALP,PPHA,CNYRO,"1445 Kemble Street
Utica, NY 13501
(43.09317194100004, -75.24235104299999)",USA
USA-NY-45-AdultCare-45-AdultCare-102,Pounder Hall EHP,1400 Utica Street,Oneida,Oriskany,13424,(315) 736-1759,(315) 768-4751,AF0095A,"Pounder Hall, Inc.",510-S-062,17,0,0,0,0,EHP,NFP,CNYRO,"1400 Utica Street
Oriskany, NY 13424
(43.161834415000044, -75.34112714899999)",USA
USA-NY-45-AdultCare-45-AdultCare-103,Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,New York,10037,(917) 507-1108,(917) 507-1560,AF0594A,"New York Foundation for Senior Citizens, Inc.",420-S-381,42,0,0,0,0,EHP,NFP,MARO,"55 West 137th Street
New York, NY 10037
(40.81492621800004, -73.93871091399996)",USA
USA-NY-45-AdultCare-45-AdultCare-104,Rockaway Manor HFA,145 Beach 8th Street,Queens,Far Rockaway,11691,(718) 327-6300,(718) 327-3834,AF0371A,Foundation For Elderly,590-E-292,120,0,0,0,0,AH,NFP,MARO,"145 Beach 8th Street
Far Rockaway, NY 11691
(40.595367175000035, -73.74286579799997)",USA
USA-NY-45-AdultCare-45-AdultCare-105,Jeff Senior Living,4804 Route 52- East Main Street,Sullivan,Jeffersonville,12748,(845) 482-4375,(845) 627-5405,AF0280B,"JJJ Yabut, LLC",710-F-061,11,0,0,0,0,AH,PPHA,MARO,"4804 Route 52- East Main Street
Jeffersonville, NY 12748
(41.779851389000044, -74.92861057299996)",USA
USA-NY-45-AdultCare-45-AdultCare-106,The Kensington,100 Maple Avenue,Westchester,White Plains,10601,(914) 390-0080,(914) 390-0277,AF0688A,"White Plains Kensington, LLC",800-F-988,130,0,130,130,56,AH,PPHA,MARO,"100 Maple Avenue
White Plains, NY 10601
(41.02653193300006, -73.76722608499995)",USA
USA-NY-45-AdultCare-45-AdultCare-107,Sanford Home,140-40 Sanford Avenue,Queens,Flushing,11355,(718) 353-1400,(718) 353-1495,AF0379B,"Sanford Home for Adults, LLC",590-F-142,200,0,0,0,0,AH,PPHA,MARO,"140-40 Sanford Avenue
Flushing, NY 11355
(40.757491050000056, -73.82565571099997)",USA
USA-NY-45-AdultCare-45-AdultCare-108,Parkview Home for Adults,3200 Bronx Boulevard,Bronx,Bronx,10467,(718) 547-9300,(718) 519-8378,AF0355B,"Parkview HFA, Inc.",020-F-131,134,0,0,0,0,AH,PPHA,MARO,"3200 Bronx Boulevard
Bronx, NY 10467
(40.871814853000046, -73.87044976099997)",USA
USA-NY-45-AdultCare-45-AdultCare-109,Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,(516) 352-4252,(516) 352-8656,AF0361A,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",400-S-290,90,0,0,0,0,EHP,NFP,MARO,"1150 Hempstead Turnpike
Franklin Square, NY 11010
(40.70832143800004, -73.68348904399994)",USA
USA-NY-45-AdultCare-45-AdultCare-110,Old Peoples Russian Orthodox Convent,100 Smith Road,Rockland,Nanuet,10954,(845) 356-0425,(845) 371-3717,AF0344A,Russian Orthodox Convent,620-E-010,76,0,0,0,0,AH,NFP,MARO,"100 Smith Road
Nanuet, NY 10954
(41.110425355000075, -74.02300661899994)",USA
USA-NY-45-AdultCare-45-AdultCare-111,Atria Kew Gardens,117-01 84th Avenue,Queens,Kew Gardens,11418,(718) 441-0300,(718) 441-5140,AF0810B,"ATR New York LH, Inc.",590-S-315,175,0,175,47,43,EHP,PPHA,MARO,"117-01 84th Avenue
Kew Gardens, NY 11418
(40.70400203400004, -73.83441764399998)",USA
USA-NY-45-AdultCare-45-AdultCare-112,"Tanglewood Manor, Inc.",560 Fairmount Avenue,Chautauqua,Jamestown,14701,(716) 483-2876,(716) 483-2832,AF0564B,"Tanglewood Manor, Inc.",060-F-036,158,158,158,0,36,AH/ALP,PPHA,WRO,"560 Fairmount Avenue
Jamestown, NY 14701
(42.09711252900007, -79.27222039099996)",USA
USA-NY-45-AdultCare-45-AdultCare-113,Atria East Northport,10 Cheshire Place,Suffolk,East Northport,11731,(631) 757-8000,(631) 757-8010,AF0390C,"ATR New York LH, Inc.",700-F-929,200,0,0,0,0,AH,PPHA,MARO,"10 Cheshire Place
East Northport, NY 11731
(40.87528048900003, -73.32267742799996)",USA
USA-NY-45-AdultCare-45-AdultCare-114,Keepsake Village at Greenpoint,138 Old Liverpool Road,Onondaga,Liverpool,13088,(315) 451-4567,(315) 453-1026,AF0163A,"Greenpoint Special Needs, Inc.",520-F-143,57,0,0,0,0,AH,PPHA,CNYRO,"138 Old Liverpool Road
Liverpool, NY 13088
(43.08220080900003, -76.18056264599994)",USA
USA-NY-45-AdultCare-45-AdultCare-115,Garnerville Home,216 Ramapo Road Route 202,Rockland,Garnerville,10923,(845) 241-5284,(718) 504-4296,AF0252B,"Garnerville HFA Operation & Management, LLC",620-F-093,39,0,0,0,0,AH,PPHA,MARO,"216 Ramapo Road Route 202
Garnerville, NY 10923
(41.20009675600005, -73.98638707799995)",USA
USA-NY-45-AdultCare-45-AdultCare-116,West Seventy-Fourth Street Home,300 Amsterdam Avenue,New York,New York,10023,(212) 595-8983,(212) 595-0369,AF0433A,West Side Federation For Senior and Support Housing,420-E-254,95,0,0,0,0,AH,NFP,MARO,"300 Amsterdam Avenue
New York, NY 10023
(40.780073954000045, -73.98059883399998)",USA
USA-NY-45-AdultCare-45-AdultCare-117,Metro Interfaith Housing,21 New Street,Broome,Binghamton,13903,(607) 772-6766,(607) 723-9602,AF0597A,Metro Interfaith Housing Management Corporation,030-S-046,11,0,0,0,0,EHP,NFP,CNYRO,"21 New Street
Binghamton, NY 13903
(42.09029278100007, -75.91115794099994)",USA
USA-NY-45-AdultCare-45-AdultCare-118,Belle Harbor Manor,209 Beach 125th Street,Queens,Belle Harbor,11694,(718) 945-6600,(718) 474-8540,AF0206A,"Belle Harbor Home of the Sages, Inc.",590-E-293,162,0,0,0,0,AH,NFP,MARO,"209 Beach 125th Street
Belle Harbor, NY 11694
(40.577653258000055, -73.84494071799998)",USA
USA-NY-45-AdultCare-45-AdultCare-119,Brookdale Ithaca Memory Care,101 Bundy Road,Tompkins,Ithaca,14850,(607) 256-5094,(607) 256-5318,AF0145A,"Ithaca Sterling Cottage Operator, Inc.",730-F-001,36,0,0,0,0,AH,PPHA,CNYRO,"101 Bundy Road
Ithaca, NY 14850
(42.46045877800003, -76.52967566999996)",USA
USA-NY-45-AdultCare-45-AdultCare-120,The Terrace at Glen Eddy,1 Ascot Lane,Schenectady,Niskayuna,12309,(518) 280-8361,(518) 280-8396,AF0126A,Glen Eddy Inc.,650-S-067,53,0,0,0,0,EHP,NFP,CDRO,"1 Ascot Lane
Niskayuna, NY 12309
(42.77641679900006, -73.87839311999994)",USA
USA-NY-45-AdultCare-45-AdultCare-121,Danish Home for the Aged,1065 Quaker Bridge Rd E  PO Box 334,Westchester,Croton on Hudson,10520,(914) 271-3052,(914) 862-4412,AF0231A,Danish Benevolent Society,800-E-008,24,0,0,0,0,AH,NFP,MARO,"1065 Quaker Bridge Rd E PO Box 334
Croton on Hudson, NY 10520
(41.21379210300006, -73.85971607299996)",USA
USA-NY-45-AdultCare-45-AdultCare-122,Manlius Home for Adults,215 East Pleasant Street,Onondaga,Manlius,13104,(315) 682-6725,(315) 682-3320,AF0179B,215 East Pleasant Street LLC,520-F-167,39,26,0,0,0,AH/ALP,PPHA,CNYRO,"215 East Pleasant Street
Manlius, NY 13104
(43.00323215900005, -75.97705713099998)",USA
USA-NY-45-AdultCare-45-AdultCare-123,Echo Arms Adult Home,204 Patchogue Road,Suffolk,Port Jefferson Stat.,11776,(631) 473-0166,(631) 473-6803,AF0241A,"Katz, Harry",700-F-020,49,0,0,0,0,AH,PPHA,MARO,"204 Patchogue Road
Port Jefferson Stat., NY 11776
(40.93144593200003, -73.05272531199995)",USA
USA-NY-45-AdultCare-45-AdultCare-124,Underwood Manor,"4460 Union Hill Road, R.D. #1",Cattaraugus,Hinsdale,14743,(716) 557-2322,(716) 557-2323,AF0569A,"Johnson, Ronald",040-F-024,32,32,0,0,0,AH/ALP,PPHA,WRO,"4460 Union Hill Road, R.D. #1
Hinsdale, NY 14743
(42.18884155600006, -78.35403515099995)",USA
USA-NY-45-AdultCare-45-AdultCare-125,Grande'Vie Senior Living Community,2140 Five Mile Line Road,Monroe,Penfield,14526,(585) 381-0680,(585) 381-1293,AF0503B,Grande'Vie LLC,370-F-231,178,0,178,47,47,AH,PPHA,WRO,"2140 Five Mile Line Road
Penfield, NY 14526
(43.12818792500008, -77.47589597799998)",USA
USA-NY-45-AdultCare-45-AdultCare-126,Promenade at Middletown,70 Fulton Street,Orange,Middletown,10940,(845) 341-1888,(845) 344-5577,AF0399B,Promenade Middletown LLC,540-F-032,200,113,0,0,0,AH/ALP,PPHA,MARO,"70 Fulton Street
Middletown, NY 10940
(41.44148144800005, -74.42054978999994)",USA
USA-NY-45-AdultCare-45-AdultCare-127,The Seabury at Fieldhome,2276 Catherine Street,Westchester,Cortlandt Manor,10567,(914) 737-2255,(914) 737-8822,AF0600A,Catharine Field Home,800-E-132,85,40,45,0,40,AH/ALP,NFP,MARO,"2276 Catherine Street
Cortlandt Manor, NY 10567
(41.28098369700007, -73.84980110499998)",USA
USA-NY-45-AdultCare-45-AdultCare-128,RPH-West,48 Cottage Grove Circle,Monroe,North Chili,14514,(585) 235-9100,(585) 235-1315,AF0667A,"Rochester Presbyterian Home, Inc.",370-E-200,52,0,52,19,52,AH,NFP,WRO,"48 Cottage Grove Circle
North Chili, NY 14514
(43.121560000000045, -77.80227999999994)",USA
USA-NY-45-AdultCare-45-AdultCare-129,The Regency at Glen Cove,94 School Street,Nassau,Glen Cove,11542,(516) 674-3007,(516) 674-4144,AF0422A,"National Healthplex, Inc.",400-E-290,105,0,105,25,0,AH,NFP,MARO,"94 School Street
Glen Cove, NY 11542
(40.867364302000055, -73.63074061299994)",USA
USA-NY-45-AdultCare-45-AdultCare-130,Home of  the Good Shepherd at Highpointe,26 Rock Rose Way,Saratoga,Malta,12020,(518) 581-2800,(518) 581-2888,AF0613A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-036,86,0,86,41,16,AH,NFP,CDRO,"26 Rock Rose Way
Malta, NY 12020
(42.98374300800003, -73.79086681099994)",USA
USA-NY-45-AdultCare-45-AdultCare-131,St. Michael's Home,3 Lehman Terrace,Westchester,Yonkers,10705,(914) 476-3374,(914) 476-1744,AF0403A,"St. Michael's Home, Inc.",800-E-038,60,0,0,0,0,AH,NFP,MARO,"3 Lehman Terrace
Yonkers, NY 10705
(40.91375440100006, -73.90128580999993)",USA
USA-NY-45-AdultCare-45-AdultCare-132,Pinecrest Home For Adults,7 Charlesworth Avenue,Steuben,Avoca,14809,(607) 566-2252,(607) 566-2253,AF0543A,Pinecrest HFA,690-E-001,17,0,0,0,0,AH,NFP,WRO,"7 Charlesworth Avenue
Avoca, NY 14809
(42.41040286400005, -77.41833381999999)",USA
USA-NY-45-AdultCare-45-AdultCare-133,The New Village View SP LLC,1 Grove Street,Ulster,Highland,12528,(845) 691-8399,(845) 691-2390,AF0266C,The New Village View SP LLC,740-F-084,80,80,0,0,0,AH/ALP,PPHA,MARO,"1 Grove Street
Highland, NY 12528
(41.71971233100004, -73.96629979599999)",USA
USA-NY-45-AdultCare-45-AdultCare-134,The Waterford on the Bay,2900 Bragg Street,Kings,Brooklyn,11235,(718) 891-8400,(718) 769-1006,AF0351B,"The Palm Home for Adults, LLC",331-F-272,200,35,165,165,38,AH/ALP,PPHA,MARO,"2900 Bragg Street
Brooklyn, NY 11235
(40.58350568800006, -73.93290525199995)",USA
USA-NY-45-AdultCare-45-AdultCare-135,Sedgwick Heights,1100 James Street,Onondaga,Syracuse,13203,(315) 475-4388,(315) 475-1911,AF0185A,"Loretto Adult Community, Inc.",520-E-091,154,140,0,0,0,AH/ALP,NFP,CNYRO,"1100 James Street
Syracuse, NY 13203
(43.060996103000036, -76.13089794799998)",USA
USA-NY-45-AdultCare-45-AdultCare-136,"Home Sweet Home of Athens, Inc.",71 Second Street,Greene,Athens,12015,(518) 945-1673,(518) 945-2082,AF0015A,"Home Sweet Home of Athens, Inc.",300-F-028,24,12,0,0,0,AH/ALP,PPHA,CDRO,"71 Second Street
Athens, NY 12015
(42.26258034700004, -73.81394522199997)",USA
USA-NY-45-AdultCare-45-AdultCare-137,Morningside Manor,135 Fishkill Cooper Road Box 172,Dutchess,Fishkill,12524,(845) 896-9171,(845) 896-2456,AF0321A,Adoracion Elevado,230-F-058,20,0,0,0,0,AH,PPHA,MARO,"135 Fishkill Cooper Road Box 172
Fishkill, NY 12524
(41.55932457600005, -73.89789708799998)",USA
USA-NY-45-AdultCare-45-AdultCare-138,The Hearth at Castle Gardens,1715 Castle Gardens Road,Broome,Vestal,13850,(607) 748-5700,(607) 748-1079,AF0021A,Hearth Management LLC,030-S-044,106,0,0,0,0,EHP,PPHA,CNYRO,"1715 Castle Gardens Road
Vestal, NY 13850
(42.07891831500007, -76.08153400099997)",USA
USA-NY-45-AdultCare-45-AdultCare-139,RPH East,20 Crossing Creek Drive,Monroe,Fairport,14450,(585) 223-0160,(585) 223-0140,AF0739A,"Rochester Presbyterian Home, Inc.",370-E-204,64,0,64,20,64,AH,NFP,WRO,"20 Crossing Creek Drive
Fairport, NY 14450
(43.09605810000005, -77.44418119999995)",USA
USA-NY-45-AdultCare-45-AdultCare-140,Troy Adult Home,132 Oakwood Avenue,Rensselaer,Troy,12180,(518) 274-5959,(518) 274-5985,AF0128A,Troy Adult Home LLC,600-F-243,33,0,0,0,0,AH,PPHA,CDRO,"132 Oakwood Avenue
Troy, NY 12180
(42.746154568000065, -73.67460518599995)",USA
USA-NY-45-AdultCare-45-AdultCare-141,Blocher Homes,135 Evans Street,Erie,Williamsville,14221,(716) 810-7400,(716) 631-9244,AF0453A,"The Blocher Homes, Inc.",240-E-003,65,0,65,17,0,AH,NFP,WRO,"135 Evans Street
Williamsville, NY 14221
(42.96772459500005, -78.73914442399996)",USA
USA-NY-45-AdultCare-45-AdultCare-142,Heathwood Assisted Living at Penfield,100 Elderwood Court,Monroe,Penfield,14526,(585) 425-9663,(585) 388-8632,AF0676B,"Heathwood Assisted Living at Penfield, Inc.",370-S-852,151,50,151,0,24,EHP/ALP,PPHA,WRO,"100 Elderwood Court
Penfield, NY 14526
(43.13626822900005, -77.44143358399998)",USA
USA-NY-45-AdultCare-45-AdultCare-143,The Inn at Millbrook,560 Flint Road,Dutchess,Millbrook,12545,(845) 677-8550,(845) 677-8630,AF0420A,"Fountains Operating Co. (NY), Inc.",230-F-066,40,0,40,40,0,AH,PPHA,MARO,"560 Flint Road
Millbrook, NY 12545
(41.73820587000006, -73.66432188099998)",USA
USA-NY-45-AdultCare-45-AdultCare-144,Elderwood Assisted Living at Tonawanda,111 Ensminger Road,Erie,Tonawanda,14150,(716) 871-1814,(716) 871-0809,AF0568C,"111 Ensminger Road Operating Company, LLC",240-F-890,120,0,0,0,0,AH,PPHA,WRO,"111 Ensminger Road
Tonawanda, NY 14150
(42.98811050200004, -78.88787163399996)",USA
USA-NY-45-AdultCare-45-AdultCare-145,Wolk Manor Enriched Living Center,4000 Summit Circle Drive,Monroe,Rochester,14618,(585) 442-1950,(585) 442-5095,AF0561A,"Jewish Home of Rochester Enriched Housing, Inc. and Jewish Senior Life",370-S-836,85,0,85,20,18,EHP,NFP,WRO,"4000 Summit Circle Drive
Rochester, NY 14618
(43.10532876100007, -77.58180068699994)",USA
USA-NY-45-AdultCare-45-AdultCare-146,"Sutton Gardens, LLC",147-02 34th Avenue,Queens,Flushing,11354,(718) 461-1923,(718) 461-7617,AF0238C,"Sutton Gardens, LLC",590-F-326,47,0,47,47,0,AH,PPHA,MARO,"147-02 34th Avenue
Flushing, NY 11354
(40.767367612000044, -73.81974063599995)",USA
USA-NY-45-AdultCare-45-AdultCare-147,NY Found-Sr Citizens EHP#4 Ridge Street Gardens,80-92 Ridge Street,New York,New York,10002,(212) 598-4148,(212) 598-4092,AF0341A,"New York Foundation for Senior Citizens, Inc.",420-S-375,47,0,0,0,0,EHP,NFP,MARO,"80-92 Ridge Street
New York, NY 10002
(40.71806057400005, -73.98358990199995)",USA
USA-NY-45-AdultCare-45-AdultCare-148,Maryville Assisted Living,70 Greenlawn Road,Suffolk,Huntington,11743,(631) 427-7685,(631) 673-4636,AF0306A,"Maryville Adult Home, Inc.",700-F-891,32,0,32,32,0,AH,PPHA,MARO,"70 Greenlawn Road
Huntington, NY 11743
(40.87382729300003, -73.39319994099998)",USA
USA-NY-45-AdultCare-45-AdultCare-149,Legacy at Cranberry Landing,300 Cranberry Landing Drive,Monroe,Rochester,14609,(585) 244-3630,(585) 288-3739,AF0724A,"Norton Associates Operating, LLC",370-F-238,78,0,78,26,19,AH,PPHA,WRO,"300 Cranberry Landing Drive
Rochester, NY 14609
(43.18926428900005, -77.54924538999995)",USA
USA-NY-45-AdultCare-45-AdultCare-150,Sunrise of Plainview,1231 Old Country Road,Nassau,Plainview,11803,(516) 932-5151,(516) 932-1759,AF0836B,"GWC - Plainview, Inc.",400-F-323,65,0,65,65,17,AH,PPHA,MARO,"1231 Old Country Road
Plainview, NY 11803
(40.776489078000054, -73.46055393299997)",USA
USA-NY-45-AdultCare-45-AdultCare-151,Gables Home for Adults,127 Rider Avenue,Suffolk,Patchogue,11772,(631) 475-3857,(631) 475-3857,AF0250B,"Gables Holding Company, Inc.",700-F-909,24,0,0,0,0,AH,PPHA,MARO,"127 Rider Avenue
Patchogue, NY 11772
(40.760668414000065, -73.00868765999996)",USA
USA-NY-45-AdultCare-45-AdultCare-152,Dawn Hill Adult Home,65 Lisa Drive,Suffolk,North Port,11768,(631) 261-8088,(631) 261-8088,AF0232A,"Flowerfield Associates, Inc.",700-F-897,30,0,0,0,0,AH,PPHA,MARO,"65 Lisa Drive
North Port, NY 11768
(40.89179235000006, -73.34870922399995)",USA
USA-NY-45-AdultCare-45-AdultCare-153,Willow Towers EHP,355 Pelham Road,Westchester,New Rochelle,10805,(914) 636-6565,(914) 636-1890,AF0618A,"Willow Towers, Inc.",800-S-131,150,0,150,30,30,EHP,NFP,MARO,"355 Pelham Road
New Rochelle, NY 10805
(40.89802377500007, -73.77815131599993)",USA
USA-NY-45-AdultCare-45-AdultCare-154,"Manor Haven Adult Home, Inc.",222 Columbia Street,Suffolk,Huntington Station,11746,(631) 549-0226,(631) 367-1240,AF0300B,"Manor Haven Adult Home, Inc.",700-F-896,32,0,0,0,0,AH,PPHA,MARO,"222 Columbia Street
Huntington Station, NY 11746
(40.84887996200007, -73.41981478799994)",USA
USA-NY-45-AdultCare-45-AdultCare-155,Orchard Grove Residences,2000 Southwestern Drive W. E.,Chautauqua,Jamestown,14701,(716) 338-1600,(716) 985-6690,AF0698A,"The Gerry Homes, Inc.",060-E-040,36,30,0,0,0,AH/ALP,NFP,WRO,"2000 Southwestern Drive W. E.
Jamestown, NY 14701
(42.087033000000076, -79.29498549999994)",USA
USA-NY-45-AdultCare-45-AdultCare-156,Bridges Cornell Heights - The Tudor,407 Wyckoff Avenue,Tompkins,Ithaca,14850,(607) 257-5777,(607) 257-3565,AF0641A,"Ambrose, Elizabeth Classen",730-F-003,15,0,15,15,0,AH,PPHA,CNYRO,"407 Wyckoff Avenue
Ithaca, NY 14850
(42.45573017300006, -76.48442218599996)",USA
