row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-23-SeniorHousing-23-SeniorHousing-80,Middlebro (Southern Health RHA) Railway Ave.,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,Social programs; congregate meal service; meal delivery,,Sharon Yatsko (MH),1-204-425-5010,,,,Railway Ave,,Middlebro,MB,R0A 1B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-81,Miniota (Prairie Mountain Health RHA) Parkissimo Lodge Inc.,,,,Parkissimo Lodge Inc.,,10,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; grab bars in bathroom Building,emergency call service; meal service at noon 5 days per week (user fee),,Olive McKean,204-567-3710,,,,156 North Railway Ave.,,Miniota,MB,R0M 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-82,Minitonas (Prairie Mountain Health RHA) The Chalet,,,,First Baptist Church,,12,1 1 Bedroom Rental,Kitchen; cable; carpeting Building,Meal service; homecare in building; building security;,,Marilyn Natyna,204-525-4914,,,,281 5th Ave.,,Minitonas,MB,R0L 1G0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-83,Minnedosa (Prairie Mountain Health RHA) Minnedosa Legion Gardens,,,,Manitoba Housing Authority,,55,6 Bachelor; 1 bedroom Rental,Kitchen Building,emergency call service; social programs,,,204-726-6455 1-800-651-8217,,,,169 Main Street,,Minnedosa,MB,R0J 1E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-84,Minto (Prairie Mountain Health RHA) Dowland Manor,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,,,,204-726-6455,,,,John Street,,Minto,MB,R0K 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-85,Moosehorn (Interlake RHA) Heritage Villa,,,,Manitoba Housing Authority,,22,1 Bachelor; 1 bedroom Rental,Kitchen Building,meal delivery,,Phillip Russell,1-866-440-4663,,,,Lot 1Railway Ave,,Moosehorn,MB,R0C 2E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-86,Morden (Southern Health RHA) Morden Elks Park Place,,,,Manitoba Housing Authority,,36,5 1 Bedroom; 2 bedroom Rental,Kitchen; security system; cable Building,Emergency call service; congregate meal service; meal delivery,,Fred Mayor,204-822-6596,,,,265 North Railway Street,,Morden,MB,R6M 1W4,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-87,Morris (Southern Health RHA) Rebecca Cove,,,,Manitoba Housing Authority,,28,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen Building,Social programs; congregate meal service; meal delivery,,Caroline Schellenberg,204-324-5308,,,,153 Montreal St.,,Morris,MB,R0G 1K0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-88,Neepawa (Prairie Mountain Health RHA) Neepawa Elks Manor,,,,Neepawa Kinsmen Sr Citizens Housing,,51,4 1 Bedroom Rental,Kitchen Building,Social programs,,Warren Burton,204-476-2900,,,,299 Davidson St.,,Neepawa,MB,R0J 1H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-89,Newdale (Prairie Mountain Health RHA) Harrison House,,,,Newdale Sr Cit Home Inc.,,11,1 Bachelor; 1 bedroom Rental,Kitchen; grab bars in bathroom Building,Social programs; meal service 3 times a week; foot care; homecare in building,,Carol Delgarno,204-849-2193,,,,212 Firehall St.,,Newdale,MB,R0J 1J0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-90,Niverville (Interlake RHA) Pleasant Plaza,,,,Manitoba Housing Authority,,14,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,113-3rd Ave,,Niverville,MB,R0A 1E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-91,Notre Dame (Southern Health RHA) Ensemble Chez Soi,,,,Manitoba Housing Authority,,24,1 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,,,Fernand Gervais,204-248-7270,,,,33 Rodgers Street,,Notre Dame,MB,R0G 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-92,Oakbank (Interlake RHA) Kinplace-Oakbank,,,,Manitoba Housing Authority,,14,1 1 Bedroom Rental,Kitchen; cable; security system Building,"social programs, instructional programs; meal delivery; congregate meal service",,Rosemary Chabluk,204-444-2821,,,,689 Main Street,,Oakbank,MB,R0E 1J1,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-93,Oaklake (Prairie Mountain Health RHA) Aspen Place,,,,Manitoba Housing Authority,,16,1 Bachelor; 1 bedroom Rental,Kitchen; cable Building,Emergency call service; social programs,,,204-726-6455,,,,Assiniboine Street,,Oaklake,MB,R0M 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-94,Oakville (Interlake RHA) Kawende Courts,,,,Manitoba Housing,,10,1 1 Bedroom Rental,Kitchen; bathroom Building,Social programs; instructional programs; meal delivery,,Barb Congram (MH Portage),204-239-3687,,,,222-Fourth Street,,Oakville,MB,R0H 0Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-95,Ochre River (Prairie Mountain Health RHA) Sunny Bay Apartments,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,200 East Ave. S,,Ochre River,MB,R0L 1K0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-96,Onanole (Prairie Mountain Health RHA) Crestview,,,,Manitoba Housing Authority,,8 (4 duplexes),1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,,204-726-6455,,,,52-59 Grenant,,Onanole,MB,R0J 1N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-97,Pilot Mound (Southern Health RHA) Prairie View Lodge,,,,Pilot Mound Housing Corporation,,16,1 2 Bedroom Rental,Kitchen; in-suite laundry room; air conditioning Building,,,Lois Lynch,204-825-2394,,,,Railway &amp; Beverage,,Pilot Mound,MB,R0G 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-98,Pinawa (Interlake RHA) 11 McGregor Crescent,,,,Parklands Property,,8 (condos),2 3 Bedroom Rental,Kitchen; in-suite laundry room; cable Building,,,Bill Ederton,204-753-2167,,,,11 McGregor Crescent,,Pinawa,MB,R0E 1L0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-99,Pine Falls (Interlake RHA) Pineview Lodge,,,,Pineview Senior Citizens Home Inc.,,13,1 Bachelor; 1 Bedroom; 2 bedroom Rental,Kitchen; cable; storage Building,Adult day program; emergency call service; social programs; meals twice per week; occasional bus outings; homecare if required; grocery shopping,,Shirley Lavalee,204-367-8983,,,,48 Pine Street,,Pine Falls,MB,R0E 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-100,Pine River Rainbow Villa,,,,Manitoba Housing Authority,,10,1 1 Bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,417-2nd Ave.,,Pine River,MB,R0L 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-101,Plumas (Southern Health RHA) Valley View Lodge,,,,Manitoba Housing,,12,1 1 Bedroom Rental,Kitchen; bathroom Building,social programs; congregate meal service; meal delivery,,Cornie Wolfe (MH Portage),204-239-3685,,,,225 Evanson Street,,Plumas,MB,R0J 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-102,Plum Coulee (Southern Health RHA) Maple Manor,,,,Manitoba Housing Authority,,30,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal service; meal delivery,,Caroline Schellenberg,204-324-5308,,,,14 Maple Drive,,Plum Coulee,MB,R0G 1R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-103,Poplarfield (Interlake RHA) Poplar Villa,,,,Manitoba Housing,,8,1 1 Bedroom Rental,Kitchen Building,,,Keith Poleschuk (MHA Gimli),204-642-6061,,,,6 High Plains Road,,Poplarfield,MB,R0C 2N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-104,Portage la Prairie (Southern Health RHA) One Broadway Place,,,,Manitoba Housing,,68,3 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,social programs; congregate meal service; meal delivery,,Kelly Ouellette (MH Portage),204-239-3684,,,,"149-4th Street, SE",,Portage la Prairie,MB,R1N 1K3,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-105,Powerview (Interlake RHA) Winnipeg River Manor,,,,Winnipeg River Lions Manor,,18,2 1 Bedroom; 2 bedroom Rental,Kitchen; grab bars in bathroom Building,Congregate meal service; emergency call service; social programs,,,1-800-543-6118 1-204-982-2000,,,,34 Laura Street,,Powerview,MB,R0E 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-106,Rapid City (Prairie Mountain Health RHA) Rapid City Legion Community Gardens Inc.,,,,Manitoba Housing Authority,,10,1 Bachelor; 1 bedroom Rental,Kitchen; cable Building,,,Keith Findlay,204-826-2021,,,,350 - 2nd Ave.,,Rapid City,MB,ROK 1WO,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-107,Rathwell (Prairie Mountain Health RHA) Green Prairie Lodge,,,,Town of Rathwell ‰ÛÒ CMHC,,9,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen Building,social programs; congregate meal service; meal delivery,,Board of Directors Gwenda Johnston,204-749-2145,,,,,Box 158,Rathwell,MB,R0G 1S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-108,Reston (Prairie Mountain Health RHA) Alstone Lodge,,,,Alstone Lodges,,18,1 Bachelor; 2 bedroom Rental,Kitchen; cable; in-suite laundry (2 suites only) Building,Congregate meal service; meal delivery,,Lori Anderson,204-877-3632,,,,,Box 205,Reston,MB,R0M 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-109,Richer (Southern Health RHA) 50-54 South East Drive,,,,Manitoba Housing Authority,,8 (4 duplexes),1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,Richard Ewen (MH Eastman/Interlake),1-800-441-5514,,,,50-54 South East Drive,,Richer,MB,R0E 1S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-110,Rivers (Prairie Mountain Health RHA) Riverdale Manor,,,,Rivers Kiwanis Courts Ltd.,,9,1 1 Bedroom; bachelor; 1 large suite Rental,Kitchen Building,,,Jean Young,204-328-7316,,,,"620-6th Ave W.,",Box 221,Rivers,MB,R0K 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-111,Riverton (Interlake RHA) Icelandic River Lodge,,,,Manitoba Housing,,24,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; congregate meal service; meal delivery,,Keith Poleschuk (MHA Gimli),204-642-6061,,,,64 Main St. N.,,Riverton,MB,R0C 2R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-112,Roblin (Prairie Mountain Health RHA) Maple Manor,,,,Housing Authority,,21,1 1 Bedroom; bachelor Rental,Cable; grab bars in bathroom Building,Emergency call service; congregate meal service; social programs; homecare in building,,Tracy Dube,204-937-2345,,,,26 Park St.,,Roblin,MB,R0L 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-113,Rorketon (Prairie Mountain Health RHA) 2nd Avenue South,,,,Manitoba Housing Authority,,8,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,"Railway Ave, Main St. W",,Rorketon,MB,R0L 1R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-114,Rosenfeld (Southern Health RHA) Rose Village Villa,,,,Manitoba Housing Authority,,13,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; social programs; congregate meal service,,Caroline Schellenberg,204-324-5308,,,,12 Bredin St.,,Rosenfeld,MB,R0G 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-115,Rosenort (Southern Health RHA) Rose Lane Apartments,,,,Rosenort Housing Corporation,,9,1 2 Bedroom Rental,Kitchen; in-suite laundry room; carpeting; draperies; air conditioning; patio/deck Building,Social programs; instructional programs; congregate meal service,,Larry Buhler,204-746-8994,,,,29 Rose Lane,,Rosenort,MB,R0G 1W0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-116,Rossburn (Prairie Mountain Health RHA) Our Lady of Fatima Manor,,,,Manitoba Housing Authority,,11,1 Rental,Kitchen Building,,,Gail Chescu,204-937-6474,,,,71 Main St. N.,,Rossburn,MB,R0J 1V0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-117,Russell (Prairie Mountain Health RHA) Elks Legion Court,,,,Manitoba Housing Authority,,40,Bachelor Rental,Kitchen Building,,,,204-726-6455,,,,122 Manitoba Ave.,,Russell,MB,R0J 1W0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-118,Sandy Lake (Prairie Mountain Health RHA) Railroad Ave,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,,204-726-6455,,,,Railroad Ave,,Sandy Lake,MB,R0J 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-119,Selkirk (Southern Health RHA) Parkview Manor,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,social programs; emergency call service,,Kathy Barnard (MHA Selkirk),204-785-5228,,,,Henderson Highway,,Selkirk,MB,R0E 0M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-120,Shoal Lake (Prairie Mountain Health RHA) Morley House Shoal Lake,,,,,,9,1 1 Bedroom Rental,Kitchen; carpeting Building,,,Kim Manuliak,204-759-2118,,,,,Box 490,Shoal Lake,MB,R0J 1Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-121,Sifton (Prairie Mountain Health RHA) Golden Harbor,,,,Manitoba Housing Authority,,8,1 1 Bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,100 Government Road,,Sifton,MB,R0L 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-122,Snow Lake (Northern RHA) Snow Lake,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,Tenant parking; guest parking,,,204-627-8355,,,,,,Snow Lake,MB,R0B 1M0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-123,Somerset (Southern Health RHA) Somerset Manor,,,,Somerset Manor BoD,,31,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; cable; draperies Building,; congregate meal service; social programs,,Margaret Lussier,204-744-2299,,,,Therien Ave,Box 354,Somerset,MB,R0G 2L0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-124,Souris (Prairie Mountain Health RHA) Victoria Park Lodge,,,,Manitoba Housing Authority,,60,3 Bachelor; 1 bedroom Rental,Kitchen Building,social programs; congregate meal service; meal delivery,,Roy Palmer,1-800-651-8217,,,,", 135 3rd St. S",Box 940,Souris,MB,R0K 2C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-125,Sprague (Southern Health RHA) Sprague,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,Sharon Yatsko (MHA),1-204-425-5010,,,,59-64 Rose Bay,,Sprague,MB,R0A 1Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-126,St. Adolphe (Southern Health RHA) Chalet Beausejour,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,428 Main Street,,St. Adolphe,MB,R0A 1S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-127,Starbuck (Southern Health RHA) Riverdale Apartments,,,,Starview Manor Society Inc.,,6,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; carpeting; draperies Building,Emergency call service; social programs,,Darlene Morissette,204-735-2892,,,,,Box 225,Starbuck,MB,R0G 2P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-128,St. Claude (Southern Health RHA) Manoir de St. Claude,,,,Manitoba Housing,,8 (4 duplexes),1 1 Bedroom Rental,Kitchen; in-suite laundry room; bathroom Building,,,Barb Congram (MH Portage),204-239-3687,,,,Aspen Rd,,St. Claude,MB,R0G 1Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-129,Ste. Agathe (Southern Health RHA) Chalet Ste. Agathe,,,,Manitoba Housing Authority,,10,1 1 Bedroom Rental,Kitchen Building,,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,431 Bourret Ave,,Ste. Agathe,MB,R0A 1R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-130,Ste. Anne (Southern Health RHA) Villa Youville Inc.,,,,Al Deschauer,,240 lots,1 mobile homes Rental,Customized Building,Emergency call service; social programs; instructional programs,,Al Deschauer,204-422-8662,,,,8A Paradise Drive,,Ste. Anne,MB,R5H 1H2,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-131,Steinbach (Southern Health RHA) Linden Place,,,,Steinbach Housing Inc.,,136,6 1 Bedroom; 2 bedroom Rental,Kitchen; cable; carpeting; some with air conditioning; security system; grab bars in bathroom Building,emergency call service; social programs; congregate meal service; hairdresser; homecare in building,,Brenda or Leverne Penner,204-326-2002,,,,303-3rd Street,,Steinbach,MB,R5G 1K1,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-132,Ste. Rose du Lac (Prairie Mountain Health RHA) Leisure Apartments,,,,Dr. Gendreau Personal Care Home,,24,1 Bedroom Rental,Kitchen Building,,,Dr. Gendreau Personal Care Home,204-447-2019,,,,Memorial Drive,,Ste. Rose Du Lac,MB,R0L 1X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-133,St. Eustache (Southern Health RHA) St. Eustache Manor,,,,Manitoba Housing,,12,1 Rental,Kitchen; bathroom Building,Social programs,,Barb Congram (MH Portage),204-239-3687,,,,248 Provincial Road,,St. Eustache,MB,R0H 1H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-134,St. George (Interlake RHA) Foyer Chateauguay Home,,,,Manitoba Housing Authority,,15,1 Studio; 1 bedroom Rental,Kitchen Building,social programs;,,Cindy Zinyk (MHA Selkirk),204-785-5228,,,,21 Baie Caron,,St. George,MB,R0E 1V0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-135,St. Jean (Southern Health RHA) Paradis Des Pionniers,,,,MB Housing &amp; Paradis Des Pionniers Inc.,,25,1 Bachelor; 1 bedroom; 2 bedroom Rental,Building,Meal service; social programs; bus outings; grocery shopping; homecare in building,,Sandra Fillion,204-758-3025,,,,,Box 249,St. Jean,MB,R0G 2B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-136,St. Laurent (Interlake RHA) Foyer Laurentien Lodge,,,,Manitoba Housing Authority,,20,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; social programs; congregate meal service,,Kathy Barnard,204-785-5235,,,,,,St. Laurent,MB,R0C 2S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-137,St. Lazare (Prairie Mountain Health RHA) Charlier Ave.,,,,Manitoba Housing Authority,,12,1 Bachelor and 1 Bedroom Rental,Kitchen Building,,,Gail Chescu,204-937-6474,,,,Charlier Ave.,,St. Lazare,MB,R0M 1Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-138,St. Leon (Southern Health RHA) Rue des Peres,,,,Manitoba Housing,,1 Duplex,1 1 Bedroom Rental,Kitchen; in-suite laundry room; bathroom Building,,,Fern Gervais (MH Portage),204-248-7274 toll-free 1-866-440-4663,,,,Rue des Peres,,St. Leon,MB,R0G 2E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-139,St. Malo Southern Health RHA Chalet Malouin Inc.,,,,Chalet Malouin Inc.,,84,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; carpeting; draperies Building,Cleaning/linen services; on call medical services; homecare in building; emergency call service; social programs; instructional programs; congregate meal service; meal delivery;  senior coordinator; bus outings; grocery shopping,,,204-347-5753,,,,14 St. Hilaire Street,,St. Malo,MB,R0A 1T0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-140,Stonewall (Interlake RHA) Stonewall and District Lions Manor,,,,Interlake Eastern RHA,,30,2 1 Bedroom Rental,Kitchen; cable (extra); carpeting; draperies; smoke detectors; grab bars in bathroom Building,On-call medical services; emergency call service; social programs; congregate meal service,,Brigette Budgell (Pinawa MB),204-753-3100,,,,385 34rd Street W,Box 760,Stonewall,MB,R0C 2Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-141,Stony Mountain (Interlake RHA) Hilltop Manor,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,Social programs; congregate meal service; meal delivery,,Kathy Barnard,204-785-5235,,,,,,Stony Mountain,MB,R0C 3A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-142,St. Pierre Joly (Southern Health RHA) Manoir St. Pierre Inc.,,,,St. Pierre Manor Inc.,,60,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; grab bars in bathroom Building,"Congregate meal services; bus outings, grocery shopping; homecare in the building; social programs",,Leon Morrissette,204-433-3724,,,,449 Joly Ouest,,St. Pierre Joly,MB,R0A 1V0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-143,Strathclair (Prairie Mountain Health RHA) Centennial Lodge,,,,Strathclair Seniors Home Inc,,12,1 Bachelor; 1 bedroom Rental,Kitchen; cable; draperies; grab bars in bathroom Building,Social programs; meal program; homecare,,,204-365-2567,,,,6 Arnitt St,,Strathclair,MB,R0J 2C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-144,Swan Lake (Southern Health RHA) Swan Lake Senior Citizens Home,,,,Swan Lake Sr Cit Home Inc.,,11,1 1 Bedroom Rental,Kitchen; carpeting Building,emergency call service; meal delivery; pharmacist visits; hairdresser visits; church services,,Betty-Ann DeCeuleneer,204-836-2616,,,,,Box 97,Swan Lake,MB,R0G 2S0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-145,Swan River Duck Mountain Manor,,,,Temple Baptist Housing Coop,,30,3 1 Bedroom; 2 bedroom Rental,Kitchen; cable; carpeting Building,Emergency call service; social programs,,Alvin Berkam,204-734-9321,,,,203 8th Ave. S,,Swan River,MB,R0L 1Z0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-146,Teulon (Interlake RHA) Crescent Creek Park,,,,Manitoba Housing,,18,1 Bachelor; 1 bedroom Rental,Kitchen; cable TV Building,Meal service,,Maureen Paskaruk (MHA Gimli),204-642-6060,,,,20 Fifth Ave,,Teulon,MB,R0C 3B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-147,The Pas (Northern RHA) Northern View Lodge,,,,Manitoba Housing Authority,,15,1 1 Bedroom; 2 bedroom Rental,Kitchen Building,,,,204-627-8355,,,,524 Fafard Avenue,,The Pas,MB,R9A 1K6,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-148,Thompson (Northern RHA) Rotary Place,,,,Manitoba Housing Authority,,10,3 2 Bedroom; 3 bedroom Rental,Kitchen and balconies Building,,,,204-627-8355,,,,38 Brandon Crescent,,Thompson,MB,R8N 1N5,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-149,Treherne (Prairie Mountain Health RHA) Broadway Ave”ÛÄ,,,,Treherne Legion Lodge Inc.,,11,1 Bachelor; 1 bedroom Rental,Kitchen; cable; grab bars in bathroom Building,social/recreational programs; home care; handitransit available; auto door opener,,Georgina Rintoul,204-726-2633,,,,188 Smith St,,Treherne,MB,R0G 2V0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-150,Tyndall (Interlake RHA) Tyndall Manor,,,,Manitoba Housing,,12,1 1 Bedroom Rental,Kitchen Building,,,Rhonda Stika (MHA Selkirk),204-785-5382,,,,19 First Street,,Tyndall,MB,R0E 2B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-151,Vassar (Southern Health RHA) Sandy Crescent,,,,Manitoba Housing Authority,,8,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,Social programs; emergency call service,,Sharon Yatsko (MH Eastman/Interlake),1-204-425-5010,,,,Sandy Crescent,,Vassar,MB,R0A 2J0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-152,Victoria Beach (Interlake RHA) Ateah Road,,,,Desi Trainer,,4,1 1 Bedroom Rental,Kitchen Building,emergency call service,,Desi Trainer,204-756-2701,,,,5 Ateah Road,,Victoria Beach,MB,R0E 2C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-153,Virden (Prairie Mountain Health RHA) Princess Lodge,,,,Manitoba Housing,,8,2 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,Social programs; instructional programs; congregate meal services; meal delivery; 24 hour block Home Care available; Handi transit available;,,Barb Congram (MH Portage),204-239-3687,,,,257 Hargrave St. E,,Virden,MB,R0M 2C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-154,Vita (Southern Health RHA) Shady Oaks Lodge,,,,Manitoba Housing Authority,,32,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal service; meal deliver; Enter phone system; social and recreational programs; bus outings,,Sharon Yatsko,204-425-5010,,,,133 Drull Ave.,,Vita,MB,R0A 2K0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-155,Waskada (Prairie Mountain Health RHA) Waskada,,,,Manitoba Housing Authority,,6,1 1 Bedroom Rental,Kitchen; in-suite laundry room Building,,,,204-726-6455,,,,,,Waskada,MB,R0M 2E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-156,Wawanesa (Prairie Mountain Health RHA) Valley Lodge,,,,Valley Lodge Wawanesa Inc.,,12,1 Bachelor; 1 bedroom Rental,Kitchen; bathroom Building,Emergency call service,,Shirley Bell,204-824-2359,,,,429 Commercial Street,,Wawanesa,MB,R0K 2G0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-157,Westbourne (Southern Health RHA) First Crossing Courts,,,,Manitoba Housing,,8,1 1 Bedroom Rental,Kitchen; bathroom Building,,,Cornie Wolfe (MH Portage),204-239-3685,,,,641 Main Street,,Westbourne,MB,R0H 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-158,Whitemouth (Interlake RHA) Riverbend Manor Inc.,,,,Manitoba Housing Authority,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; meal delivery,,,204-785-5228,,,,General Delivery,,Whitemouth,MB,R0E 2G0,Canada,Senior Housing
