row_id,Facility Name,Address,City,Postal Code,Province,Terms of Occupancy,Housing Type,Number of Units,Eligibility Criteria,Application Procedure,Additional Criteria,Minimum Rate $,Maximum Rate $,RGI Rent Rate,Service Package Rate,Unit Square Footage Minimum,Unit Square Footage Maximum,Additional Suite Information,Additional Suite Features,Additional Services,Additional Building Information,Booleans (see readme),Site Contact Name,Site Phone,Site Email,Facebook,Twitter,Site Website,Site Description,facility_type,country
Canada-AB-26-AB-HousingDirecotry-output-214,Dr. Strilchuk Villa ,T0b 3h0,Mundare,T0B 3H0,AB,Rental/Lease,Public Not-For-Profit,6,Seniors are given priority for such housing.,Contact Manager.,Smoking allowed in suites.,330,600,30%,Not Specified,approximately 650.,as above.,Not Specified,Not Specified,Home Care available based on an asssessed need. Meals can be supplied by Lodge ( Wheels to meals program in place).,Not Specified,"[True, False, True, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, True, False, True, False, True]",Al Lenkewich,780-764-3013,Not Specified,Not Specified,Not Specified,Not Specified,Independent Living accommodattion. Exterior/Interior maintenance provided.,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-215,Beaverhill Pioneer Lodge ,5133 - 52 Street,Lamont,T0B 2R0,AB,Rental/Lease,Public Not-For-Profit,36,Contact Manager.,Contact Manager,Smoking and Pets are not allowed.,968,1069,Not Specified,Included,120,300,Not Specified,Not Specified,Home Care is available based on an assessed need.,Not Specified,"[True, False, False, True, False, False, False, False, False, False, True, True, False, True, True, True, False, True, False, True, True, False, True, False, True]",Debbie Hancheruk.,780-895-2573,Not Specified,Not Specified,Not Specified,www.lamontcountyhousingfoundation.com,"Lodge accommodation for Seniors to include housing, food services, laundry, housekeeping services, recreation and other like amenities.An active Resident Council is in place., The facility meets the Provincial accommodation standards.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-216,Andrew Seniors Lodge  ,5034 - 53 Avenue,Andrew,T0B 0C0,AB,Rental/Lease,Public Not-For-Profit,24,Contact Manager.,Contact Manager for application and other criteria for admission.,Pets and smoking are not allowed.,968,1069,Not Specified,Included; Seniors accommodation rates are adjusted and are left with $ 315.00 per month for incidentals with the proviso that their income is verfied.,120,300,Not Specified,Not Specified,Home Care is available based on an assessed need.,Not Specified,"[True, False, False, True, False, False, False, False, False, False, True, True, False, True, True, True, False, True, False, True, True, False, True, False, False]",Al Lenkewich,780-365-3737,Not Specified,Not Specified,Not Specified,www.lamontcountyhousingfoundation.com,"Contact Manager. Accommodation includes meals, recreation, houskeeping services., The facility meets the provincial accommodation standards.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-217,Villa Ouimet West ,4701 - 46 Avenue,Bonnyville,T9N 1N3,AB,Rental/Lease,Public Not-For-Profit,39,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",Non smoking building,Not Specified,750.00/800.00,30%,No services available.,600,800,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub. 

We do have 5 two bedroom units that are 800 square feet and these units are reserved for couples.",Not Specified,No services available.,"This building has three common areas, one on each floor and separate storage space in the basement.","[False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True]",Dallas Lebedynski,780-826-6202 ext 2,bv.gl.housingmanager@hotmail.com,Not Specified,Not Specified,lakelandfoundation.ca,"Villa Ouimet is a three storey, 30 unit independent senior-self contained apartment building. This building is located in Bonnyville at 4705-46 Avenue.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-218,Pioneer Village ,5206 - 50 Street,Cold Lake,T9M 1X1,AB,Rental/Lease,Public Not-For-Profit,12,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday or, the Cold Lake office is open on Wednesdays from 12:00pm to 2:00pm. Located at 122, 4910-50 Avenue Cold Lake. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",non smoking,Not Specified,750,30%,No services available.,600,600,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub. Each suite has individual decks.",Not Specified,No services available.,This building has a large centrally located common area.,"[False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]",Leanne Jorgensen,780-826-6202 ext 1,lakelandlodge@eastlink.ca,Not Specified,Not Specified,lakelandfoundation.ca,"Pioneer Village is a single storey, 12 unit independent senior-self contained apartment building. This building is located Cold Lake South at 5206-50 Street.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-219,Lapointe Manor ,4501 - 46 Street,Bonnyville,T9N 2G1,AB,Rental/Lease,Public Not-For-Profit,12,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",non smoking building,Not Specified,701,30%,No services available.,600,600,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub.",Not Specified,No services available.,This building is a large common area in the centre of the building with a kitchenette. At the back of the building there is a pagoda and patio area.,"[False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]",Dallas Lebedynski,780-826-6202 ext 2,bv.gl.housingmanager@hotmail.com,Not Specified,Not Specified,lakelandfoundation.ca,"Lapointe Manor is a single storey, 12 unit independent senior-self contained apartment building. This building is located in Bonnyville at 4501-46 Street.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-220,Hillside ,1003 - 3 Avenue,Cold Lake,T9M 1C3,AB,Rental/Lease,Public Not-For-Profit,20,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday or, the Cold Lake office is open on Wednesdays from 12:00pm to 2:00pm. Located at 122, 4910-50 Avenue Cold Lake. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",Non smoking building,Not Specified,830,30%,No services available.,600,800,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub. 

We do have 2 two bedroom units that are 800 square feet and these units are reserved for couples.",Not Specified,No services available.,This building has two common areas. The main floor common area exits onto a cement patio and the upstairs common area exits onto a deck.,"[False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]",Leanne Jorgensen,780-826-6202 ext 1,lakelandlodge@eastlink.ca,Not Specified,Not Specified,lakelandfoundation.ca,"Hillside Manor is a two storey, 20 unit independent senior-self contained apartment building. This building is located in Cold Lake at 1003-3rd Avenue.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-221,Lifestyle Options - Leduc ,108 West Haven Drive,Leduc,T9E 0R7,AB,Rental/Lease,Private For-Profit,86,Not Specified,Not Specified,"Smoking in designated exterior area only

Small pet by approval only",1950,2940,Not Specified,Extra Person $597.00,312 sq ft,914 sq ft,Not Specified,"Walk in shower or bathtub, Microwave shelf, In suite storage room, Window coverings, Wheelchair accessible, Individual suite controlled heating, Exterior and underground parking available","Meal service, Laundry service, 

Housekeeping, 

Private, and Alberta Health Services funded home care services available

Security system monitoring

Suite controlled air conditioning","General Amenity & Party Rooms, Hair Salon, Exercise Room, Art & Craft rooms, Meeting rooms, Library, General Store, Spiritual lounge, Games Room, Computer Room, Lobby & Seating area with Fireplace","[False, True, True, True, True, True, False, True, False, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True]",Kim Drady,780-980-3064 ext. 529,kdrady@lifestyleoptions.ca,Not Specified,Not Specified,lifestyleoptions.ca/leduc,"Leduc Lifestyle Retirement Community offers a total of 161 retirement suites in an assisted living environment with a variety of floor plans which include one bedroom and two bedroom suites with fridge, stove, window coverings and balcony. Each self contained suite is geared to meet the needs of seniors while encouraging independence. All meals are prepared by a highly qualified chef and staff and served in a spacious dining room. Safety and security is provided by our trained staff and 24-hour on-call service is available. Our supported living suites integrated throughout supportive housing focus on independence, interdependence & wellness programs. *Certain suites are reserved for specialized supportive programs in patnership with Alberta Health Services*",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-222,Heritage Manor 2 ,12 - 2nd Street NE,Glendon,T0A 1P0,AB,Rental/Lease,Public Not-For-Profit,4,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",Non smoking building,Not Specified,750,30%,No services available.,600,600,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub.",Not Specified,No services available.,This building has both front door and back door entrances.,"[True, False, False, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, True, False, True, False, True]",Dallas Lebedynski,780-826-6202 ext 2,bv.gl.housingmanager@hotmail.com,Not Specified,Not Specified,lakelandfoundation.ca,Heritage Manor 2 is a single store 4 unit independent senior-self contained apartment building. This building is located at 5017-52 Aveunue.,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-223,Heritage Manor 1 ,15 - 1st Street NE,Glendon,T0A 1P0,AB,Rental/Lease,Public Not-For-Profit,14,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",This building is a non smoking building,Not Specified,750,30%,No services available.,600,600,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub. All suites have exterior exits with a cement patio. Also, each individual suite has separate storage closet located in the communal storage room.",Not Specified,No services available.,This building has large common area located off the entrance of the building and a smaller common area at the back door. The site also has a community garden.,"[True, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, True, False, True, False, True]",Dallas Lebedynski,780-826-6202 ext 2,bv.gl.housingmanager@hotmail.com,Not Specified,Not Specified,lakelandfoundation.ca,"Herritage Manor is a single storey, 14 unit independent senior-self contained apartment building. This building is located in Glendon at 5017-52 Street.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-224,Dussault Residence ,4601 - 46 Avenue,Bonnyville,T9N 2E9,AB,Rental/Lease,Public Not-For-Profit,20,"To qualify for our senior self-contained apartments you must be a low-income senior, 65 years or older and have the ability to manage independently living in a 1 bedroom apartment.","Application for our senior self-contained buildings can be printed online at lakelandfoundation.ca or visit our head office; Lakeland Lodge and Housing Foundation. 205, 4904-50th Avenue Bonnyville. The office is open from 8:00am to 4:00pm Monday to Friday. Once the office is complete your application will be placed on our waitlist and clients are chosen based on need.",Non smoking building,Not Specified,750,30%,No services available.,600,600,"All of our 1 bedroom suits are 600 square feet. included in that 600 square feet is one bedroom, storage room, full kitchen, living room/dining room and washroom with tub.",Not Specified,No services available.,This building has two common areas and a deck off the second floor common area.,"[True, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, False, True]",Dallas Lebedynski,780-826-6202 ext 2,bv.gl.housingmanager@hotmail.com,Not Specified,Not Specified,lakelandfoundation.ca,Dussault Residence is a two storey independent senior-self contained apartment building. This building is located at 4601-46 Avenue Bonnyville.,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-225,Cold Lake Lodge ,4712 - 47 Avenue,Bonnyville,T9M 1B9,AB,Rental/Lease,Public Not-For-Profit,32,"To qualify for our Lodge you must be at least 65, a Canadian citizen and live in the area for at least 3 months.","Applications can be picked up at the Lodge (4712-47 Avenue) or printed online at our website lakelandfoundation.ca. Once the application is complete, the Lodge Manager will arrange for an interview with the client to review and perform the priority rating evaluation with the client to see where they fall on the list.",non smoking building,1011,1390,Not Specified,"laundry $35.00

Satellite $16.00",180,370,Not Specified,"bath tub/shower combination in the washroom, extra resident storage in the down the hall and blinds are included.",Cold Lake Lodge SL2 or Supportive Living level 2 (Independent living),"Craft room, Hair dresser, lounge or games area.","[True, False, False, True, False, False, False, True, False, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True]",Leanne Jorgensen,780-639-3495,coldlakelodge@persona.ca,Not Specified,Not Specified,lakelandfoundation.ca,"Cold Lake Lodge is located in Cold Lake North just 2 blocks from Cold Lake. This Lodge is a 5 minute drive from the Hospital, senior drop-in cente and the library. The Lodge sits on a large parcel of land that over looks the lake with walking paths and rest areas around the site.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-226,Bonnylodge ,4712 - 47 Avenue,Bonnyville,T9N 2E7,AB,Rental/Lease,Public Not-For-Profit,85,"To qualify for our Lodge you must be at least 65, a Canadian citizen and live in the area for at least 3 months.","Applications can be picked up at the Lodge (4712-47 Avenue) or printed online at our website lakelandfoundation.ca. Once the application is complete, the Lodge Manager will arrange for an interview with the client to review and perform the priority rating evaluation with the client to see where they fall on the list.",non smoking building,965,1344,Not Specified,"laundry $35.00

satellite $16.00",285,370,Not Specified,"All our suites are barrier free. We have a kitchenette that includes microwave opening, sink and fridge opening, bath tub/shower combination in the washroom, extra resident storage in the basement and blinds are included.",Bonnylodge has both SL2 and SL3 levels of care. SL2 or Supportive Living level 2 (Independent living)  and SL3 or  Supportive Living level 3 (higher level of care requiring home care).,"Craft room, Hair dresser, exercise room, non denominational worship room, lounge or games area.","[True, False, False, True, False, False, False, True, False, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True]",Dallas Lebedynski,780-826-3911,bonnylodge@persona.ca,Not Specified,Not Specified,lakelandfoundation.ca,"Bonnylodge is centrually located in the town of Bonnyville. Just two blocks south of main street. The Lodge is half a block from the senior drop-in centre and two blocks from the hospital and ambulance services. We have an onsite Manager and Activities Coordinatior from 8:00am-4:00pm. Bonnylodge also has 24/7 homecare on site. , The Bonnylodge is currently under construction and will be for the next 2-3 years. We have limited space for indoor and outdoor recreation and construction workers on site.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-227,Sunnydale Manor ,4702 - 54 Street,Mayerthorpe,T0E 1N0,AB,Rental/Lease,Public Not-For-Profit,12,"Applicants must be 65 years of age or older.  Applicants underage may be considered, at the management's discretion.  Must be able to live independently.  Must be within the core need income threshold established by the Provincial government.  This would be an annual gross income of $39,000.00 or less for a one-bedroom suite.",All applicants must complete an application form and have it signed in the presence of a Commissioner for Oaths.  A medical form must also be completed.  All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Not Specified,120,800,30%,Not Specified,525,525,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, True, False, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, False, False, True, False, True]",Robin Strome,587.991.2471,rstrome@lsaf.ca,Not Specified,Not Specified,Not Specified,TO FOLLOW,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-228,Spruce View Lodge ,12 Sunset Boulevard,Whitecourt,T7S 1S9,AB,Rental/Lease,Public Not-For-Profit,50,"Applicants must be 65 years of age or older and are able to live independently or with Personal Care Services supports.

Applicants under the age of 65 applying for accommodation will be considered on an individual basis taking into consideration unit vacancy, special circumstances and suitability of the individual.",All applicants must complete an application form and have it signed in the presence of a Commissioner of Oaths.  A medical form must also be completed.   All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Smoking permitted in Smoking Lounge only,Not Specified,Not Specified,30%,"$750.00

$350.00 for an additional person",360,790,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, True, True, True, False, False, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True]",Dena Krysik,780-778-5530,dkrysik@lsaf.ca,Not Specified,Not Specified,Not Specified,"The Lac Ste. Anne Foundation (LSAF) provides quality living options and support services for seniors and supportive housing clients. While striving to exceed Government standards on a daily basis, friendly and professional personnel assist residents and tenants in a caring homelike environment.  Offering safe affordable housing options in a number of communities along highway #43 northwest of Edmonton, LSAF has sites in Mayerthorpe, Whitecourt, Onoway, Gunn, Darwell, and Sangudo. Distributed throughout this corridor, the Foundation operates three Supportive Living lodges and over 265 independent supportive housing units.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-229,Seeley Manor ,5136 47 Ave,Onoway,T0E 1V0,AB,Rental/Lease,Public Not-For-Profit,12,"Applicants must be 65 years of age or older.  Applicants underage may be considered, at the management's discretion.  Must be able to live independently.  Must be within the core need income threshold established by the Provincial government.  This would be an annual gross income of $39,000.00 or less for a one-bedroom suite.",All applicants must complete an application form and have it signed in the presence of a Commissioner for Oaths.  A medical for must be completed.  All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Not Specified,120,750,30%,Not Specified,570,570,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, True, False, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, False, False, True, False, True]",Robin Strome,587.991.2471,rstrome@lsaf.ca,Not Specified,Not Specified,Not Specified,TO FOLLOW,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-230,Pleasant View Lodge ,4407 - 42A Ave,Mayerthorpe,T0E 1N0,AB,Rental/Lease,Public Not-For-Profit,51,"Applicants must be 65 years of age or older and are able to live independently or with Personal Care Services supports.

Applicants under the age of 65 applying for accommodation will be considered on an individual basis taking into consideration unit vacancy, special circumstances and suitability of the individual.",All applicants must complete an application form and have it signed in the presence of a Commissioner of Oaths.  A medical form must also be completed.   All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Smoking is only permitted in the smoking room.,Not Specified,Not Specified,30%,"$750.00 RGI is for base rent, not including Service Package Fee",310,310,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, True, False, False, False, False, True, False, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True]",Jessie Poeter,780-786-2393,jpoeter@lsaf.ca,Not Specified,Not Specified,Not Specified,"The Lac Ste. Anne Foundation (LSAF) provides quality living options and support services for seniors and supportive housing clients. While striving to exceed Government standards on a daily basis, friendly and professional personnel assist residents and tenants in a caring homelike environment.  Offering safe affordable housing options in a number of communities along highway #43 northwest of Edmonton, LSAF has sites in Mayerthorpe, Whitecourt, Onoway, Gunn, Darwell, and Sangudo. Distributed throughout this corridor, the Foundation operates three Supportive Living lodges and over 265 independent supportive housing units.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-231,Lakeview Manor ,"406, 55022 Ste. Anne Trail",Onoway,T0E 1A0,AB,Rental/Lease,Public Not-For-Profit,33,"Applicants must be 65 years of age or older.  Applicants underage may be considered, at the management's discretion.  Must be able to live independently.  Must be within the core need income threshold established by the Provincial government.  This would be an annual gross income of $39,000.00 or less for a one-bedroom suite.",All applicants must complete an application form and have it signed in the presence of a Commissioner for Oaths.  A medical form must be also completed.  All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Not Specified,120,750,30%,Not Specified,485,616,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, True, False, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, False, False, True, False, True]",Robin Strome,587.991.2471,rstrome@lsaf.ca,Not Specified,Not Specified,Not Specified,TO FOLLOW,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-232,Highview Haven ,4416 - 48 Street,Mayerthorpe,T0E 1N0,AB,Rental/Lease,Public Not-For-Profit,12,"Applicants must be 65 years of age or older.  Applicants underage may be considered, at the management's discretion.  Must be able to live independently.  Must be within the core need income threshold established by the Provincial government.  This would be an annual gross income of $39,000.00 or less for a one-bedroom suite.",All applicants must complete an application form and have it signed in the presence of a Commissioner for Oaths.  A medical form must also be completed.  All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Not Specified,120,800,30%,Not Specified,563,575,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, True, False, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, False, False, True, False, True]",Robin Strome,587.991.2471,rstrome@lsaf.ca,Not Specified,Not Specified,Not Specified,TO FOLLOW,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-233,Chateau Lac Ste. Anne ,5123 - 49 Avenue,Onoway,T0E 1V0,AB,Rental/Lease,Public Not-For-Profit,50,"Applicants must be 65 years of age or older and are able to live independently or with Personal Care Services supports.

Applicants under the age of 65 applying for accommodation will be considered on an individual basis taking into consideration unit vacancy, special circumstances and suitability of the individual.",All applicants must complete an application form and have it signed in the presence of a Commissioner of Oaths.  A medical form must also be completed.   All applicants are required to provide a current income tax Notice of Assessment and income tax return information in order to verify their income.,Smoking permitted in Smoking Lounge only,Not Specified,Not Specified,30%,"$750.00

$350.00 for an additional person

RGI is for base rent, not including Service Package Fee",275,525,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, True, True, False, False, False, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, False, True]",Tammie Muters,780-967-0475,tmuters@lsaf.ca,Not Specified,Not Specified,Not Specified,"The Lac Ste. Anne Foundation (LSAF) provides quality living options and support services for seniors and supportive housing clients. While striving to exceed Government standards on a daily basis, friendly and professional personnel assist residents and tenants in a caring homelike environment.  Offering safe affordable housing options in a number of communities along highway #43 northwest of Edmonton, LSAF has sites in Mayerthorpe, Whitecourt, Onoway, Gunn, Darwell, and Sangudo. Distributed throughout this corridor, the Foundation operates three Supportive Living lodges and over 265 independent supportive housing units.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-234,Trochu Valley Manor ,403 Royal Way,Trochu,T0M 2C0,AB,Rental/Lease,Public Not-For-Profit,28,For independent seniors age 60+.,"Complete the application form, which can be found at www.kneehillhousing.com and then schedule an interview with the Housing Coordinator by calling 403-443-5216.",Medical Report to be completed by your doctor.,120,650,30%,Not Specified,515,682,"Rent includes heat, water, sewer, garbage and the use of the laundry facilities.  Electricity is not included in the rent.",Full kitchen.  Window coverings included.  In-Suite Laundry in eight of the units.,Not Specified,There are two laundry rooms in the manor.  Use of the laundry facilities is included in the rent. Single-storey building.,"[True, False, False, False, True, False, False, True, True, True, True, False, True, False, False, False, False, False, False, False, True, False, True, False, True]","Ross Gaerhring, CAO",403-443-5216,403-443-5216,Not Specified,@KneehillHC,www.kneehillhousing.com,"Looking for a more relaxed lifestyle in a friendly, small town setting that is still close to many services and amenities?  Come join us in beautiful, scenic Central Alberta!",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-235,Torre Ville Manor ,100 - 2 Avenue,Torrington,T0M 0B0,AB,Rental/Lease,Public Not-For-Profit,6,"For independent seniors, age 60+","Complete the application form, which can be found at www.kneehillhousing.com and then schedule an interview with the Housing Coordinator by calling 403-443-5216.",Medical Report completed by your doctor.,120,650,30%,Not Specified,Not Specified,500,"Rent includes heat, water, sewer and garbage and use of laundry facilities .  A charge for electricity is added to the rent.",Full kitchen includes fridge and stove.,Not Specified,Use of laundry facility is included in the rent.,"[True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]","Ross Gaerhring, CAO",403-443-5216,info@kneehillhousing.com,Not Specified,@KneehillHC,www.kneehillhousing.com,"Looking for a more relaxed lifestyle in a friendly, small town setting that is still close to many services and amenities?  Come join us in beautiful, scenic Central Alberta!  Torre Ville is a 6 unit, single storey manor located in Torrington, AB.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-236,Robertson Manor ,806 - 1 Street N,Three Hills,T0M 2A0,AB,Rental/Lease,Public Not-For-Profit,40,"For independent seniors, age 60+","Complete the application form, which can be found at www.kneehillhousing.com and then schedule an interview with the Housing Coordinator by calling 403-443-5216.",Medical Report completed by your doctor.,120,650,30%,Not Specified,360,575,"Rent includes heat, water, sewer, garbage and the use of the laundry facilities.  Charges for electricity and parking are added to the rent.  Several Suites for couples have been created by adding a doorway between two bachelor units.  A couple's suite is 720 sq.ft.",Full kitchen includes fridge and stove.,Not Specified,Two Common Rooms provide space to have potlucks or gather with family and neighbors.  There are two laundry rooms in the building.  Use of the laundry facility is included in the rent.,"[True, False, False, True, True, False, False, True, True, True, True, False, False, False, False, False, False, False, False, True, True, False, True, True, True]","Ross Gaerhring, CAO",403-443-5216,info@kneehillhousing.com,Not Specified,@KneehillHC,www.kneehillhousing.com,"Looking for a more relaxed lifestyle in a friendly, small town setting that is still close to many services and amenities?  Come join us in beautiful, scenic Central Alberta!",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-237,Meadow Park Manor ,109 Allison Street,Acme,T0M 0A0,AB,Rental/Lease,Public Not-For-Profit,12,"For independent seniors, age 60+","Complete the application form, which can be found at www.kneehillhousing.com and then schedule an interview with the Housing Coordinator by calling 403-443-5216.",Medical Report completed by your doctor.,120,650,30%,Not Specified,Not Specified,460,"Rent includes heat, water, sewer, garbage and use of the laundry facility. Charges for electricity and parking are added to the rent.","Each unit includes a fridge, stove and storage closet.  It has a door to the interior hallway and a door to the outside.",Not Specified,The Common Room is a place to gather with your neighbors.,"[True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]","Ross Gaerhring, CAO",403-443-5216,info@kneehillhousing.com,Not Specified,@KneehillHC,www.kneehillhousing.com,"Looking for a more relaxed lifestyle in a friendly, small town setting that is still close to many services and amenities?  Come join us in beautiful, scenic Central Alberta!  Meadow Park Manor is a 12 unit, single storey manor located in the village of Acme.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-238,Lynn Haven Manor ,202 Centre Avenue E,Linden,T0M 1J0,AB,Rental/Lease,Public Not-For-Profit,12,"For independent seniors, age 60+","Complete the application form, which can be found at www.kneehillhousing.com and then schedule an interview with the Housing Coordinator by calling 403-443-5216.",Medical Report completed by your doctor.,120,650,30%,Not Specified,Not Specified,460,"Rent includes heat, water, sewer, garbage and use of the laundry facility.  Charges for electricity and parking are added to the rent.","Each unit includes a fridge, stove and storage closet.  It has a door to the interior hallway and a door to the outside.",Not Specified,The Common Room is a place to gather with your neighbors.  Use of the laundry facility is included in the rent.,"[True, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True]","Ross Gaerhring, CAO",403-443-5216,info@kneehillhousing.com,Not Specified,@KneehillHC,www.kneehillhousing.com,"Looking for a more relaxed lifestyle in a friendly, small town setting that is still close to many services and amenities?  Come join us in beautiful, scenic Central Alberta! Lynn Haven Manor is a 12 unit, single storey manor in the bustling village of Linden.",Independent Living Only,Canada
