Field Name,Type,Notes,,Type Categories
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_RECEIVED_AN_ANTIPSYCHOTIC_MEDICATION,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_SELF-REPORT_MODERATE_TO_SEVERE_PAIN,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_WERE_PHYSICALLY_RESTRAINED,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHOSE_ABILITY_TO_MOVE_INDEPENDENTLY_WORSENED,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHOSE_NEED_FOR_HELP_WITH_DAILY_ACTIVITIES_HAS_INCREASED,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WITH_A_CATHETER_INSERTED_AND_LEFT_IN_THEIR_BLADDER,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WITH_A_URINARY_TRACT_INFECTION,Statistics,,,
PERCENTAGE_OF_LOW_RISK_LONG_STAY_RESIDENTS_WHO_LOSE_CONTROL_OF_THEIR_BOWELS_OR_BLADDER,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_ASSESSED_AND_APPROPRIATELY_GIVEN_THE_PNEUMOCOCCAL_VACCINE,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_HAD_AN_OUTPATIENT_EMERGENCY_DEPARTMENT_VISIT,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_MADE_IMPROVEMENTS_IN_FUNCTION,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_NEWLY_RECEIVED_AN_ANTIPSYCHOTIC_MEDICATION,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_SELF-REPORT_MODERATE_TO_SEVERE_PAIN,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_WERE_ASSESSED_AND_APPROPRIATELY_GIVEN_THE_SEASONAL_INFLUENZA_VACCINE,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_WERE_REHOSPITALIZED_AFTER_A_NURSING_HOME_ADMISSION,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WHO_WERE_SUCCESSFULLY_DISCHARGED_TO_THE_COMMUNITY,Statistics,,,
PERCENTAGE_OF_SHORT_STAY_RESIDENTS_WITH_PRESSURE_ULCERS_THAT_ARE_NEW_OR_WORSENED,Statistics,,,
PHONE,Contact Information,,,
PHONE1,Contact Information,,,
PHONE2,Contact Information,,,
PHYSICAL_ADDRESS,Address,,,
PHYSICAL_THERAPIST_STAFFING_FOOTNOTE,Staffing Information,,,
PHYSICALLY_DISABLED,Specializations,,,
PO_BOX,Address,,,
POC_DATES,To Be Investigated,,,
POINTS,To Be Investigated,,,
POSTAL_CODE,Address,,,
PREGNANT_WOMEN/COUNSELLING,Specializations,,,
PRIMARY_CONTACT,Contact Information,,,
PRIVATE-PAY_UNITS,Capacity,,,
PROCESSING_DATE,To Be Investigated,,,
PROFESSION,Facility Type,,,
PROFIT_STATUS,Administration Info,,,
PROVIDER,Contact Information,,,
PROVIDER_ADDRESS,Address,,,
PROVIDER_CHANGED_OWNERSHIP_IN_LAST_12_MONTHS,Administration Info,,,
PROVIDER_CITY,Address,,,
PROVIDER_COUNTY_NAME,Address,,,
PROVIDER_NAME,Contact Information,,,
PROVIDER_NUMBER,Administration Info,,,
PROVIDER_PHONE_NUMBER,Contact Information,,,
PROVIDER_RESIDES_IN_HOSPITAL,To Be Investigated,,,
PROVIDER_SSA_COUNTY_CODE,Administration Info,,,
PROVIDER_STATE,Address,,,
PROVIDER_TYPE,Facility Type,,,
PROVIDER_ZIP_CODE,Address,,,
PROVIDES_NURSING,Services,,,
PROVINCE,Address,,,
PUBLIC_FUNDING,Administration Info,,,
PUBLICLY_SUBSIDIZED_UNITS,Capacity,,,
Q1_MEASURE_SCORE,Scoring & Evaluations,,,
Q1_QUARTER,Scoring & Evaluations,,,
Q2_MEASURE_SCORE,Scoring & Evaluations,,,
Q2_QUARTER,Scoring & Evaluations,,,
Q3_MEASURE_SCORE,Scoring & Evaluations,,,
Q3_QUARTER,Scoring & Evaluations,,,
Q4_MEASURE_SCORE,Scoring & Evaluations,,,
Q4_QUARTER,Scoring & Evaluations,,,
QM_RATING,Scoring & Evaluations,,,
QM_RATING_FOOTNOTE,Scoring & Evaluations,,,
QUINTILE,Statistics,,,
REG_NAME,Contact Information,,,
REGION,Address,,,
REGIONAL_OFFICE,Administration Info,,,
RENTS,Cost/Rent,,,
REPORTED_CNA_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
REPORTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
REPORTED_PHYSICAL_THERAPIST_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
REPORTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
REPORTED_STAFFING_FOOTNOTE,Staffing Information,,,
REPORTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Statistics,,,
RESIDENT_CAPACITY,Capacity,,,
RESIDENT_PARKING,Services,,,
RESIDENT_TYPE,Statistics,,,
RESPITE_PROVIDER_NAME,Contact Information,,,
RGI_RENT_RATE,Cost/Rent,,,
RN_STAFFING_RATING,Scoring & Evaluations,,,
RN_STAFFING_RATING_FOOTNOTE,Scoring & Evaluations,,,
ROLE_PLAYED_BY_OWNER_OR_MANAGER_IN_FACILITY,Administration Info,,,
RUNDATE,Administration Info,,,
SAFETY_FEATURES,Building Information,,,
SCOPE_AND_SEVERITY_OF_MOST_SEVERE_FIRE_SAFETY_DEFICIENCY,Statistics,,,
SCOPE_AND_SEVERITY_OF_MOST_SEVERE_HEALTH_DEFICIENCY,Statistics,,,
SCOPE_SEVERITY_CODE,Statistics,,,
SECOND_QUINTILE,Statistics,,,
SECURED_BEDS,Capacity,,,
SERVICE_HOURS,To Be Investigated,,,
SERVICE_PACKAGE_RATE,Cost/Rent,,,
SERVICES,Services,,,
SERVICES_AVAILABLE,Services,,,
SERVICES_HOURS,Services,,,
SHORT_DESCRIPTION,To Be Investigated,,,
SHORT_NAME,Contact Information,,,
SHUTTLE_BUS,Services,,,
SITE_CONTACT_NAME,Contact Information,,,
SITE_DESCRIPTION,To Be Investigated,,,
SITE_EMAIL,Contact Information,,,
SITE_PHONE,Contact Information,,,
SITE_WEBSITE,Contact Information,,,
SIZE_OF_SUITES,Building Information,,,
SORT_NAME,Contact Information,,,
SOURCE,Source,,,
SPACE,Capacity,,,
SPECIAL_FOCUS_FACILITY,Facilities,,,
SPECIAL_NEEDS_ALR_BEDS,Capacity,,,
SPECIALTY_PROGRAMS,Specializations,,,
SPRINKLER,Building Information,,,
SPRINKLER_LOCATIONS,Building Information,,,
SRVPROVDES,To Be Investigated,,,
STAFFING_RATING,Scoring & Evaluations,,,
STAFFING_RATING_FOOTNOTE,Scoring & Evaluations,,,
STANDARD_DEFICIENCY,"Complaints, Deficiencies, and Fines",,,
STATE,Address,,,
STATE_ID,Address,,,
STATE_LICENSED_BEDS,Capacity,,,
STATE_OR_NATION,Address,,,
STATUS,Administration Info,,,
STREET,Address,,,
STREET_ADDRESS,Address,,,
STREET_ADDRESS_LINE_2,Address,,,
STREET_CITY,Address,,,
STREET_COUNTY,Address,,,
STREET_STATE,Address,,,
STREET_ZIP,Address,,,
SUBSIDIZED_RENT,Cost/Rent,,,
SUBSTANTIATED_ALLEGATIONS,"Complaints, Deficiencies, and Fines",,,
SUBTYPE,Facility Type,,,
SURVEY_DATE,Statistics,,,
SURVEY_TYPE,Statistics,,,
TELEPHONE,Contact Information,,,
TERMINALLY_ILL,Specializations,,,
TERMS_OF_OCCUPANCY,Admittance Information,,,
TERRITORY_CLSC,To Be Investigated,,,
THIRD_QUINTILE,Statistics,,,
TOLL-FREE_PHONE,Contact Information,,,
TOTAL,To Be Investigated,,,
TOTAL_ALLEGATIONS,"Complaints, Deficiencies, and Fines",,,
TOTAL_AMOUNT_OF_FINES_IN_DOLLARS,"Complaints, Deficiencies, and Fines",,,
TOTAL_ASSISTED_LIVING_UNITS,Capacity,,,
TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
TOTAL_NUMBER_OF_PENALTIES,"Complaints, Deficiencies, and Fines",,,
TOTAL_UNRESOLVED_INFRACTIONS,"Complaints, Deficiencies, and Fines",,,
TOTAL_VISITS,Statistics,,,
TOTAL_WEIGHTED_HEALTH_SURVEY_SCORE,Scoring & Evaluations,,,
TRAUMATIC_BRAIN_INJURY,Specializations,,,
TWITTER,Contact Information,,,
TYPE,Facility Type,,,
TYPE_OF_RESIDENCE,Administration Info,,,
TYPE_RES,Services,,,
UNFOUNDED_ALLEGATIONS,"Complaints, Deficiencies, and Fines",,,
UNIT_SQUARE_FOOTAGE_MAXIMUM,Building Information,,,
UNIT_SQUARE_FOOTAGE_MINIMUM,Building Information,,,
UPDATED_ON,To Be Investigated,,,
USED_IN_QUALITY_MEASURE_FIVE_STAR_RATING,Scoring & Evaluations,,,
VISITOR_PARKING,Services,,,
WAIVER_CERTIFIED_INDEPENDENT_CBRF_APTS,Certification/Licensing Information,,,
WEB,Contact Information,,,
WEB_ADDRESS,Contact Information,,,
WEBSITE,Contact Information,,,
WEBSITE_PHONE_#,Contact Information,,,
WHEELCHAIR_ACCESSIBLE,Building Information,,,
WITH_A_RESIDENT_AND_FAMILY_COUNCIL,Organizational Information,,,
YEAR_BUILT,Building Information,,,
YEAR_OF_OPENING,Administration Info,,,
ZIP,Address,,,
ZIP_CODE,Address,,,
ZIPCODE,Address,,,
