row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Website,Health Authority,Publicly subsidized units,Private-pay units,Total Assisted Living units,country,type
Canada-BC-29-BC-AssistedLiving-output-122,Gateway Lodge - Northern Health Authority,1462 - 20th Avenue,Prince George,V2L 0B3,BC,250-645-6100,n/a,n/a,Northern Health Authority,50,0,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-123,Laurier Manor - Northern Health Authority,2175 - 9th Avenue,Prince George,V2M 5E3,BC,250-561-1408,250-561-1424,n/a,Northern Health Authority,32,0,32,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-124,Rodica Senior Home Care House,2568 Victoria Street,Prince George,V2L 5G8,BC,250-563-9566,n/a,n/a,,0,13,13,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-125,Good Samaritan Canada Victoria Heights,230 Ross Drive,New Westminster,V3L 0B1,BC,604-523-9227,604-523-9220,www.gss.org,Fraser Health Authority,57,2,59,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-126,Thornebridge Gardens,649 8th Avenue,New Westminster,V3M 2R2,BC,604-524-6100,604-524-6109,www.verveseniorliving.com,,0,50,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-127,Halcyon House,83 8th Avenue,Nakusp,V0G 1R0,BC,250-265-3692,250-265-4141,n/a,Interior Health Authority,10,7,17,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-128,Hawthorne Tower,2111 Hawthorne Avenue,Port Coquitlam,V3C 1W3,BC,604-941-4051,604-941-5829,www.hawthornecare.com,Fraser Health Authority,70,0,70,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-129,Mayfair Terrace Retirement Residence,2267 Kelly Avenue,Port Coquitlam,V3C 6N4,BC,604-552-5552,604-552-3785,www.amica.ca,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-130,The Royale Astoria,2245 Kelly Avenue,Port Coquitlam,V3C 0B1,BC,604-944-2341,604-944-2344,www.siennaliving.ca,,0,45,45,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-131,Heritage House (Oliver),409 Salamander Ave,Oliver,V0H 1T3,BC,250-498-0622,250-498-8842,www.benchlife.com,Interior Health Authority,33,20,53,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-132,Heritage Manor II,9824  106th Avenue,Fort Saint John,V1J 2N9,BC,250-787-2376,250-263-6086,n/a,Northern Health Authority,24,0,24,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-133,Heritage Place (Alberni Valley),4360 Heritage Lane,Port Alberni,V9Y 4C3,BC,250-723-0480,n/a,www.viha.ca/hcc/assisted/locations/heritage_place.htm,Vancouver Island Health Authority,26,0,26,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-134,Returning the Favour Care Home,4517 Redford Street,Port Alberni,V9Y 3P9,BC,250-724-1520,250-724-1525,n/a,,0,11,11,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-135,Tsawaayuus (Rainbow Gardens),6222 Compton Rd,Port Alberni,V9Y 7B8,BC,250-724-5655,250-724-5666,www.rainbowgardens.bc.ca/,Vancouver Island Health Authority,10,0,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-136,Amica at Douglas House,50 Douglas Street,Victoria,V8V 2N8,BC,250-383-6258,250-383-9601,www.amica.ca,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-137,Berwick House,4062 Shelbourne Street,Victoria,V8N 3E6,BC,250-721-4062,250-721-4067,www.berwickrc.com,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-138,Berwick Royal Oak,4680 Elk Lake Drive,Victoria,V8Z 0B4,BC,250-386-4680,250-386-4681,www.berwickrc.com,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-139,Cridge Village Seniors Centre,1307 Hillside Avenue,Victoria,V8T 0A2,BC,250-384-8058,250-384-5267,www.cridge.org,Vancouver Island Health Authority,40,36,76,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-140,Highgate Lodge,1538 Cedar Hill X Road,Victoria,V8P 2P1,BC,250-472-0077,250-472-2472,www.trilliumcommunities.com,Vancouver Island Health Authority,4,0,4,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-141,Hillside Terrace,1460 Hillside Ave,Victoria,V8T 2B7,BC,250-383-1977,250-383-1639,www.viha.ca/hcc/assisted/locations/hillside_terrace.htm,Vancouver Island Health Authority,45,0,45,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-142,Jesken Aerie,817 Goldstream Avenue,Victoria,V9B 2X8,BC,250-474-1524,250-474-1531,www.makola.bc.ca,Vancouver Island Health Authority,60,0,60,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-143,Legion Manor,7601 East Saanich Road,Victoria,V8M 0A4,BC,250-652-3261,250-652-3260,www.legionmanorvictoria.com,Vancouver Island Health Authority,23,0,23,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-144,Luther Court,1525 Cedar Hill Cross Road,Victoria,V8P 5M1,BC,250-477-7241Ext 21,250-477-5740,www.luthercourt.org,Vancouver Island Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-145,Marrion Village,1968 Bee Street,Victoria,V8R 6P6,BC,250-592-2593,250-592-3951,www.baptisthousing.org,Vancouver Island Health Authority,50,2,52,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-146,Parry Place,408 Parry Street,Victoria,V8V 2H7,BC,250-382-4443,250-382-4449,www.viha.ca/hcc/assisted/locations/parry_place.htm,Vancouver Island Health Authority,21,0,21,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-147,Selkirk Seniors Village,385 Waterfront Crescent,Victoria,V8T 5K7,BC,250-940-1028,250-995-1588,n/a,Vancouver Island Health Authority,25,16,41,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-148,Somerset House,540 Dallas Road,Victoria,V8V 4X9,BC,250-380-9121,250-380-9109,www.amica.ca,,0,25,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-149,The Cedars,3710 Cedar Hill Road,Victoria,V8P 5V5,BC,250-477-4850,250-477-4851,www.dawsonheights.ca,Vancouver Island Health Authority,9,0,9,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-150,Wellesley Seniors Village,2800 Blanshard Street,Victoria,V8T 5B5,BC,250-383-9099,n/a,n/a,Vancouver Island Health Authority,40,24,64,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-151,Heritage Place for Seniors (Saltspring),120 Crofton Road,Saltspring Island,V8K2Y4,BC,250-537-8340,250-537-8346,www.heritageplace.info,,0,27,27,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-152,Heshun Rosewood Senior Centre,11742 225 Street,Maple Ridge,V2X 6E4,BC,604-463-1078,604-476-0851,www.rosewoodcottage.ca,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-153,Maple Ridge Seniors Village,22141-119th Ave,Maple Ridge,V2X 2Y7,BC,604-466-3053,604-476-4300,n/a,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-154,Royal Crescent Gardens,11698 - 226th Street,Maple Ridge,V2X 6H1,BC,604-463-6077,604-463-6177,www.fraserhealth.ca/find_us/services/assisted_living_residences/,Fraser Health Authority,46,0,46,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-155,Willow Senior Living Residence,12275 - 224th St,Maple Ridge,V2X 6H5,BC,604-466-8602,604-466-8627,www.chartwellreit.ca,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-156,Joseph Creek Village,1901 Willowbrook Drive,Cranbrook,V1C 6S4,BC,250-417-0666,250-417-0616,www.goldenlifemanagement.ca/index.php/villages/joseph-creek-village/overview-5,Interior Health Authority,28,37,65,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-157,Kyalami Place,720 3rd Street,Keremeos,V0X 1N3,BC,250-499-2366,250-499-2366,www.LSCSS.com,Interior Health Authority,13,1,14,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-158,La Rosa Gardens,1211 Cloke Road,Ladysmith,V9G 2B6,BC,250-245-1016,250-245-1026,www.viha.ca/hcc/assisted/locations/la_rosa_gardens.htm,Vancouver Island Health Authority,26,0,26,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-159,Lake View Village,1020 - 7th Street,Nelson,V1L 0A2,BC,250-352-0051,250-352-0053,www.goldenlifemanagement.ca/index.php/villages/lake-view-village/overview-6,,0,25,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-160,Mountain Lake Seniors Community,908 Eleventh Street,Nelson,V1L 7A6,BC,250-352-2600,250-352-2620,www.parkplaceseniorsliving.com,Interior Health Authority,29,11,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-161,Logan Manor,7270 Elm Road,Agassiz,V0M 1A2,BC,604-796-8778,604-796-8770,www.valleycare.info/logan.php,Fraser Health Authority,10,22,32,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-162,Lotus Place,3258 274th Street,Aldergrove,V4W 3J1,BC,604-856-3468,n/a,n/a,,0,6,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-163,Maeford Place Assisted Living Centre,574 Kinchant Street,Quesnel,V2J 2R8,BC,250-992-8342,250-992-8392,www.insiteseniorcare.com/about-our-communities/maeford-place-assisted-living-quesnel/,Northern Health Authority,35,1,36,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-164,Redwood Residence,1901 Alder Rd,Quesnel,V2J 3T3,BC,778-466-5400,778-466-5600,n/a,,0,10,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-165,Mariposa Gardens,8816 97th Street,Osoyoos,V0H 1V5,BC,250-495-8124Ext 102,250-495-8134,www.balticproperties.ca,Interior Health Authority,10,16,26,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-166,Amica at West Vancouver,659 Clyde Avenue,West Vancouver,V7T 1C8,BC,604-921-9181,604-921-9232,www.amica.ca,,0,60,60,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-167,Hollyburn House,2095 Marine Drive,West Vancouver,V7V 4V5,BC,604-922-7616,604-922-9163,www.reveraliving.com,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-168,Kiwanis Manor,959 21st Street,West Vancouver,V7V 4Y3,BC,604-913-9083,604-913-9830,www.vch.ca/EN/find_services/find_services/?&program_id=10572,Vancouver Coastal Health Authority,32,0,32,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-169,Martin Manor,306 - 2nd Avenue,Queen Charlotte,V0T 1S0,BC,250-559-8800,250-599-8572,n/a,Northern Health Authority,4,0,4,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-170,McConnell Estates,4701 Kerby Avenue,Terrace,V8G 5V4,BC,250-638-2095,250-638-2096,n/a,Northern Health Authority,22,0,22,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-171,Moberly Manor Assisted Living,711 West First Street,Revelstoke,V0E 2S0,BC,250-837-3147,250-837-5720,n/a,Interior Health Authority,11,0,11,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-172,Mountain View Assisted Living,750  8th Avenue South,Golden,V0A 1H0,BC,250-344-7924,250-344-7962,n/a,Interior Health Authority,8,0,8,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-173,Nick Grosse Assisted Living Residence,2524 Harrison Road,Masset,V0T 1M0,BC,250-626-4735,n/a,n/a,Northern Health Authority,4,0,4,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-174,Nicola Meadows Assisted Living,2670 Garcia Street,Merritt,V1K 1B8,BC,250-378-4254,250-378-4264,www.nicolameadows.com,Interior Health Authority,13,3,16,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-175,Nicola Valley Seniors Residence - The Florentine,4100 Belshaw Street,Merritt,V1K 0A5,BC,250-378-5300,250-378-5350,www.theflorentine.ca,,0,51,51,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-176,Northview,1125 -  90th Avenue,Dawson Creek,V1G 5A3,BC,250-719-0072,250-719-0073,n/a,Northern Health Authority,26,0,26,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-177,Parkside Care Residence,9719 Brown Street,Summerland,V0H 1Z0,BC,778-516-5577,778-516-5589,n/a,,0,14,14,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-178,Summerland Seniors Village,12803 Atkinson Road,Summerland,V0H 1Z4,BC,250-404-4400,250-404-4399,n/a,Interior Health Authority,18,22,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-179,Parkside Community,743 Okanagan Avenue - Box 1129,Chase,V0E 1M0,BC,250-679-4477,250-679-4496,www.parksidecommunity.ca/index.html,Interior Health Authority,20,27,47,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-180,Serenity Acres,6188 VLA Road,Chase,V0E 1M1,BC,250 679-3530,n/a,n/a,,0,3,3,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-181,Parkview Manor,"670 9th Avenue, Box 427",Midway,V0H 1M0,BC,250-449-2842,250-449-2843,n/a,Interior Health Authority,5,0,5,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-182,Andover Terrace Retirement Resort,2110 Lakeshore Road NE,Salmon Arm,V1E 3X9,BC,250-832-6686,250-803-5569,www.andoverterrace.com,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-183,Pioneer Lodge,1051 6th Avenue NE,Salmon Arm,V1E 0A6,BC,250-804-4814,250-804-4815,www.gss.org,Interior Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-184,Shuswap Lodge Retirement Residence,Box 1480,Salmon Arm,V1E 4P6,BC,250-832-7081,250-804-0411,www.shuswaplodge.com/,,0,62,62,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-185,Pioneer Square,2865 Willowdale Drive,Armstrong,V0E 1B1,BC,250-546-3396,250-546-9033,www.kaigo.ca,Interior Health Authority,20,0,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-186,Residences at Belvedere,750 Delestre Avenue,Coquitlam,V3K 0A1,BC,604-939-1930,604-939-1901,www.residencesatbelvedere.com,Fraser Health Authority,60,54,114,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-187,Riverside Manor,765 Old Hope Princeton Way,Hope,V0X 1L4,BC,604-860-4700,604-860-4701,www.optima-living.com/our-communities/riverside-manor,Fraser Health Authority,12,0,12,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-188,Riverside Place,242 Louvain Street,Vanderhoof,V0J 3A0,BC,250-567-5344,250-567-6913,www.nvcss.ca,Northern Health Authority,14,0,14,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-189,Rocky Mountain Village,55 Cokato Road,Fernie,V0B 1M4,BC,250-417-7232,250-423-4225,www.goldenlifemanagement.ca/index.php/villages/rocky-mountain-village/overview-8,Interior Health Authority,12,4,16,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-190,Rose Wood Village,8125 Devito Drive,Trail,V1R 4X9,BC,250-364-3150,250-364-3170,www.goldenlifemanagement.ca/index.php/villages/rose-wood-village/overview-9,Interior Health Authority,26,5,31,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-191,Shannon Falls Retirement Residence,114 - 38225 Third Avenue,Squamish,V8B 0S2,BC,604-848-2000,604-815-0909,www.shannonfalls.ca,Vancouver Coastal Health Authority,20,10,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-192,Skeena Place,4780 Janze Way,Hazelton,V0J 1Y1,BC,250-842-5217,250-842-5213,n/a,Northern Health Authority,6,0,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-193,Spintlum Lodge,575 Main Street,Lytton,V0K 1Z0,BC,250-455-2221Ext 2,n/a,n/a,Interior Health Authority,6,0,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-194,Summit Residence,1335 Summit Avenue,Prince Rupert,V8J 4L2,BC,250-622-6451,250-622-6485,n/a,Northern Health Authority,15,0,15,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-195,Astoria Suites at Origin at Longwood,6205 Oliver Road,Nanaimo,V9T 6T1,BC,250-751-7755,250-751-7780,www.originway.ca,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-196,Berwick on the Lake,3201 Ross Road,Nanaimo,V9T 6L9,BC,250-729-7995,250-729-7996,www.berwickrc.com,,0,36,36,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-197,Kiwanis House,1233 Kiwanis Cres,Nanaimo,V9S 5Y1,BC,250-753-6471,250-740-2816,www.kiwanisvillage.ca,Vancouver Island Health Authority,45,0,45,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-198,Kiwanis Suites,1234 Kiwanis Crescent,Nanaimo,V9S 5Y1,BC,250-753-6471,250-740-2816,www.kiwanisvillage.ca,Vancouver Island Health Authority,35,0,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-199,Lakeside Gardens,4088 Wellesley Avenue,Nanaimo,V9T 6M2,BC,250-756-0799,250-760-2888,www.unicarehomes.com,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-200,Nanaimo Seniors Village,6085 Uplands Drive,Nanaimo,V9V 1T8,BC,250-729-9524,250-760-2400,n/a,Vancouver Island Health Authority,18,82,100,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-201,Oak Tree Manor,325 Hecate Street,Nanaimo,V9R 4J9,BC,250-716-1799,250-824-4000,www.oaktreemanor.ca,,0,6,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-202,Wexford Creek Seniors Community Partnership,80 10th Street,Nanaimo,V9R 0A8,BC,250-753-4044,250-753-4048,www.gss.org,,0,10,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-203,Surerus Place,5353 - 47th Avenue,Chetwynd,V0C 1J0,BC,250-788-3736,250-788-3926,www.chetwyndseniorshousing.ca,Northern Health Authority,5,0,5,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-204,The Gardens at Qualicum Beach,650 Berwick Road North,Qualicum Beach,V9K 2T8,BC,250-752-2818,n/a,www.retirementconcepts.com,Vancouver Island Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-205,The Meadows,1180 Alberta Street,Smithers,V0J 2N0,BC,250-847-8884,250-847-8872,www.scsa.ca/programs/housing/the-meadows/,Northern Health Authority,14,0,14,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-206,The Meadows at Sunridge Place,361 Bundock Avenue,Duncan,V9L 3P1,BC,250-748-8048,250-748-8388,www.sunridgeplace.ca,Vancouver Island Health Authority,50,0,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-207,Ts'i'ts'uwatul' Lelum,5755 Allenby Road,Duncan,V9L 0E6,BC,250-597-2252,250-597-2251,www.cowichanelders.com/,Vancouver Island Health Authority,50,0,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-208,The Village at Smith Creek,2425 Orlin Road,Westbank,V4T 1N3,BC,250-768-0488,250-768-4777,www.baptisthousing.org,Interior Health Authority,62,11,73,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-209,The Wesbrooke,12000 190A Street,Pitt Meadows,V3Y 0E4,BC,604-460-7006,n/a,www.thewesbrooke.com,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-210,Thompson View Lodge,710 Elm Street,Ashcroft,V0K 1A0,BC,250-453-0085,250-453-0059,n/a,Interior Health Authority,10,0,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-211,Tweedsmuir House,53 9th Avenue,Burns Lake,V0J 1E0,BC,250-692-3781,250-692-3785,n/a,Northern Health Authority,17,0,17,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-212,Vermilion Court,72 Fenchurch Ave,Princeton,V0X 1W0,BC,250-295-6666,250-295-6214,n/a,,0,17,17,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-213,West Shore Lodge,1828 Island Highway,Colwood,V9B 1J2,BC,250-478-7527,250-478-7627,www.trilliumcommunities.com,Vancouver Island Health Authority,6,0,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-214,Augustine House,3820 Arthur Drive,Delta,V4K 5E6,BC,604-940-6005,604-940-6015,www.augustinehouse.ca,Fraser Health Authority,20,55,75,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-215,Delta View Enriched Living,9341 Burns Drive,Delta,V4K 3N3,BC,604-501-6700,604-596-7613,www.deltaview.ca,,0,4,4,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-216,KinVillage Assisted Living,5440 10th Avenue,Delta,V4M 3Y9,BC,604-943-4805,604-943-4126,www.kinvillage.org,Fraser Health Authority,68,0,68,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-217,Williams Lake Seniors Village,1455 Western Ave,Williams Lake,V2G 5N1,BC,250-305-1131,250-305-3333,n/a,Interior Health Authority,21,19,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-218,Yellowhead Pioneer Residence,4557 Barriere Town Road,Barriere,V0E 1E0,BC,250-672-0019,250-672-0075,n/a,Interior Health Authority,10,0,10,Canada,Assisted Living
