row_id,Facility Name,Address,City,Postal Code,Province,Country,Accommodation Type,Number of Units,Funding Source,Operator,Contact Phone,Fax,Last Visit Date,Last Visit Type,Original Issue Date,Licence Issue Date,Licence Expiry Date,Licence Type,ASL Facility ID
Canada-AB-27-AB-SupportiveLiving-output-237,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 103 MICHENER GREEN,103 Michener Green,RED DEER,T4P 1E8,AB,Canada,Supportive Living Accommodation - Group Home,6,Alberta Works,MICHENER SERVICES,(403) 340-7570,N/A,19-Apr-17,Inspection Visit,4-Jan-10,1-May-17,30-Apr-18,Full,70040251
Canada-AB-27-AB-SupportiveLiving-output-238,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 3807-50A STREET,3807 50A Street,RED DEER,T4P 1E4,AB,Canada,Supportive Living Accommodation - Group Home,4,Alberta Works,MICHENER SERVICES,(403) 340-5779,N/A,4-May-17,Inspection Visit,3-Feb-10,1-Jun-17,31-May-18,Full,70040252
Canada-AB-27-AB-SupportiveLiving-output-239,CATHOLIC SOCIAL SERVICES,8815 99 Street,EDMONTON,T6E 3V3,AB,Canada,Supportive Living Accommodation - Group Home,4,Persons with Developmental Disabilities (PDD),CATHOLIC SOCIAL SERVICES,(780) 842-9129,N/A,8-May-17,Mini Inspection Visit,1-Aug-08,1-Jun-16,31-May-18,2 Year - Full,70040253
Canada-AB-27-AB-SupportiveLiving-output-240,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 3819-50A STREET,3819 50A Street,RED DEER,T4P 1E4,AB,Canada,Supportive Living Accommodation - Group Home,4,Alberta Works,MICHENER SERVICES,(403) 340-5779,N/A,4-May-17,Inspection Visit,3-Feb-10,1-Jun-17,31-May-18,Full,70040254
Canada-AB-27-AB-SupportiveLiving-output-241,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 3915-51A STREET,3915 51A Street,RED DEER,T4P 1H3,AB,Canada,Supportive Living Accommodation - Group Home,5,Alberta Works,MICHENER SERVICES,(403) 340-5764,N/A,10-May-17,Inspection Visit,18-Jan-10,1-Jun-17,31-May-18,Full,70040255
Canada-AB-27-AB-SupportiveLiving-output-242,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 5029-38A AVENUE,5029 38A Avenue,RED DEER,T4P 1G1,AB,Canada,Supportive Living Accommodation - Group Home,4,Alberta Works,MICHENER SERVICES,(403) 340-5964,N/A,27-Apr-17,Inspection Visit,1-Jan-10,10-Aug-17,31-May-18,Full,70040256
Canada-AB-27-AB-SupportiveLiving-output-243,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 22A1 MICHENER WAY,22A1 Michener Way,RED DEER,T4P 0J9,AB,Canada,Supportive Living Accommodation - Group Home,6,Persons with Developmental Disabilities (PDD),MICHENER SERVICES,(403) 340-4829,N/A,30-May-17,Mini Inspection Visit,5-Mar-10,1-Jul-15,30-Jun-18,3 Year - Full,70040257
Canada-AB-27-AB-SupportiveLiving-output-244,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 22A2 MICHENER WAY,22A2 Michener Way,RED DEER,T4R 0J9,AB,Canada,Supportive Living Accommodation - Group Home,6,Persons with Developmental Disabilities (PDD),MICHENER SERVICES,(403) 340-4829,N/A,30-May-17,Mini Inspection Visit,5-Mar-10,1-Jul-15,30-Jun-18,3 Year - Full,70040258
Canada-AB-27-AB-SupportiveLiving-output-245,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 11A1 MICHENER WAY,11A1 Michener Way,RED DEER,T4P 0J9,AB,Canada,Supportive Living Accommodation - Group Home,10,Persons with Developmental Disabilities (PDD),MICHENER SERVICES,(403) 340-5879,N/A,8-Jun-17,Mini Inspection Visit,10-Mar-10,1-Jul-16,30-Jun-19,3 Year - Full,70040259
Canada-AB-27-AB-SupportiveLiving-output-246,CHURCHILL RETIREMENT COMMUNITY (THE),10015 103 Avenue,EDMONTON,T5J 0H1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,118,Health,HCN-REVERA LESSEE (THE CHURCHILL) GP INC.,(780) 420-1222,N/A,31-Aug-17,Follow-Up Visit,21-Aug-08,1-Sep-17,30-Sep-17,Conditional,70040260
Canada-AB-27-AB-SupportiveLiving-output-247,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 11A2 MICHENER WAY,11A2 Michener Way,RED DEER,T4R 0J9,AB,Canada,Supportive Living Accommodation - Group Home,8,Alberta Works,MICHENER SERVICES,(403) 340-5876,N/A,8-Jun-17,Inspection Visit,12-Mar-10,1-Jul-17,30-Jun-18,Full,70040261
Canada-AB-27-AB-SupportiveLiving-output-248,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 11A3 MICHENER WAY,11A3 Michener Way,RED DEER,T4P 0J9,AB,Canada,Supportive Living Accommodation - Group Home,7,Alberta Works,MICHENER SERVICES,(403) 340-5879,N/A,8-Jun-17,Inspection Visit,10-Mar-10,1-Jul-17,30-Jun-18,Full,70040262
Canada-AB-27-AB-SupportiveLiving-output-249,MICHENER SERVICES - RESIDENTIAL SUPPORTS - 11A4 MICHENER WAY,11A4 Michener Way,RED DEER,T4N 0J9,AB,Canada,Supportive Living Accommodation - Group Home,8,Persons with Developmental Disabilities (PDD),MICHENER SERVICES,(403) 340-5876,N/A,8-Jun-17,Inspection Visit,12-Mar-10,1-Jul-17,30-Jun-18,Full,70040263
Canada-AB-27-AB-SupportiveLiving-output-250,MICHENER SERVICES - RESIDENTIAL SUPPORTS - MICHENER TERRACE EAST 2,12 Michener Road,RED DEER,T4R 0J9,AB,Canada,Supportive Living Accommodation - Group Home,7,Persons with Developmental Disabilities (PDD),MICHENER SERVICES,(403) 340-5735,N/A,13-Jun-17,Inspection Visit,14-Jul-11,1-Jul-17,30-Jun-18,Full,70040265
Canada-AB-27-AB-SupportiveLiving-output-251,MICHENER SERVICES - RESIDENTIAL SUPPORTS - MICHENER TERRACE WEST 2,12 Michener Road,RED DEER,T4P 0J9,AB,Canada,Supportive Living Accommodation - Group Home,6,Alberta Works,MICHENER SERVICES,(403) 340-5886,N/A,13-Apr-17,Inspection Visit,22-Apr-10,30-Jun-17,30-Apr-18,Full,70040268
Canada-AB-27-AB-SupportiveLiving-output-252,MICHENER SERVICES - RESIDENTIAL SUPPORTS - MICHENER TERRACE WEST 3,12 Michener Road,RED DEER,T4P 0J9,AB,Canada,Supportive Living Accommodation - Group Home,6,Alberta Works,MICHENER SERVICES,(403) 340-5735,N/A,13-Apr-17,Inspection Visit,22-Apr-10,30-Jun-17,30-Apr-18,Full,70040269
Canada-AB-27-AB-SupportiveLiving-output-253,RIVER HOUSE,1411 9th Avenue South,LETHBRIDGE,T1J 1V7,AB,Canada,Supportive Living Accommodation - Group Home,10,Assured Income for the Severely Handicapped (AISH),FAMILY TIES (1997) ASSOCIATION,(403) 320-8888,N/A,2-Aug-17,Inspection Visit,1-Aug-08,1-Sep-17,31-Aug-19,2 Year - Full,70040270
Canada-AB-27-AB-SupportiveLiving-output-254,LAKE BONAVISTA VILLAGE,11800 Lake Fraser Drive SE,CALGARY,T2J 7G8,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,186,,"3501973 CANADA INC. C/O DIVERSICARE CANADA MANAGEMENT SERVICES CO., INC.",(403) 258-1849,N/A,11-Jul-17,Inspection Visit,18-Feb-09,1-Aug-17,31-Jul-20,3 Year - Full,70040273
Canada-AB-27-AB-SupportiveLiving-output-255,LODGE AT VALLEY RIDGE (THE),11479 Valley Ridge Drive NW,CALGARY,T3B 5V5,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,133,,"3501973 CANADA INC. C/O DIVERSICARE CANADA MANAGEMENT SERVICES CO., INC.",(403) 286-4414,(403) 247-7094,21-Aug-17,Inspection Visit,10-Feb-09,1-Sep-17,31-Oct-17,Conditional,70040274
Canada-AB-27-AB-SupportiveLiving-output-256,TRINITY LODGE RETIREMENT RESIDENCE,1111 Glenmore Trail SW,CALGARY,T2V 4C9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,209,,"3501973 CANADA INC. C/O DIVERSICARE CANADA MANAGEMENT SERVICES CO., INC.",(403) 253-7576,N/A,19-Jul-17,Inspection Visit,4-Feb-09,1-Aug-17,31-Jul-19,2 Year - Full,70040276
Canada-AB-27-AB-SupportiveLiving-output-257,MANOR VILLAGE AT GARRISON WOODS (THE),2400 Sorrel Mews SW,CALGARY,T2T 6H8,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,170,,MANOR VILLAGE LIFE CENTERS INC.,(403) 240-3636,N/A,5-Jun-17,Mini Inspection Visit,8-Dec-08,1-Jul-16,30-Jun-19,3 Year - Full,70040277
Canada-AB-27-AB-SupportiveLiving-output-258,MANOR VILLAGE AT HUNTINGTON HILLS (THE),6700 Hunterview Drive NW,CALGARY,T2K 6K4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,111,,MANOR VILLAGE LIFE CENTERS INC. (THE),(403) 275-5667,N/A,6-Jun-17,Inspection Visit,9-Dec-08,1-Jul-17,30-Jun-20,3 Year - Full,70040278
Canada-AB-27-AB-SupportiveLiving-output-259,STAYWELL MANOR VILLAGE,174 Ypres Green SW,CALGARY,T2T 6M2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,165,,STAYWELL MANOR VILLAGES (GARRISON WOODS) LTD.,(403) 242-4688,N/A,5-Jun-17,Inspection Visit,10-Dec-08,16-Aug-17,30-Jun-18,Full,70040280
Canada-AB-27-AB-SupportiveLiving-output-260,PEOPLE SUPPORT SERVICES (WILD ROSE),3118 35A Avenue,EDMONTON,T6T 1T5,AB,Canada,Supportive Living Accommodation - Group Home,8,Assured Income for the Severely Handicapped (AISH),PEOPLE SUPPORT SERVICES INC.,(780) 435-8336,N/A,31-Aug-17,Mini Inspection Visit,4-Jul-08,1-Oct-16,30-Sep-19,3 Year - Full,70040281
Canada-AB-27-AB-SupportiveLiving-output-261,PEOPLE SUPPORT SERVICES (JASPER PLACE),9832 154 Street,EDMONTON,T5P 2G8,AB,Canada,Supportive Living Accommodation - Group Home,6,Assured Income for the Severely Handicapped (AISH),PEOPLE SUPPORT SERVICES INC.,(780) 435-8336,N/A,30-Aug-17,Inspection Visit,4-Jul-08,9-Nov-16,30-Sep-17,Full,70040282
Canada-AB-27-AB-SupportiveLiving-output-262,DIDSBURY GROUP HOME,1709 15 Avenue,DIDSBURY,T0M 0W0,AB,Canada,Supportive Living Accommodation - Group Home,5,Persons with Developmental Disabilities (PDD),ACCREDITED SUPPORTS TO THE COMMUNITY (ASC) ASSOCIATION,(403) 556-4110,(403) 556-4110,10-May-17,Mini Inspection Visit,7-Jan-09,1-Jun-15,31-May-18,3 Year - Full,70040214
Canada-AB-27-AB-SupportiveLiving-output-263,ALBERTA LIFE CARE HOUSING FOUNDATION,200 Falconer Court NW,EDMONTON,T5R 2V9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,145,Health,LIFESTYLE OPTIONS LTD.,(780) 435-2000,N/A,12-Jan-17,Mini Inspection Visit,17-Nov-08,1-Feb-15,31-Jan-18,3 Year - Full,70040284
Canada-AB-27-AB-SupportiveLiving-output-264,BEVERLY CENTRE LAKE MIDNAPORE/BEVERLY ESTATE,500 Midpark Way SE,CALGARY,T2X 3S3,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,50,Health,AGE CARE INVESTMENTS LTD.,(403) 873-2603,N/A,7-Feb-17,Inspection Visit,18-Aug-08,1-Mar-17,28-Feb-19,2 Year - Full,70037641
Canada-AB-27-AB-SupportiveLiving-output-265,51ST STREET RESIDENCE,5917 51 Street,VEGREVILLE,T9C 1H9,AB,Canada,Supportive Living Accommodation - Group Home,6,Housing and Urban Affairs,VALID,(780) 632-2418,(780) 632-3882,5-Sep-17,Follow-Up Visit,1-Sep-08,5-Sep-17,31-Oct-17,Conditional,70040286
Canada-AB-27-AB-SupportiveLiving-output-266,BOARDWALK RETIREMENT COMMUNITY,10531 90 Street,EDMONTON,T5H 4E7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,100,Health,BOARDWALK REIT PROPERTY HOLDINGS LTD.,(780) 408-2666,N/A,14-Jun-17,Inspection Visit,7-Dec-09,9-Aug-17,30-Jun-18,Full,70040287
Canada-AB-27-AB-SupportiveLiving-output-267,MANOR VILLAGE AT ROCKY RIDGE (THE),450 Rocky Vista Gardens NW,CALGARY,T3G 5Y7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,104,,MANOR VILLAGE LIFE CENTERS INC.,(403) 239-6400,N/A,8-Jun-17,Mini Inspection Visit,9-Dec-08,1-Jul-16,30-Jun-19,3 Year - Full,70040288
Canada-AB-27-AB-SupportiveLiving-output-268,MANOR VILLAGE AT SIGNATURE PARK (THE),1858 Sirocco Drive SW,CALGARY,T3H 3P7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,109,,MANOR VILLAGE LIFE CENTERS INC.,(403) 249-7113,N/A,8-Jun-17,Mini Inspection Visit,9-Dec-08,1-Jul-16,30-Jun-19,3 Year - Full,70040289
Canada-AB-27-AB-SupportiveLiving-output-269,RIVERBEND RETIREMENT RESIDENCE,103 Rabbit Hill Court NW,EDMONTON,T6R 2V3,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,145,Health,HCN-REVERA LESSEE (RIVERBEND) GP INC.,(780) 438-2777,(780) 438-2888,8-Nov-16,Inspection Visit,21-Aug-08,6-Dec-16,30-Nov-17,Full,70040290
Canada-AB-27-AB-SupportiveLiving-output-270,OTTEWELL MANOR,6675 92 Avenue,EDMONTON,T6B 0S3,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,38,Housing and Urban Affairs,GREATER EDMONTON FOUNDATION,(780) 469-7482,N/A,17-Oct-16,Inspection Visit,23-May-12,1-Jul-17,30-Sep-17,Conditional,70040291
Canada-AB-27-AB-SupportiveLiving-output-271,SHEPHERD'S CARE SOUTHSIDE MANOR,10741 29 Avenue,EDMONTON,T6J 5H6,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,87,Health,SHEPHERD'S CARE FOUNDATION,(780) 463-9810,(780) 462-1643,18-Apr-17,Inspection Visit,7-Apr-09,1-May-17,30-Apr-18,Full,70040292
Canada-AB-27-AB-SupportiveLiving-output-272,SHEPHERD'S CARE GREENFIELD,3820 114 Street,EDMONTON,T6J 1M5,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,30,Health,SHEPHERD'S CARE FOUNDATION,(780) 463-9810,(780) 462-1643,11-May-17,Inspection Visit,19-May-09,8-Jun-17,31-May-18,Full,70040293
Canada-AB-27-AB-SupportiveLiving-output-273,SHEPHERD'S CARE KENSINGTON VILLAGE,12603 135 Avenue,EDMONTON,T5L 5B2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,281,Health,SHEPHERD'S CARE FOUNDATION,(780) 447-3840,N/A,2-Mar-17,Inspection Visit,9-Apr-09,1-Apr-17,31-Mar-18,Full,70039443
Canada-AB-27-AB-SupportiveLiving-output-274,SHEPHERD'S CARE BARRHEAD,5236 59 Avenue,BARRHEAD,T7N 1L2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,43,Health,SHEPHERD'S CARE FOUNDATION,(780) 674-4249,N/A,22-Sep-16,Inspection Visit,28-Sep-09,1-Oct-16,30-Sep-19,3 Year - Full,70040283
Canada-AB-27-AB-SupportiveLiving-output-275,ROSEDALE VILLA,10107 111 Street,EDMONTON,T5K 2Z1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,97,Health,ROSEDALE PARTNERSHIP,(780) 425-1668,N/A,2-Feb-17,Inspection Visit,6-Mar-09,1-Mar-17,29-Feb-20,3 Year - Full,70040298
Canada-AB-27-AB-SupportiveLiving-output-276,ROSEDALE ON THE PARK,10103 111 Street,EDMONTON,T5K 2Y1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,105,Health,ROSEDALE PARTNERSHIP,(780) 425-1668,N/A,2-Feb-17,Inspection Visit,6-Mar-09,1-Mar-17,29-Feb-20,3 Year - Full,70040299
Canada-AB-27-AB-SupportiveLiving-output-277,ROSEDALE AT GRIESBACH,4480 McCrae Avenue,EDMONTON,T5E 0Y5,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,268,Health,ROSEDALE PARTNERSHIP,(780) 425-1668,N/A,6-Feb-17,Inspection Visit,6-Mar-09,1-Mar-17,28-Feb-19,2 Year - Full,70040300
Canada-AB-27-AB-SupportiveLiving-output-278,ROSEDALE ESTATES,10101 111 Street,EDMONTON,T5K 2W4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,121,Health,ROSEDALE PARTNERSHIP,(780) 425-1668,N/A,2-Feb-17,Inspection Visit,6-Mar-09,1-Mar-17,29-Feb-20,3 Year - Full,70040301
Canada-AB-27-AB-SupportiveLiving-output-279,ROSEDALE MANOR,10053 111 Street,EDMONTON,T5K 2H8,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,58,Health,ROSEDALE PARTNERSHIP,(780) 425-1668,N/A,2-Feb-17,Inspection Visit,6-Mar-09,1-Mar-17,29-Feb-20,3 Year - Full,70040302
Canada-AB-27-AB-SupportiveLiving-output-280,ALBERTA LIFE CARE HOUSING FOUNDATION,4069 106 Street,EDMONTON,T6J 2S3,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,166,Housing and Urban Affairs,LIFESTYLE OPTIONS LTD.,(780) 439-1023,(780) 433-2335,1-Feb-17,Complaint Investigation,15-Sep-08,1-Feb-17,31-Jan-19,2 Year - Full,70040303
Canada-AB-27-AB-SupportiveLiving-output-281,ALBERTA LIFE CARE HOUSING FOUNDATION,17203 99 Avenue,EDMONTON,T5T 6S5,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,198,Health,LIFESTYLE OPTIONS LTD.,(780) 439-1023,(780) 433-2335,13-Jan-17,Inspection Visit,17-Nov-08,1-Sep-17,31-Oct-17,Conditional,70040304
Canada-AB-27-AB-SupportiveLiving-output-282,PEOPLE SUPPORT SERVICES (OZERNA),6705 162A Avenue,EDMONTON,T5Z 3C7,AB,Canada,Supportive Living Accommodation - Group Home,6,Health,PEOPLE SUPPORT SERVICES INC.,(780) 435-8336,N/A,30-Aug-17,Inspection Visit,29-Aug-08,14-Nov-16,30-Sep-17,Full,70040306
Canada-AB-27-AB-SupportiveLiving-output-283,FAITH HOUSE,4832 54 Street,CAMROSE,T4V 2A4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,20,Health,BETHANY NURSING HOME OF CAMROSE,(780) 679-2008,(780) 679-2001,2-Feb-17,Mini Inspection Visit,9-Feb-09,1-Feb-16,31-Jan-19,3 Year - Full,70040307
Canada-AB-27-AB-SupportiveLiving-output-284,BETHANY MEADOWS,4209 55 Street,CAMROSE,T4V 1Y6,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,30,Health,BETHANY NURSING HOME OF CAMROSE,(780) 679-2008,(780) 679-2001,11-Jan-17,Mini Inspection Visit,13-Feb-09,1-Feb-16,31-Jan-18,2 Year - Full,70037950
Canada-AB-27-AB-SupportiveLiving-output-285,VIEWPOINT,4503 48 Street,CAMROSE,T4V 4Z7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,20,Health,BETHANY NURSING HOME OF CAMROSE,(780) 679-2008,(780) 679-2001,2-Feb-17,Inspection Visit,9-Feb-09,1-Mar-17,31-Jan-20,2 Year - Full,70040309
Canada-AB-27-AB-SupportiveLiving-output-286,CAREWEST NICKLE HOUSE,950 Robert Road NE,CALGARY,T2E 7T4,AB,Canada,Supportive Living Accommodation - Group Home,10,Health,CAREWEST,(403) 944-0118,N/A,21-Mar-17,Mini Inspection Visit,30-Sep-08,1-Apr-16,31-Mar-19,3 Year - Full,70040310
Canada-AB-27-AB-SupportiveLiving-output-287,HARBOURS OF NEWPORT RETIREMENT RESIDENCE (THE),20 Country Village Cove NE,CALGARY,T3K 5T9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,116,,CHARTWELL MASTER CARE CORPORATION,(403) 226-4316,N/A,16-Sep-16,Mini Inspection Visit,2-Sep-09,1-Oct-14,30-Sep-17,3 Year - Full,70040311
Canada-AB-27-AB-SupportiveLiving-output-288,ROYAL PARK RETIREMENT RESIDENCE,4315 Richardson Road SW,CALGARY,T3E 7J7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,105,,CHARTWELL MASTER CARE CORPORATION,(403) 242-9075,(403) 703-0960,24-Aug-17,Mini Inspection Visit,27-May-09,1-Oct-15,30-Sep-18,3 Year - Full,70040312
Canada-AB-27-AB-SupportiveLiving-output-289,RIJAMO CARE HOMES INC.,39 Midland Crescent SE,CALGARY,T2N 1N5,AB,Canada,Supportive Living Accommodation - Group Home,4,Assured Income for the Severely Handicapped (AISH),RIJAMO CARE HOME INC.,(403) 273-1287,(403) 873-2633,23-Sep-16,Inspection Visit,11-Sep-08,1-Oct-16,30-Sep-18,2 Year - Full,70040313
Canada-AB-27-AB-SupportiveLiving-output-290,COMMUNITY CARE COTTAGES - ASPEN COTTAGE,156 Dempsey Street,RED DEER,T4R 2Y9,AB,Canada,Supportive Living Accommodation - Group Home,8,,COMMUNITY CARE COTTAGES INC.,(780) 996-9463,(780) 249-9065,3-Nov-16,Inspection Visit,25-Jan-09,16-Jan-17,30-Nov-17,Full,70040316
Canada-AB-27-AB-SupportiveLiving-output-291,COMMUNITY CARE COTTAGES - MAPLE COTTAGE,152 Dempsey Street,RED DEER,T4P 3P1,AB,Canada,Supportive Living Accommodation - Group Home,7,,COMMUNITY CARE COTTAGES INC.,(780) 996-9463,(780) 249-9065,3-Nov-16,Inspection Visit,25-Jan-09,11-Jan-17,30-Nov-17,Full,70040317
Canada-AB-27-AB-SupportiveLiving-output-292,ALBERTA LIFE CARE HOUSING FOUNDATION,108 West Haven Drive,LEDUC,T9E 0R7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,161,Health,LIFESTYLE OPTIONS LTD.,(780) 439-1023,(780) 433-2335,19-Jan-17,Inspection Visit,22-Dec-08,1-Feb-17,31-Jan-20,3 Year - Full,70040318
Canada-AB-27-AB-SupportiveLiving-output-293,EDMONTON CHINATOWN CARE CENTRE,9539 102A Avenue,EDMONTON,T5H 0G2,AB,Canada,Supportive Living Accommodation - Lodge,96,Lodge Assistance Program,CHINATOWN MULTILEVEL CARE FOUNDATION,(780) 429-0821,N/A,16-Nov-16,Mini Inspection Visit,1-Jan-10,1-Dec-15,30-Nov-17,2 Year - Full,70039692
Canada-AB-27-AB-SupportiveLiving-output-294,NIHGI METIS SENIORS LODGE,11935 65 Street,EDMONTON,T5L 0A2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,38,Housing and Urban Affairs,METIS CAPITAL HOUSING CORPORATION INC.,(780) 471-2443,(780) 474-2441,21-Jul-17,Inspection Visit,7-Jan-09,1-Aug-17,30-Sep-17,Conditional,70040320
Canada-AB-27-AB-SupportiveLiving-output-295,STEPPING STONE SUPPORTIVE RESIDENCE,9304 103A Avenue,EDMONTON,T5H 4R4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,72,Health,THE GOVERNING COUNCIL OF THE SALVATION ARMY,(780) 429-4274,N/A,19-May-17,Inspection Visit,26-May-09,1-Sep-17,31-May-18,Full,70040322
Canada-AB-27-AB-SupportiveLiving-output-296,POINTS WEST LIVING,4025 56 Avenue,LLOYDMINSTER,T9V 1N9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,60,Health,POINTS WEST LIVING LLOYDMINSTER INC.,(780) 874-4300,N/A,20-Jan-17,Mini Inspection Visit,1-Feb-09,1-Feb-16,31-Jan-19,3 Year - Full,70040323
Canada-AB-27-AB-SupportiveLiving-output-297,HOPE COTTAGE INC. -  RESIDENCE #6,3569 McLay Crescent,EDMONTON,T6R 3V2,AB,Canada,Supportive Living Accommodation - Group Home,6,Health,HOPE COTTAGE INC.,(780) 760-3280,N/A,11-May-17,Inspection Visit,14-Oct-08,1-Jun-17,31-May-18,Full,70040324
Canada-AB-27-AB-SupportiveLiving-output-298,HOPE COTTAGE INC. - RESIDENCE #7,3908 MacNeil Bay,EDMONTON,T6R 0H5,AB,Canada,Supportive Living Accommodation - Group Home,6,Health,HOPE COTTAGE INC.,(780) 760-3281,N/A,11-May-17,Inspection Visit,14-Oct-08,1-Jun-17,31-May-20,3 Year - Full,70040325
Canada-AB-27-AB-SupportiveLiving-output-299,ALPINE SUMMIT SENIORS LODGE,509 Turret Street,JASPER,T0E 1E0,AB,Canada,Supportive Living Accommodation - Lodge,37,Lodge Assistance Program,THE EVERGREENS FOUNDATION,(780) 852-4881,N/A,11-May-17,Inspection Visit,1-Dec-09,1-Jun-17,31-May-19,2 Year - Full,70040326
Canada-AB-27-AB-SupportiveLiving-output-300,VENTA MANOR,10120 135 Avenue,EDMONTON,T5E 1P1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,30,,VENTA CARE CENTRE LTD.,(780) 377-4401,(780) 476-6943,20-Sep-16,Inspection Visit,23-Mar-09,1-Oct-16,30-Sep-19,3 Year - Full,70040327
Canada-AB-27-AB-SupportiveLiving-output-301,WELLINGTON RETIREMENT RESIDENCE (THE),1595 Southview Drive SE,MEDICINE HAT,T1B 0A1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,96,Health,WELLINGTON RETIREMENT RESIDENCE PARTNERSHIP,(403) 526-5762,N/A,10-May-17,Inspection Visit,1-Nov-08,1-Jun-17,31-May-18,Full,70040328
Canada-AB-27-AB-SupportiveLiving-output-302,MARIGOLD ENTERPRISES REHABILITATION SERVICES SOCIETY (2004),5101 55 Avenue,HIGH PRAIRIE,T0G 1E0,AB,Canada,Supportive Living Accommodation - Group Home,5,Persons with Developmental Disabilities (PDD),MARIGOLD ENTERPRISES REHABILITATION SERVICES SOCIETY (2004),(780) 523-4588,N/A,8-Mar-17,Mini Inspection Visit,13-Mar-09,1-Apr-15,31-Mar-18,3 Year - Full,70040329
Canada-AB-27-AB-SupportiveLiving-output-303,ONSTINE GROUP HOME,13020 65 Street NW,EDMONTON,T5A 1A1,AB,Canada,Supportive Living Accommodation - Group Home,6,,ONSTINE GROUP HOME,(780) 967-2740,N/A,25-Aug-17,Follow-Up Visit,30-Mar-09,25-Aug-17,30-Sep-17,Conditional,70040332
Canada-AB-27-AB-SupportiveLiving-output-304,ST. THERESE VILLA,253 Southgate Boulevard,LETHBRIDGE,T1K 2S1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,200,Health,COVENANT HEALTH,(403) 332-5310,N/A,16-May-17,Inspection Visit,5-Oct-09,25-Jun-17,31-May-18,Full,70040333
Canada-AB-27-AB-SupportiveLiving-output-305,DEVONSHIRE MANOR LTD.,1718 Rabbit Hill Road,EDMONTON,T6R 3N2,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,59,Health,DEVONSHIRE MANOR LTD,(780) 433-1395,N/A,10-May-17,Mini Inspection Visit,29-Nov-08,1-Jun-16,31-May-19,3 Year - Full,70040334
Canada-AB-27-AB-SupportiveLiving-output-306,GARDENS AT EMERALD PARK (THE),10402 111 Street,GRANDE PRAIRIE,T8V 8G4,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,79,Health,1010097 ALBERTA LTD.,(780) 539-5538,N/A,14-Feb-17,Inspection Visit,4-Sep-09,1-Mar-17,28-Feb-18,Full,70040335
Canada-AB-27-AB-SupportiveLiving-output-307,EVERGREEN APPROVED HOME,128 Evergreen Circle SW,CALGARY,T2Y 0C1,AB,Canada,Supportive Living Accommodation - Group Home,6,Health,COLIN RYAN,(403) 663-8620,N/A,11-Apr-17,Inspection Visit,16-Oct-08,1-May-17,30-Apr-20,3 Year - Full,70040336
