row_id,Licence #,First Issue Date,Licensee Name,Address Line 1,Address Line 2,city,Postal Code,Province,Country,Contact Phone,Fax,Primary Contact,Website,Email,Services Available,Resident Capacity,Automatic Sprinklers in All Suites?,Number of Suites with Automatic Sprinklers,Sprinkler Locations,facility_type
Canada-ON-1-ON-AssistedLiving-output-208,T0397,10/1/2014,Delmanor Prince Edward Inc.,4800 Dufferin Street,Unit F,Toronto,M3H 5S9,ON,Canada,416-233-0725,N/A,Mrs. Karen Goyer,http://www.delmanor.com,kgoyer@delmanor.com,"[True, True, False, False, False, False, True, True, False, True, True, True, True]",170,Yes,139,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-209,S0082,9/12/2012,Cobblestone Gardens Ltd.,10 Ormond Street N.,,Thorold,L2V 1Y7,ON,Canada,+1 905-227-5550,+1 905-227-5525,N/A,http://www.cobblestonegardens.com,,"[True, False, False, False, False, False, True, True, False, False, False, False, True]",68,Some,25,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-210,T0027,7/11/2012,V!VA Retirement Communities Inc.,3845 Bathurst Street,Unit 206,Toronto,M3H 3N2,ON,Canada,+1 613-253-2010,+1 613-253-8481,N/A,http://www.thewaterside.ca,,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",182,Yes,88,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-211,N0161,12/12/2016,PDH Healthcare Ltd.,17 Lombardo Drive,,Kanata,K2L 4E8,ON,Canada,+1 613-592-5772,+1 613-592-8928,Mr. Prem Arora,http://www.fairfieldmanor.ca,info@fairfieldmanor.ca,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",50,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-212,S0050,8/29/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,519-432-7909,+1 519-438-5118, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",200,Yes,121,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-213,S0120,2/6/2013,Greenwood Retirement Communities Incorporated,2200 Yonge Street,Unit 805,Toronto,M4S 2C6,ON,Canada,+1 905-548-7660,+1 905-529-1414,Mrs. Miriam Koller,http://www.caroline-place.com,maddi@caroline-place.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",130,Yes,108,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-214,N0376,3/31/2015,HCN-Revera Lessee (Briargate) LP,55 Standish Court,8th floor,Mississauga,L5R 4B2,ON,Canada,+1 613-384-9333,+1 613-384-4443,Ms. Shana Bond,http://reveraliving.com/briargate,BriargateRET@reveraliving.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",68,Yes,65,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-215,N0448,4/1/2017,Calvin Jenkins,167 St. Lawrence St.  E.,PO Box 780,Madoc,K0K 2K0,ON,Canada,+1 613-473-2121,N/A,Mr. Calvin Jenkins,http://www.timbertrailsretirementliving.com,timbertrailsliving@gmail.com,"[True, False, True, False, False, False, True, True, False, False, True, False, False]",30,Yes,20,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Elevator/Elevator Shaft, Offices",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-216,N0130,9/25/2013,Greystone Manor,PO BOX 239,,Kemptville,K0G 1J0,ON,Canada,+1 613-258-0695,+1 613-258-7738,Ms. Natasha Luff,http://www.greystonemanorkemptville.ca,greystone0695@hotmail.com,"[True, False, True, False, False, True, True, True, False, True, True, False, True]",12,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-217,S0053,9/5/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 519-972-3330,+1 519-972-9885, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",204,Yes,112,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Boiler Room, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-218,N0238,8/23/2013,Promotions Prescott-Russell Inc.,845 St. Jean Street,PO BOX 400,Rockland,K4K 1K5,ON,Canada,+1 613-446-7023,+1 613-446-4867,Mr. Albert Bourdeau,http://www.residencesimon.ca,albert@residencesimon.ca,"[True, True, False, False, False, True, True, True, False, True, True, True, False]",49,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-219,S0104,8/15/2012,2220458 Ontario Inc.,98 Talbot Street E.,RR 1,Jarvis,N0A 1J0,ON,Canada,+1 519-587-2208,+1 519-952-0241,Mr. Rahul Kuckreja,http://www.jarvisretirement.com,info@jarvisretirement.com,"[True, True, True, False, True, False, True, True, False, True, False, False, True]",73,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-220,T0270,5/28/2013,HCN-Revera Lessee (Churchill Place) LP,55 Standish Court,8th Floor,Mississauga,L5R 4B2,ON,Canada,+1 905-338-3311,+1 905-338-7117,Ms. Shana Bond,http://reveraliving.com/churchillplace,churchillplace@irc.ca,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",70,Yes,70,"Hallways, Dining Room, Common Resident Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-221,T0179,8/29/2012,147 Elder Street Inc.,1 Gardenia Crescent,,Toronto,M2M 4G2,ON,Canada,+1 416-631-0405,+1 416-631-0599,N/A,,147elder@gmail.com,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",52,Yes,52,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-222,N0125,5/15/2013,Richard Diamond,1530 County Road 10,,Cherry Valley,K0K 1P0,ON,Canada,+1 613-476-7277,N/A,N/A,,outlet@sympatico.ca,"[False, False, False, False, False, False, True, True, False, False, False, False, False]",36,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-223,S0172,4/19/2013,Apple Lane Retirement Home Inc.,57 John Street W.,,Waterdown,L0R 2H0,ON,Canada,+1 905-689-5440,+1 905-689-8210,Mrs. Patricia Hutten,http://www.villagemanor.ca,stephanie@villagemanor.ca,"[True, True, False, False, True, False, True, True, False, True, False, False, True]",55,Yes,49,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-224,N0372,3/26/2015,Jennifer Clow,9504 Road 38,,Godfrey,K0H 1T0,ON,Canada,613-374-2023,+1 613-374-5737,N/A,,,"[True, True, True, True, False, True, True, True, False, True, True, True, False]",15,Some,7,"Hallways, Common Resident Areas, Emergency Exits",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-225,N0394,10/28/2015,HCN-Revera Lessee (Barrhaven) LP,"55 Standish Court, 8th Floor",,Mississauga,L5R 4B2,ON,Canada,+1 613-823-2525,+1 613-823-9928,N/A,http://www.reveraliving.com/retirement-living/locations/barrhaven,,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",140,Yes,104,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Gar",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-226,S0343,5/1/2014,Lifetimes Limited Partnership,3200 Dufferin Street,Unit 407,Toronto,M6A 3B2,ON,Canada,+1 519-539-0219,+1 519-539-7055, Beryl Collingwood,http://www.parkplaceretirement.ca,melissa.hawki@lifetimesliving.ca,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",59,Yes,59,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-227,N0047,8/15/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 705-789-1600,+1 705-789-8781, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",114,Yes,58,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-228,T0159,3/15/2013,488491 Ontario Inc.,355 Broadway Avenue,,Orangeville,L9W 3Y3,ON,Canada,+1 519-941-3351,+1 519-941-2445,N/A,http://www.jarlette.com,,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",74,Yes,63,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-229,T0190,7/3/2013,Tomclo Properties Ltd.,860 The Greenway,,Mississauga,L5G 1P6,ON,Canada,+1 905-271-0062,+1 416-252-0142,N/A,,dean_jennifer@hotmail.com,"[True, False, False, False, False, False, True, True, False, True, False, False, False]",9,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-230,N0408,12/1/2015,Green Eitz (Belleville) Inc.,4476 Chesswood Drive,Unit 1,Toronto,M3J 2B9,ON,Canada,613-968-7449,+1 613-968-3819,Mr. Michael Grunbaum,http://www.bridgestreetretirement.com,manager@bridgestreetretirement.com,"[True, True, True, True, True, True, True, True, False, True, True, False, True]",68,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-231,T0475,6/15/2016,Casa Dolce Casa Inc.,7890 Pine Valley Drive,,Woodbridge,L4L 2J3,ON,Canada,+1 905-605-1648,+1 905-605-1756,Ms. Gina Batista Perez,http://www.casadolecasa.ca,info@casadolecasa.ca,"[True, True, True, True, False, True, True, True, False, True, True, True, True]",56,Yes,56,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-232,N0168,11/13/2013,Country Moments Inc.,185 Lakewood Park Road,,Huntsville,P1H 1Y7,ON,Canada,+1 705-787-1639,+1 705-787-1639,Mrs. Kere Jenner,http://www.country-moments.com,kerejenner@hotmail.com,"[True, True, True, True, False, True, True, True, False, True, True, False, False]",17,Yes,16,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-233,T0262,5/28/2013,HCN-Revera Lessee (Highland Place) LP,55 Standish Court,8th Floor,Mississauga,L5R 4B2,ON,Canada,+1 519-741-0221,+1 519-741-1356,Ms. Shana Bond,http://reveraliving.com/highland,highlandplace@reveraliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",84,Yes,83,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-234,S0134,11/14/2012,Dolce Vita Retirement Living Ltd,854 Erie Street E.,,Windsor,N9A 3Y6,ON,Canada,+1 519-253-3329,+1 519-255-9808,N/A,,dolcevita@cogeco.net,"[True, True, True, True, True, True, True, True, False, True, True, True, True]",48,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-235,S0382,7/15/2015,Serenity Blenheim Independent Living Inc.,648 Armstrong Blvd,,Milton,L9T 6G8,ON,Canada,+1 519-676-4489,+1 519-676-0300,Mrs. Eugenia Valencia,http://www.blenheimindependentliving.com,info@blenheimindependentliving.com,"[True, True, True, True, False, True, True, True, False, True, True, False, True]",26,Yes,24,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Attic, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-236,T0259,7/3/2013,Country Home Care Services Ltd.,12472 York Durham Line,,Stouffville,L4A 7X4,ON,Canada,416-301-5239,N/A,Ms. Laurie Mountford,http://www.countryhomecare.ca, laurie@countryhomecareservices.ca,"[True, True, True, True, False, True, True, True, False, True, True, True, False]",8,Yes,8,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-237,T0181,1/30/2013,Spruceglen Homes Inc.,271 Whitmore Drive,,Waterloo,N2K 2M5,ON,Canada,+1 519-648-3212,+1 519-648-3388,Mrs. Karen Martin,http://www.hillsideresidence.ca,info@hillsideresidence.ca,"[True, True, False, False, True, True, True, True, True, True, False, False, True]",15,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-238,S0033,11/7/2012,The Leamington United Mennonite Home & Apartments,22 Garrison Avenue,,Leamington,N8H 2P2,ON,Canada,+1 519-326-6109,+1 519-326-3595,N/A,,lindatiessen@mennonitehome.ca,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",48,Yes,45,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-239,N0263,8/21/2013,2352756 Ontario Inc.,4676 Dark's Side Road,,Pakenham,K0A 2X0,ON,Canada,613-518-6642,+1 1-888-960-0247,Mr. Ali Abbas,http://www.countryviewlodge.com,info@countryviewlodge.com,"[True, True, True, True, False, True, True, True, False, True, False, True, True]",35,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-240,S0164,12/20/2012,BayBridge (St. Catharines) Inc.,1100 Burloak Drive,Unit 300,Burlington,L7L 6B2,ON,Canada,+1 905-646-1311,+1 905-646-0055,Ms. Andrea Prashad,http://www.primetimeliving.ca,rob.brazeau@primetimeliving.ca,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",264,Yes,167,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-241,S0194,4/12/2013,1869423 Ontario Limited,211 York Road,,Dundas,L9H 1M9,ON,Canada,+1 905-627-3404,+1 905-627-3284,N/A,http://www.yorkvilleresidence.com,,"[True, True, False, False, False, True, True, True, False, False, True, False, True]",20,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-242,T0292,12/6/2013,1771293 Ontario Inc.,602 Brimley Road,,Scarborough,M1J 1B5,ON,Canada,+1 416-266-6473,+1 416-266-0323,Mrs. Indrani Nagenthiram,http://www.hhseniorcare.com,villakaruna602@gmail.com,"[True, True, True, True, False, True, True, True, False, True, True, True, False]",10,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-243,N0387,8/2/2015,Chapel Hill Limited Partnership,175 Bloor Street E.,"South Tower, Unit 601",Toronto,M4W 3R8,ON,Canada,613-804-2273,N/A,Mrs. Jackie Dusome,http://www.allseniorscare.com,danvito@allseniorscare.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",157,Yes,157,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-244,S0141,5/8/2013,Dayspring Residence Inc,332787 Plank Line,RR 7,Tillsonburg,N4G 4H1,ON,Canada,+1 519-842-7805,+1 866-824-8856, R.Chris Jordan,http://www.dayspring-residence.ca,dayspringresidence@gmail.com,"[True, True, True, True, False, True, True, True, False, True, False, False, False]",20,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-245,N0398,10/28/2015,HCN-Revera Lessee (Prince of Wales) LP,"55 Standish Court, 8th Floor",,Mississauga,L5R 4B2,ON,Canada,+1 613-843-9887,+1 613-823-8511,N/A,http://www.princeofwalesretirement.com,,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",135,Yes,116,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-246,N0049,9/18/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 613-234-6003,+1 613-234-9498, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",105,Yes,105,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-247,T0170,1/30/2013,Fox Run Retirement Home Inc.,5475 Trafalgar Road,,Erin,N0B 1T0,ON,Canada,+1 519-833-1033,N/A,N/A,,foxrunhome@gmail.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",10,Yes,10,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-248,T0125,1/30/2013,The Dunfield Inc.,77 Dunfield Avenue,,Toronto,M4S 2H3,ON,Canada,+1 416-481-8523,+1 416-481-3041,Mr. Kurt Low,http://www.thedunfield.com,klow@thedunfield.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",200,Yes,177,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-249,T0036,11/7/2012,Saint Luke's Place,1624 Franklin Boulevard,,Cambridge,N3C 3P4,ON,Canada,+1 519-658-5183,+1 519-658-2991,N/A,http://www.saintlukesplace.ca,,"[True, True, True, True, True, True, True, True, False, True, False, False, True]",46,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-250,T0014,4/12/2013,The Sisters of Our Lady Immaculate of the Diocese of Hamilton,640 Hillview Road,,Cambridge,N3H 5H3,ON,Canada,+1 519-653-0363,+1 519-653-2755,N/A,,marianresidence@bellnet.ca,"[True, True, False, False, False, False, True, True, False, True, True, True, True]",52,Some,23,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-251,N0427,7/29/2016,Laurel Jennifer Stewart,83 Highland Ave.,,Belleville,K8P 3R2,ON,Canada,+1 613-967-4663,+1 613-967-4663,N/A,,ljwatoak@yahoo.ca,"[True, True, True, False, True, True, True, True, False, True, True, False, True]",10,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-252,S0178,10/10/2012,Revera Long Term Care Inc.,5015 Spectrum Way,Unit 600,Mississauga,L4W 0E4,ON,Canada,+1 519-759-1040,+1 519-759-5343,N/A,,brierwoodgardens@reveraliving.com,"[True, True, True, True, False, True, True, True, False, True, True, True, True]",71,Yes,71,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-253,S0129,11/7/2012,St. Charles Village LP,1350 Plains Road W.,,Burlington,L7T 1H6,ON,Canada,+1 905-788-1844,+1 905-788-3830,N/A,,stcharles@bellnet.ca,"[True, True, False, False, False, True, True, True, False, True, False, False, True]",76,Yes,70,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-254,T0118,2/6/2013,Wawel Villa Incorporated,880 Clarkson Road S.,,Mississauga,L5J 4N4,ON,Canada,+1 905-823-3650,+1 905-823-5462,Mr. Jon Grayson,http://www.wawel.org,enquiries@wawel.org,"[True, True, True, True, True, True, True, True, False, True, True, True, True]",91,Yes,88,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-255,S0022,10/5/2012,Caressant Care Nursing and Retirement Homes Limited,264 Norwich Avenue,,Woodstock,N4S 3V9,ON,Canada,+1 519-291-1041,+1 519-291-5420,N/A,http://www.caressantcare.com,,"[True, False, False, False, False, False, True, True, False, False, True, True, True]",64,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-256,S0374,3/31/2015,HCN-Revera Lessee (Maplecrest) LP,55 Standish Court,,Mississauga,L5R 4B2,ON,Canada,+1 905-945-7044,+1 905-945-6187,Ms. Shana Bond,http://reveraliving.commaplecrest,maplecrestvillage@reveraliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",84,Yes,70,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-257,T0072,12/7/2012,Maple View Retirement Residence Inc.,2281 County Road 45,,Norwood,K0L 2V1,ON,Canada,+1 705-639-5374,+1 705-639-1793,N/A,http://www.mapleviewretirement.com,,"[True, False, False, False, False, False, True, True, False, False, False, False, True]",67,Yes,67,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-258,T0095,8/15/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 519-763-7474,+1 519-763-4918, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",130,Yes,114,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-259,T0254,1/10/2013,BayBridge (Kensington Place) Inc.,20 Queen Street W.,Unit 2700,Toronto,M5H 3R4,ON,Canada,+1 416-636-9555,+1 416-636-8211,N/A,http://www.thekensingtonplace.com,,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",125,Yes,101,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-260,T0198,9/12/2012,Ventas SSL Ontario II Inc.,10350 Ormsby Park Place,Unit 300,Louisville,40223,KY,US,+1 905-569-0004,+1 905-569-7754,Ms. Luca Kamber,http://www.sunriseseniorliving.com,erinmills.ed@sunriseseniorliving.com,"[True, True, True, True, True, True, True, True, True, True, True, False, True]",140,Yes,70,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-261,N0270,11/6/2013,Symphony Senior Living Ottawa LP,27 Weaver Crescent,,Kanata,K2K 2Z8,ON,Canada,+1 613-253-7360,+1 613-253-5048,Mr. Mario Stamm,http://www.symphonyseniorliving.com,mstamm@symphonyseniorliving.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",125,Yes,107,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-262,T0436,7/1/2015,Seasons Retirement Communities (Milton) GP Inc.,1315 North Service Road E.,Unit 200,Oakville,L6H 1A7,ON,Canada,905-864-6888,+1 905-864-0005,Mr. Michael Lavallee,http://www.seasonsretirement.com,mlavallee@seasonsretirement.com,"[True, True, True, False, False, True, True, True, True, True, True, True, True]",169,Yes,150,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Gar",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-263,T0169,11/14/2012,Mountainview Residence Inc.,222 Mountainview Road N.,,Georgetown,L7G 3R2,ON,Canada,+1 905-877-1800,+1 905-873-9083,Mr. Christoph Summer,http://www.mountainviewresidence.com,info@mountainviewresidence.com,"[True, True, False, False, True, False, True, True, True, True, False, False, True]",194,Yes,165,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-264,T0028,8/29/2012,Tower of Port Hope Inc.,2 St. Clair Avenue West W.,Unit 801,Toronto,M4V 1L5,ON,Canada,905-885-7261,+1 905-885-1519,Mr. Ronald Medoff,http://www.towerofporthope.ca,contact@villabar.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",54,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-265,N0052,8/22/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 613-744-0901,+1 613-742-3039, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",123,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-266,T0110,9/12/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 905-420-3369,+1 905-420-0075, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",234,Yes,117,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-267,T0438,8/15/2015,Greenwood Retirement Communities Incorporated,2200 Yonge Street,Unit 805,Toronto,M4S 2C6,ON,Canada,905-428-0555,+1 416-849-5030,Mrs. Miriam Koller,http://www.harmony-hill.ca,info@harmony-hill.ca,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",250,Yes,206,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Par",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-268,N0401,10/28/2015,HCN-Revera Lessee (Windsor) LP,"55 Standish Court, 8th Floor",,Mississauga,L5R 4B2,ON,Canada,+1 613-249-0722,+1 613-249-0575,Ms. Shana Bond,http://www.windsorparkretirement.com,blacroix@regallc.com,"[True, True, True, True, False, True, True, True, False, True, True, True, True]",140,Yes,119,"Kitchen, Hallways, Common Resident Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-269,S0216,6/14/2013,1088089 Ontario Limited,54 Spruce Street N.,,Kingsville,N9Y 3J1,ON,Canada,+1 519-733-8376,+1 519-733-8552,N/A,,augustinevillas@yahoo.ca,"[False, False, False, False, False, False, True, True, False, False, False, True, True]",58,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-270,S0155,8/29/2012,Seasons Retirement Communities (Amherstburg) GP Inc.,1315 North Service Road E.,Unit 200,Oakville,L6H 1A7,ON,Canada,+1 519-736-7557,+1 519-736-7667,Mr. Michael Lavallee,http://www.seasonsretirement.com,mlavallee@seasonsretirement.co,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",165,Yes,129,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-271,N0036,1/10/2013,Riverstone Bridlewood Limited Partnership,480 Brigitta Street,,Ottawa,K2S 0K7,ON,Canada,+1 613-595-1116,+1 613-595-1117,Mr. Mike Traub,http://www.bridlewoodretirement.com,lclingen@riverstoneretirement.ca,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",165,Yes,145,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-272,N0113,3/22/2013,737566 Ontario Inc.,1097 Bethune Drive S.,,Gravenhurst,P1P 0A8,ON,Canada,+1 705-687-0007,+1 705-687-6653,Mrs. Jackie Payne,http://www.retire-muskoka.com,carol@graniteridgerr.com,"[True, True, True, True, False, False, True, True, False, True, False, False, True]",102,Yes,99,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-273,T0042,11/14/2012,Parkwood Mennonite Home Inc.,720 New Hampshire Street,,Waterloo,N2K 0A3,ON,Canada,+1 519-885-0090,+1 519-885-6720,N/A,,info@parkwoodmh.com,"[True, True, False, False, False, True, True, True, False, True, True, True, True]",116,Yes,66,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-274,T0226,10/24/2012,Revera Retirement Genpar Inc.,5015 Spectrum Way,Unit 600,Mississauga,L4W 0E4,ON,Canada,+1 705-328-1016,+1 705-328-1028,Ms. Shana Bond,http://reveraliving.comwilliamplace,williamplace@reveraliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",72,Yes,72,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-275,T0193,3/15/2013,Alexis Lodge Social Services Inc,707 Ellesmere Road,,Scarborough,M1P 2W1,ON,Canada,+1 416-752-1923,+1 416-752-4750,Mrs. Christiana Egi,http://www.alexislodge.com,admin@alexislodge.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",21,No,0,None,Assisted Living
