License Number,Legal Name,Short Name,Address,PO Box,Municipality,Postal Code,Country,Phone,Health Region,Territory CLSC,MRC,Circ. Provincial Election,Licensing Services,Fax,Dir. General,Chairman of the Board,Complaints and Quality of Service Commissioner,Status,Law,Incorpporation,Mission(s),Ministerial designation,Local authority,Funding method,facility_type
5123-1140,CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - RACINE,CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - RACINE,"341, rue Racine",,Québec (23027),G2B 1E9,Canada,(418) 845-1706,Capitale-Nationale (03),Loretteville - Val-Bélair (03131),Québec (230),Chauveau (613),CRDI   12 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7148,CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - ROYALE (550),CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - ROYALE (550),"550, avenue Royale",,Québec (23027),G1E 1Y1,Canada,(418) 666-1195,Capitale-Nationale (03),Beauport (03133),Québec (230),Montmorency (673),CRDI   12 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-6967,CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - WILFRID-HAMEL,CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - WILFRID-HAMEL,"525, boulevard Wilfrid-Hamel",,Québec (23027),G1M 2S8,Canada,(418) 529-2097,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Vanier-Les Rivières (639),CRDI   13 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3302,CENTRE D'ACTIVITÉS DE JOUR DU CHEMIN SAINTE-FOY,CENTRE D'ACTIVITÉS DE JOUR DU CHEMIN SAINTE-FOY,"3645, chemin Sainte-Foy",,Québec (23027),G1X 1T1,Canada,(418) 652-2173,Capitale-Nationale (03),Sainte-Foy - Sillery (03123),Québec (230),Louis-Hébert (653),CRDI   9 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-1876,CENTRE D'ACTIVITÉS DE JOUR DU PRESBYTÈRE SAINTE-CÉCILE,CENTRE D'ACTIVITÉS DE JOUR DU PRESBYTÈRE SAINTE-CÉCILE,"9150, avenue Jean-Paquin",,Québec (23027),G1G 4Y4,Canada,(418) 623-9717,Capitale-Nationale (03),Charlesbourg (03132),Québec (230),Charlesbourg (619),CRDI   10 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-1868,CENTRE D'ACTIVITÉS DE JOUR DU CENTRE COMMUNAUTAIRE EDWARD-LAVERGNE,CENTRE D'ACTIVITÉS DE JOUR EDWARD-LAVERGNE,"390, rue Arago Ouest, loc. 26",,Québec (23027),G1K 2J3,Canada,(418) 524-7878,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),CRDI   13 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3294,CENTRE D'ACTIVITÉS DE JOUR LA VILLA RINGFIELD,CENTRE D'ACTIVITÉS DE JOUR LA VILLA RINGFIELD,"1185, avenue La Sarre",,Québec (23027),G1L 3S3,Canada,(418) 649-8721,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Jean-Lesage (623),CRDI   13 Place(s) en centre d'activités de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-6932,CENTRE D'HÉBERGEMENT ALPHONSE-BONENFANT,CENTRE D'HÉBERGEMENT ALPHONSE-BONENFANT,"1199, chemin Royal",,Saint-Pierre-de-L'Île-d'Orléans (20025),G0A 4E0,Canada,(418) 828-9114,Capitale-Nationale (03),Orléans (03134),L'Île-d'Orléans (200),Charlevoix--Côte-de-Beaupré (679),CHSLD   50 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-6289,CENTRE D'HÉBERGEMENT DE BAIE-SAINT-PAUL,CENTRE D'HÉBERGEMENT DE BAIE-SAINT-PAUL,"92, rue Racine",,Baie-Saint-Paul (16013),G3Z 2P8,Canada,(418) 435-9713,Capitale-Nationale (03),Charlevoix-Ouest (03141),Charlevoix (160),Charlevoix--Côte-de-Beaupré (679),CHSLD   102 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-9855,CENTRE D'HÉBERGEMENT DE CHARLESBOURG,CENTRE D'HÉBERGEMENT DE CHARLESBOURG,"7150, boulevard Cloutier",,Québec (23027),G1H 5V5,Canada,(418) 628-0456,Capitale-Nationale (03),Charlesbourg (03132),Québec (230),Charlesbourg (619),CHSLD    Centre de jour; CHSLD   56 Lit(s) d'hébergement permanent; CHSLD   8 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-7708,CENTRE D'HÉBERGEMENT DE CLERMONT,CENTRE D'HÉBERGEMENT DE CLERMONT,"6, rue du Foyer",case postale 520,Clermont (15035),G4A 1G8,Canada,(418) 665-1712,Capitale-Nationale (03),Charlevoix-Est (03142),Charlevoix-Est (150),Charlevoix--Côte-de-Beaupré (679),CHSLD   42 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-6544,CENTRE D'HÉBERGEMENT DE DONNACONA,CENTRE D'HÉBERGEMENT DE DONNACONA,"250, boulevard Gaudreau",,Donnacona (34025),G3M 1L7,Canada,(418) 285-3025,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CHSLD    Centre de jour; CHSLD   85 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-7690,CENTRE D'HÉBERGEMENT DE LA MALBAIE,CENTRE D'HÉBERGEMENT DE LA MALBAIE,"555, boulevard de Comporté",,La Malbaie (15013),G5A 1W3,Canada,(418) 665-1727,Capitale-Nationale (03),Charlevoix-Est (03142),Charlevoix-Est (150),Charlevoix--Côte-de-Beaupré (679),CHSLD    Centre de jour; CHSLD   56 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-3865,CENTRE D'HÉBERGEMENT DE L'HÔPITAL GÉNÉRAL DE QUÉBEC,CENTRE D'HÉBERGEMENT DE L'HÔPITAL GÉNÉRAL DE QUÉBEC,"260, boulevard Langelier",,Notre-Dame-des-Anges (23015),G1K 5N1,Canada,(418) 529-0931,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),CHSLD   320 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-2205,CENTRE D'HÉBERGEMENT DE LIMOILOU,CENTRE D'HÉBERGEMENT DE LIMOILOU,"1401, chemin de la Canardière",,Québec (23027),G1J 0A6,Canada,(418) 529-6571,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Jean-Lesage (623),CHSLD    Centre de jour; CHSLD   132 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-8436,CENTRE D'HÉBERGEMENT DE LORETTEVILLE,CENTRE D'HÉBERGEMENT DE LORETTEVILLE,"165, rue Lessard",,Québec (23027),G2B 2V9,Canada,(418) 842-9191,Capitale-Nationale (03),Loretteville - Val-Bélair (03131),Québec (230),Chauveau (613),CHSLD    Centre de jour; CHSLD   74 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3781,CENTRE D'HÉBERGEMENT DE PONT-ROUGE,CENTRE D'HÉBERGEMENT DE PONT-ROUGE,"5, rue du Jardin",,Pont-Rouge (34017),G3H 0H1,Canada,(418) 873-4661,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CHSLD   31 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-6569,CENTRE D'HÉBERGEMENT DE SAINT-CASIMIR,CENTRE D'HÉBERGEMENT DE SAINT-CASIMIR,"605, rue Fleury",,Saint-Casimir (34078),G0A 3L0,Canada,(418) 339-2861,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CHSLD    Centre de jour; CHSLD   64 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-6551,CENTRE D'HÉBERGEMENT DE SAINT-MARC-DES-CARRIÈRES,CENTRE D'HÉBERGEMENT DE SAINT-MARC-DES-CARRIÈRES,"444, rue Beauchamp",,Saint-Marc-des-Carrières (34065),G0A 4B0,Canada,(418) 268-3511,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CHSLD   54 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-6536,CENTRE D'HÉBERGEMENT DE SAINT-RAYMOND,CENTRE D'HÉBERGEMENT DE SAINT-RAYMOND,"324, rue Saint-Joseph",,Saint-Raymond (34128),G3L 1J7,Canada,(418) 337-4661,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CHSLD   63 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5561-7716,CENTRE D'HÉBERGEMENT DE SAINT-SIMÉON,CENTRE D'HÉBERGEMENT DE SAINT-SIMÉON,"371, rue Saint-Laurent",case postale 7,Saint-Siméon (15058),G0T 1X0,Canada,(418) 638-2414,Capitale-Nationale (03),Charlevoix-Est (03142),Charlevoix-Est (150),Charlevoix--Côte-de-Beaupré (679),CHSLD    Centre de jour; CHSLD   17 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5233-6013,CENTRE D'HÉBERGEMENT DES CHUTES,CENTRE D'HÉBERGEMENT DES CHUTES,"700, boulevard des Chutes",,Québec (23027),G1E 2B7,Canada,(418) 663-9934,Capitale-Nationale (03),Beauport (03133),Québec (230),Montmorency (673),CHSLD   60 Lit(s) d'hébergement permanent; CHSLD   6 Lit(s) d'hébergement temporaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5414-6360,CENTRE D'HÉBERGEMENT DU FAUBOURG,CENTRE D'HÉBERGEMENT DU FAUBOURG,"925, avenue Turnbull",,Québec (23027),G1R 2X6,Canada,(418) 524-2463,Capitale-Nationale (03),Québec - Haute-Ville (03124),Québec (230),Taschereau (633),CHSLD    Centre de jour; CHSLD   96 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-3451,CENTRE D'HÉBERGEMENT DU SACRÉ-COEUR,CENTRE D'HÉBERGEMENT DU SACRÉ-COEUR,"1, avenue du Sacré-Coeur",,Québec (23027),G1N 2W1,Canada,(418) 529-4777,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),CHSLD   71 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5546-4739,CENTRE D'HÉBERGEMENT EN SANTÉ MENTALE LOUIS-XIV,CENTRE D'HÉBERGEMENT EN SANTÉ MENTALE LOUIS-XIV,"855, boulevard Louis-XIV",,Québec (23027),G1H 1A6,Canada,(418) 628-0662,Capitale-Nationale (03),Charlesbourg (03132),Québec (230),Charlesbourg (619),CHSLD   13 Lit(s) d'hébergement temporaire en santé mentale,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5223-9787,CENTRE D'HÉBERGEMENT LOUIS-HÉBERT,CENTRE D'HÉBERGEMENT LOUIS-HÉBERT,"1550, rue de la Pointe-Aux-Lièvres",,Québec (23027),G1L 4M8,Canada,(418) 529-5511,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Jean-Lesage (623),CHSLD   52 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-3873,CENTRE D'HÉBERGEMENT NOTRE-DAME-DE-LOURDES,CENTRE D'HÉBERGEMENT NOTRE-DAME-DE-LOURDES,"105, rue Hermine",,Québec (23027),G1K 1Y5,Canada,(418) 529-2501,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),CHSLD    Centre de jour; CHSLD   226 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5362-6370,CENTRE D'HÉBERGEMENT PAUL-TRIQUET,CENTRE D'HÉBERGEMENT PAUL-TRIQUET,"789, rue de Belmont",,Québec (23027),G1V 4V2,Canada,(418) 657-6890,Capitale-Nationale (03),Sainte-Foy - Sillery (03123),Québec (230),Jean-Talon (643),CHSLD   64 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3682,CENTRE D'HÉBERGEMENT ROY-ROUSSEAU,CENTRE D'HÉBERGEMENT ROY-ROUSSEAU,"2579, chemin de la Canardière",etage 300 ouest,Québec (23027),G1J 2G2,Canada,(418) 663-5000,Capitale-Nationale (03),Beauport (03133),Québec (230),Jean-Lesage (623),CHSLD   20 Lit(s) d'hébergement transitoire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5414-6378,CENTRE D'HÉBERGEMENT SAINT-ANTOINE,CENTRE D'HÉBERGEMENT SAINT-ANTOINE,"1451, boulevard Père-Lelièvre",,Québec (23027),G1M 1N8,Canada,(418) 683-2516,Capitale-Nationale (03),Duberger-Les Saules-Lebourgneuf (03122),Québec (230),Vanier-Les Rivières (639),CHSLD    Centre de jour; CHSLD   276 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5414-6469,CENTRE D'HÉBERGEMENT SAINT-AUGUSTIN,CENTRE D'HÉBERGEMENT SAINT-AUGUSTIN,"2135, rue de la Terrasse-Cadieux",,Québec (23027),G1C 1Z2,Canada,(418) 667-3910,Capitale-Nationale (03),Beauport (03133),Québec (230),Montmorency (673),CHSLD    Hôpital de jour; CHSLD   320 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5233-6021,CENTRE D'HÉBERGEMENT YVONNE-SYLVAIN,CENTRE D'HÉBERGEMENT YVONNE-SYLVAIN,"3365, rue Guimont",,Québec (23027),G1E 2H1,Canada,(418) 663-8171,Capitale-Nationale (03),Beauport (03133),Québec (230),Jean-Lesage (623),CHSLD    Centre de jour; CHSLD   116 Lit(s) d'hébergement permanent,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4706,CENTRE DE SERVICES AMBULATOIRES EN SANTÉ MENTALE SAINT-VALLIER,CENTRE SERV. AMB. EN SANTÉ MENTALE SAINT-VALLIER,"388, rue Saint-Vallier Ouest",,Québec (23027),G1K 1K6,Canada,(418) 522-1555,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),"CHSGS    Centre de jour, santé mentale",(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-9920,CENTRE DE SERVICES EXTERNES POUR LES AÎNÉS DE VITRÉ,CENTRE SERVICES EXTERNES AÎNÉS DE VITRÉ,"2355, avenue de Vitré",,Québec (23027),G1J 5B3,Canada,(418) 529-0252,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Jean-Lesage (623),CHSLD    Services externes; CHSLD    Centre de jour,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5404-5042,CLSC DE BAIE-SAINTE-CATHERINE,CLSC DE BAIE-SAINTE-CATHERINE,"309, rue Leclerc",,Baie-Sainte-Catherine (15065),G0T 1A0,Canada,(418) 237-4272,Capitale-Nationale (03),Charlevoix-Est (03142),Charlevoix-Est (150),Charlevoix--Côte-de-Beaupré (679),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5365-9272,CLSC DE BAIE-SAINT-PAUL,CLSC DE BAIE-SAINT-PAUL,"5, rue Boivin",,Baie-Saint-Paul (16013),G3Z 1S6,Canada,(418) 435-5475,Capitale-Nationale (03),Charlevoix-Ouest (03141),Charlevoix (160),Charlevoix--Côte-de-Beaupré (679),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5362-4698,CLSC DE BEAUPORT,CLSC DE BEAUPORT,"3666, chemin Royal",,Québec (23027),G1E 1X5,Canada,(418) 663-2572,Capitale-Nationale (03),Beauport (03133),Québec (230),Jean-Lesage (623),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-1462,CLSC DE CAP-ROUGE,CLSC DE CAP-ROUGE,"1100, boul. de la Chaudière, bureau 115",,Québec (23027),G1Y 0A1,Canada,(418) 651-2572,Capitale-Nationale (03),Laurentien (03121),Québec (230),Louis-Hébert (653),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5410-2777,CLSC DE CHARLESBOURG,CLSC DE CHARLESBOURG,"190, 76e Rue Est",,Québec (23027),G1H 7K4,Canada,(418) 628-2572,Capitale-Nationale (03),Charlesbourg (03132),Québec (230),Charlesbourg (619),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5293-6697,CLSC DE DONNACONA,CLSC DE DONNACONA,"400, Route 138",,Donnacona (34025),G3M 1C3,Canada,(418) 285-2626,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-8410,CLSC DE LA BASSE-VILLE,CLSC DE LA BASSE-VILLE,"50, rue Saint-Joseph Est",,Québec (23027),G1K 3A5,Canada,(418) 529-2572,Capitale-Nationale (03),Québec - Basse-Ville (03125),Québec (230),Taschereau (633),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-8708,CLSC DE LA MALBAIE,CLSC DE LA MALBAIE,"535, boulevard de Comporté",,La Malbaie (15013),G5A 1S8,Canada,(418) 665-6413,Capitale-Nationale (03),Charlevoix-Est (03142),Charlevoix-Est (150),Charlevoix--Côte-de-Beaupré (679),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-3238,CLSC DE L'ANCIENNE-LORETTE,CLSC DE L'ANCIENNE-LORETTE,"1320, rue Saint-Paul",,L'Ancienne-Lorette (23057),G2E 1Z4,Canada,(418) 651-2572,Capitale-Nationale (03),Laurentien (03121),Québec (230),La Peltrie (603),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-1975,CLSC DE L'ÎLE-D'ORLÉANS,CLSC DE L'ÎLE-D'ORLÉANS,"1015, rue Prévost, suite 400",,Saint-Pierre-de-L'Île-d'Orléans (20025),G0A 4E0,Canada,(418) 828-2241,Capitale-Nationale (03),Orléans (03134),L'Île-d'Orléans (200),Charlevoix--Côte-de-Beaupré (679),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-2379,CLSC DE LIMOILOU,CLSC DE LIMOILOU,"1405, chemin de la Canardière",,Québec (23027),G1J 0A7,Canada,(418) 529-2572,Capitale-Nationale (03),Limoilou-Vanier (03126),Québec (230),Jean-Lesage (623),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5365-9264,CLSC DE L'ISLE-AUX-COUDRES,CLSC DE L'ISLE-AUX-COUDRES,"25, chemin de la Traverse",,L'Isle-aux-Coudres (16023),G0A 3J0,Canada,(418) 438-2788,Capitale-Nationale (03),Charlevoix-Ouest (03141),Charlevoix (160),Charlevoix--Côte-de-Beaupré (679),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-5241,CLSC DE MONTCALM,CLSC DE MONTCALM,"383, chemin Sainte-Foy",,Québec (23027),G1S 2J1,Canada,(418) 641-2572,Capitale-Nationale (03),Québec - Haute-Ville (03124),Québec (230),Taschereau (633),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3229,CLSC DE PONT-ROUGE,CLSC DE PONT-ROUGE,"3, rue du Jardin",,Pont-Rouge (34017),G3H 0A8,Canada,(418) 873-6062,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4078,CLSC DE PORTNEUF,CLSC DE PORTNEUF,"655, avenue de l'Église",,Portneuf (34048),G0A 2Y0,Canada,(418) 285-2626,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3237,CLSC DE RIVIÈRE-À-PIERRE,CLSC DE RIVIÈRE-À-PIERRE,"605, rue de l'Église Est",,Rivière-à-Pierre (34135),G0A 3A0,Canada,(418) 323-2253,Capitale-Nationale (03),Portneuf (03111),Portneuf (340),Portneuf (599),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
