row_id,Facility Name,Type,Address,City,Province,Country,Postal Code,Contact Phone,Link to Details,type
Canada-National-35-CAN-RetirementHomes-output-114,The Kensington,"Assisted Living, Independent Living",25 Lakeshore Rd W,Oakville,ON,Canada,L6K 1C6,905-844-4000,http://www.reveraliving.com/retirement-living/locations/the-kensington,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-115,The Kensington,Independent Living,3965 Shelbourne St,Victoria,BC,Canada,V8N 6J4,250-477-1232,http://www.reveraliving.com/retirement-living/locations/the-kensington-victoria,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-116,The Renoir,"Assisted Living, Independent Living, Memory Care",270 Doak Lane,Newmarket,ON,Canada,L3Y 0A5,(905) 853-6400,http://www.reveraliving.com/retirement-living/locations/The-Renoir,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-117,The Village,"Independent Living, Seniors' Apartments",101 10th St,Hanover,ON,Canada,N4N 1M9,519-364-4320,http://www.reveraliving.com/retirement-living/locations/the-village,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-118,The Waverley,Independent Living,857 Wilkes Ave,Winnipeg,MB,Canada,R3P 2M2,204-487-9600,http://www.reveraliving.com/retirement-living/locations/waverley,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-119,The Wellington,Independent Living,3161 Grant Ave,Winnipeg,MB,Canada,R3R 3R1,204-831-0788,http://www.reveraliving.com/retirement-living/locations/the-wellington,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-120,The Westwood,"Assisted Living, Independent Living, Memory Care",2374 Carling Ave,Ottawa,ON,Canada,K2B 7G5,613-820-7333,http://www.reveraliving.com/retirement-living/locations/the-westwood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-121,The Williamsburg,"Assisted Living, Independent Living",1893 Appleby Line,Burlington,ON,Canada,L7L 0G5,905-335-1121,http://www.reveraliving.com/retirement-living/locations/The-Williamsburg,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-122,Trafalgar Lodge,"Assisted Living, Independent Living",299 Randall St,Oakville,ON,Canada,L6J 6B4,905-842-8408,http://www.reveraliving.com/retirement-living/locations/trafalgar-lodge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-123,Trillium Court,"Independent Living, Seniors' Apartments",550 Philip Place,Kincardine,ON,Canada,N2Z 3A6,519-396-4400,http://www.reveraliving.com/retirement-living/locations/trillium-court,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-124,Valley Stream,"Assisted Living, Independent Living, Memory Care",2 Valley Stream Drive,Nepean,ON,Canada,K2H 0A5,(613) 232-2202,http://www.reveraliving.com/retirement-living/locations/Valley-Stream,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-125,Victoria Place,"Assisted Living, Independent Living",290 Queen St S,Kitchener,ON,Canada,N2G 1W3,519-576-1300,http://www.reveraliving.com/retirement-living/locations/victoria-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-126,Village on the Ridge,"Assisted Living, Independent Living, Memory Care",9 Myrtle St,Ridgetown,ON,Canada,N0P 2C0,519-674-5427,http://www.reveraliving.com/retirement-living/locations/village-on-the-ridge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-127,Westney Gardens,Independent Living,1010 Westney Rd North,Ajax,ON,Canada,L1T 3H3,1-844-573-8372,http://www.reveraliving.com/retirement-living/locations/Westney-Gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-128,Whitecliff,"Assisted Living, Independent Living, Memory Care",15501 16th Ave,South Surrey,BC,Canada,V4A 9M5,604-538-7227,http://www.reveraliving.com/retirement-living/locations/whitecliff,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-129,William Place,Independent Living,140 William St N,Lindsay,ON,Canada,K9V 5R4,705-328-1016,http://www.reveraliving.com/retirement-living/locations/william-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-130,Windermere On The Mount,"Independent Living, Seniors' Apartments",1486 Richmond St,London,ON,Canada,N6G 2M3,519-432-9863,http://www.reveraliving.com/retirement-living/locations/windermere-on-the-mount,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-131,Windsor Park,Independent Living,990 Hunt Club Road,Ottawa,ON,Canada,K1V 8S8,(613) 249-0722,http://www.reveraliving.com/retirement-living/locations/Windsor-Park,Retirement Home
