Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,country
Leduc Day Program,108 West Haven Drive,Leduc,T9E 0R7,AB,780-980-3064 (Switchboard),,Wheel chair access available.,Wait time vari,"To access the program, people must:Ê",Canada
Legacy Lodge,335 Lettice Perry Road,Lethbridge,T1H 5V7,AB,403-942-8400 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Leisure Way,RR 52 TWP 114,Medicine Hat,T1A 7M9,AB,403-526-2536 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Lewis Estates Retirement Residence,9310 211 Street,Edmonton,T5T 4N8,AB,780-452-2273 (Switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Lifestyle Options Riverbend,200 Falconer Court,Edmonton,T6R 2V9,AB,780-433-2223 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Lifestyle Options Terra Losa,17203 99 Avenue,Edmonton,T5T 6S5,AB,,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Lifestyle Options Whitemud,4069 106 Street,Edmonton,T6J 4N5,AB,780-437-7171 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Louise Jensen Care Centre,5400 46 Avenue,Camrose,T4V 4P8,AB,780-679-3096,780-679-3099,Wheel chair access available.,,,Canada
Macleod Pioneer Lodge,660 28 Street,Fort Macleod,T0L 0Z0,AB,403-553-3663 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Manning Community Health Centre,600 2 Street,Manning,T0H 2M0,AB,780-836-3391 (Switchboard),780-836-7352,Wheel chair access available.,Visting Hours Monday - Sunday 8:00 am to 8:00 p,,Canada
Mannville Care Centre,5007 46 Street,Mannville,T0B 2W0,AB,780-763-3621,780-763-3678,Wheel chair access available.,,,Canada
Manoir du Lac ,164  3 Avenue,McLennan,T0H 2L0,AB,780-786-2211(Switchboard),,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Mary Immaculate Care Centre,Polomark Drive and 53 Street,Mundare,T0B 3H0,AB,780-764-3730 (Switchboard),780-764-3039,Wheel chair access available.,Visiting Hours Monday - Sunday 8:00 am to 8:00 p,,Canada
Mayerthorpe Healthcare Centre,4417 45 Street,Mayerthorpe,T0E 1N0,AB,780-786-2261 (Switchboard),780-786-2023,Wheel chair access available.; Parking for disabled.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Adults 18 years of age and older.,Canada
Mayfair Care Centre,8240 Collicutt Street,Calgary,T2V 2X1,AB,403-252-4445,403-253-6216,Wheel chair access available.,,,Canada
McKenzie Towne Continuing Care Centre,80 Promenade Way,Calgary,T2Z 4G4,AB,403-508-9808,403-257-9268,,,,Canada
McKenzie Towne Retirement Residence,20 Promenade  Park,Calgary,T2Z 4E8,AB,403-257-9331 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Meadow Lands,223 Park Meadows Drive,Medicine Hat,T1B 4K7,AB,403-504-5123 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Medicine Hat 4 River Ridge Drive NW,4 River Ridge Drive,Medicine Hat,T1A 8V1,AB,403-526-8338 (Switchboard),403-528-8001,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Memory Lane,4612 53 Street,Camrose,T4V 1Y6,AB,780-679-3000 (Switchboard),,Wheel chair access available.,,Clients are assessed to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Milk River Health Centre,517 Centre Avenue,Milk River,T0K 1M0,AB,403-647-3500 (Switchboard),403-647-2197,Wheel chair access available.,Closed for lunch from 12:00 pm (noon)Ê toÊ 1:00 p,,Canada
Miller Crossing Care Centre,14251 50 Street,Edmonton,T5A 5J4,AB,780-478-9212 (switchboard),780-478-2894,Wheel chair access available.,,,Canada
Millrise Place,14911 5 Street,Calgary,T2Y 5B9,AB,403-410-9155 (switchboard),403-254-0478,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Millwoods Shepherd's Care Centre,6620 28 Avenue,Edmonton,T6K 2R1,AB,780-463-9810,780-462-1643,Wheel chair access available.,,,Canada
Mount Royal Care Centre,1813 9 Street,Calgary,T2T 3C2,AB,403-244-8994,403-244-5939,Wheel chair access available.,,,Canada
Mountain View Centre ,1290 Switzer Drive,Hinton,T7V 1E9,AB,780-865-5926 (Switchboard),780-865-4098,Wheel chair access available.,Open weekday,,Canada
Newport Harbour Care Centre,10 Country Village Cove,Calgary,T3K 6B4,AB,403-567-5100 (switchboard),403-567-5101,Wheel chair access available.,,,Canada
Northern Lights Regional Health Centre,7 Hospital Street,Fort McMurray,T9H 1P2,AB,780-791-6161 (Switchboard),780-791-6167,Wheel chair access available.,Visiting Hours Monday - Sunday 12:00 pm to 10:00 p,Adults 18 years and older,Canada
Northwest Health Centre ,11202 100 Avenue,High Level,T0H 1Z0,AB,780-841-3200 (Switchboard),,Wheel chair access available.,Closed for lunch from 12:00 pm to 1:00 pm.Hours may vary over holidays.Please call to confirm availabilit,,Canada
Oilfields General Hospital,717 Government  Road,Black Diamond,T0L 0H0,AB,403-933-2222 (Switchboard),403-933-2031,Wheel chair access available.,"Visiting Hours Monday - Sunday 10:30 am to 12:30 pm; 
                               2:00 pm to 8:00 p",,Canada
Onoway Community Health Services,4919 Lac Ste Anne Trail,Onoway,T0E 1V0,AB,,,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 p,,Canada
Orchard Manor,951 Cassils Road,Brooks,T1R 1K9,AB,403-362-6188 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Our Parents' Home,10112 119 Street,Edmonton,T5K 1Y9,AB,,,,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Parkland Lodge,4619 9 Avenue,Edson,T7E 1R7,AB,780-865-5444 (switchboard),780-723-7347,Wheel chair access available.,"Admin, Mon-Fri 8-4:30, closed stats & weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Peace River Community Health Centre,10101 68 Street,Peace River,T8S 1T6,AB,780-624-7500,780-618-3472,Wheel chair access available.; Parking and ramps.,Daily:  8:00 am - 4:00 pm and 24 hours emergenc,,Canada
Pines Lodge,52 Piper  Drive,Red Deer,T4P 1H8,AB,403-343-0656 (switchboard),403-343-7789,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Piyami Lodge,301 Rogers Avenue,Picture Butte,T0K 1V0,AB,403-732-4811 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Piyami Place,301 Cowan Avenue,Picture Butte,T0K 1V0,AB,403-732-4811 (Switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Place Beausejour,5020 52 Avenue,Beaumont,T4X 1P3,AB,780-929-9000 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Pleasant View Lodge,4606 54 Street,Mayerthorpe,T0E 1N0,AB,780-786-2393 (switchboard),780-786-4827,Wheel chair access available.,"Admin, Mon-Fri, 8-4:30 closed stats & weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Pleasant View Lodge,1039 1 Street,Bow Island,T0K 0G0,AB,403-545-2161 (switchboard),,Wheel chair access available.; Elevator between floors.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Points West Living Century Park,4613 50 Street,Vegreville,T9C 1L7,AB,780-423-5959 (Switchboard),,Wheel chair access available.,Monday: 8:30 am - 4:00 pm.Tuesday: 8:30 am - 4:00 pm.Wednesday: 8:30 am - 4:00 pm.Thursday: 8:30 am - 4:00 pm.Friday: 8:30 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Points West Living Lloydminster,4025 56 Avenue,Lloydminster,T9V 1N9,AB,780-874-4300 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Points West Living Peace River,11011 99 Street,Peace River,T8S 1B3,AB,780-624-0700 (Switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Points West Living Stettler,4501 70 Street,Stettler,T0C 2L3,AB,403-740-7700 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Points West Living Wainwright,2710 11 Avenue,Wainwright,T9W 0B1,AB,780-845-2080 (Switchboard),,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Prairie Rose Lodge,117 3 Avenue,Milk River,T0K 1M0,AB,403-647-3531 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Prince of Peace Manor,285030 Luther Rose  Boulevard,Calgary,T1X 1M9,AB,403-285-5080 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Providence Place,6120 51 Avenue,Daysland,T0B 1A0,AB,780-374-2527 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Provost Health Centre,5002 54 Avenue,Provost,T0B 3S0,AB,780-753-2291 (Switchboard),780-753-6132,Wheel chair access available.; Ambulance bay,Visiting Hours Monday - Sunday 2:00 pm to 8:00 p,,Canada
Queen Elizabeth II Hospital,10409 98 Street,Grande Prairie,T8V 2E8,AB,780-538-7100 (Switchboard),780-538-7500,Wheel chair access available.,Visiting Hours Monday - Sunday 2:00 pm to 8:00 p,Adults 18 years and older,Canada
Radway Continuing Care Centre ,5002 52 Street,Radway,T0A 2V0,AB,780-736-3740,780-736-2353,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Raymond Health Centre,150 N 4  Street,Raymond,T0K 2S0,AB,403-752-4561 (Switchboard),403-752-3554,Wheel chair access available.; Washrooms are wheelchair accessbile,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,,Canada
Redwater Health Centre ,4812 58 Street,Redwater,T0A 2W0,AB,780-942-3932,780-942-2373,Wheel chair access available.,Closed statutory holiday,Adults (young adults under 18 may be considered),Canada
Revera Heartland,47 Riverside Gate,Okotoks,T1S 0J2,AB,403-938-4448 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Ridgevalley Seniors Home,Rural Route 1 - Site 1,Crooked Creek,T0H 0Y0,AB,(780) 957-2372 (switchboard),,,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Riverbend Retirement Residence,103 Rabbit Hill Court,Edmonton,T6R 2V3,AB,780-438-2777 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Rivercrest Care Centre,10104 101 Avenue,Fort Saskatchewan,T8L 2A5,AB,780-998-2425,780-992-9432,Wheel chair access available.,,,Canada
Rocky Ridge Retirement Community ,10715 Rocky Ridge Boulevard,Calgary,T3G 4G1,AB,403-879-1748 (Switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Rosedale at Griesbach,4480 McCrae  Avenue,Edmonton,T5E 0Y5,AB,780-478-2233 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Rosedale Estates,10101 111 Street,Edmonton,T5K 2W4,AB,780-425-1668 (Switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Rosedale St Albert,20 Hebert Road,St. Albert,T8N 3Y6,AB,780-460-1600 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Royal Oak Manor,4501 College Avenue,Lacombe,T4L 2M8,AB,403-782-4435 (Switchboard),,Wheel chair access available.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 pm.Hours quoted are for front reception onl,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sacred Heart Community Health Centre,350 3 Avenue,McLennan,T0H 2L0,AB,780-324-3730 (Switchboard),780-324-2267,Wheel chair access available.,Visiting Hours Monday - Sunday 1:00 pm to 8:00 p,,Canada
Saint Thomas Assisted Living Centre,8411 91 Street,Edmonton,T6C 1Z9,AB,780-450-2987 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Salem Manor Nursing Home,4419 46 Street,Leduc,T9E 6L2,AB,780-986-8654,780-986-4130,Wheel chair access available.,,,Canada
Salvation Army Grace Manor,12510 140 Avenue,Edmonton,T5X 6C4,AB,780-454-5484 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Scenic Acres Retirement Residence,150 Scotia Landing,Calgary,T3L 2K1,AB,403-208-0338 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Serenity House,4552 Madsen  Avenue,Drayton Valley,T7A 1T2,AB,780-542-3610 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Seton - Jasper Healthcare Centre,518 Robson Street,Jasper,T0E 1E0,AB,780-852-3344 (Switchboard),780-852-3413,Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 9:00 p,Adults 18 years of age and older.,Canada
Shepherd's Care Ashbourne,11148 84 Avenue,Edmonton,T6G 0V8,AB,780-430-5800 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Shepherd's Care Barrhead,5236 59 Street,Barrhead,T7N 0A3,AB,,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Shepherd's Care Kensington,12603 135  Avenue,Edmonton,T5L 5B2,AB,780-447-3840 (Switchboard),,Wheel chair access available.,,,Canada
Shepherd's Care Vanguard ,10311 122 Avenue,Edmonton,T5G 0K8,AB,780-474-1798 (Switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sherwood Care,2020 Brentwood  Boulevard,Sherwood Park,T8A 0X1,AB,780-467-2281,780-449-1529,Wheel chair access available.,,,Canada
Silver Birch Lodge,910 Bison Way,Sherwood Park,T8H 2C4,AB,780-400-3600,780-467-7018,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 pm.Closed statutory holiday,"To access the program, people must:Ê",Canada
Silver Willow Lodge,2007 22 Avenue,Nanton,T0L 1R0,AB,403-646-2660 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Smithfield Lodge,10203 97 Street,Westlock,T7P 2H1,AB,780-349-4123 (Switchboard),,Wheel chair access available.,"Admin, Mon-Fri, 8-4:30 closed stats & weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Smoky Lake Continuing Care Centre,4607 52 Avenue,Smoky Lake,T0A 3C0,AB,780-656-3818,780-656-3010,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
South Terrace Continuing Care Centre,5905 112 Street,Edmonton,T6H 3J4,AB,780-434-1451,780-436-4300,Wheel chair access available.,,,Canada
Spruce Grove Centre,415 King Street,Spruce Grove,T7X 3Y8,AB,,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Spruce View Lodge,12 Sunset Boulevard,Whitecourt,T7S 1S9,AB,780-778-5530 (switchboard),,Wheel chair access available.,"Admin Mon-Fri, 8-4:30 closed stats & weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
St. Joseph's Auxiliary Hospital,10707 29 Avenue,Edmonton,T6J 6W1,AB,780-430-9110 (Switchboard),780-430-9777,Wheel chair access available.; All Day programs operate out of Wheelchair accessible facilities.,Clients attend once or twice weekly from 10:00 am to 4:00 p,"To access the program, people must:Ê",Canada
St. Michael's Long Term Care Centre,7404 139 Avenue,Edmonton,T5C 3H7,AB,780-473-5621,780-472-4506,Wheel chair access available.; All Day programs operate out of Wheelchair accessible facilities.; Elevator available;; Free Parking,Clients attend once or twice weekly from 10:00 am to 4:00 p,"To access the program, people must:Ê",Canada
St. Paul Community Health Services,5610 50 Avenue,St. Paul,T0A 3A1,AB,780-645-3396,780-645-6609,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 p,,Canada
St. Theresa General Hospital ,4506 46 Avenue,Fort Vermilion,T0H 1N0,AB,780-927-3761 (Switchboard),780-927-6207,,Visiting Hours Monday - Sunday 12:00 pm to 8:00 p,Adults 18 years of age and older.,Canada
St. Therese - St. Paul Healthcare Centre,4713 48  Avenue,St. Paul,T0A 3A3,AB,780-645-3331 (Switchboard),780-645-1702,"Wheel chair access available.; Handicap parking stalls, automatic doors and elevator.",Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Adults 18 years and older,Canada
St. Therese Villa,253 Southgate Boulevard,Lethbridge,T1K 2S1,AB,403-382-6405 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Stone Brook,4902 59 Street,Grimshaw,T0H 1W0,AB,780-332-4183 (Switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Strafford Foundation Tudor Manor,200 Sandstone Drive,Okotoks,T1S 1R1,AB,403-995-9540 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Strathmore District Health Services,200 Brent Boulevard,Strathmore,T1P 1J9,AB,403-361-7000 (Switchboard),403-361-7048,Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Must be a Home Care client over the age of 65.Ê,Canada
Summerwood Village Retirement Residence,4255 Cloverbar Road,Sherwood Park,T8H 0C9,AB,,,Trained for visually/hearing impaired,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Sunny South Lodge,1122 20 Avenue,Coaldale,T1M 1L4,AB,403-345-5955 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Sunnyside Care Centre,1720 Bell Street,Medicine Hat,T1A 5G1,AB,403-527-3838 (Switchboard),403-527-4690,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunrise Gardens,1235 3 Street,Brooks,T1R 0P7,AB,403-794-2105 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunrise Village Camrose,6821 50 Avenue,Camrose,T4V 5G5,AB,780-672-2746 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Sunrise Village Drayton Valley,3902 47 Street,Drayton Valley,T7A 1T1,AB,780-542-5572 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunrise Village High River,660 7 Street,High River,T1V 1S7,AB,403-652-1581 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Sunrise Village Olds,5600 Sunrise Crescent,Olds,T4H 1R8,AB,403-556-1971 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunrise Village Ponoka,4004 40 Street Close,Ponoka,T4J 0A3,AB,403-783-3373 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunrise Village Wetaskiwin,5430 37A Avenue,Wetaskiwin,T9A 3A8,AB,780-352-4725 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Sunset Manor,3312 52 Avenue,Innisfail,T4G 0C3,AB,403-227-8200 (Switchboard),,Wheel chair access available.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Taber Health Centre,4326 50 Avenue,Taber,T1G 1N9,AB,403-223-7211 (Switchboard),403-223-1703,Wheel chair access available.,Visiting Hours Monday - Sunday 10:00 am to 1:00 pm; 2:00 pm to 8:00 p,,Canada
The Gardens at Emerald Park,10402 111 Street,Grande Prairie,T8V 8G4,AB,780-539-5538 (switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
The Wellington Retirement Residence,1595 Southview  Drive,Medicine Hat,T1B 0A1,AB,403-526-2225 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Thorhild Community Health Services,302 2 Avenue,Thorhild,T0A 3J0,AB,780-398-3879 (switchboard),780-398-2671,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 pm.Closed Stat Holidays and Lunch Hour,,Canada
Tofield Health Centre,5543 44 Street,Tofield,T0B 4J0,AB,780-662-3263,780-662-3835,Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,,Canada
Touchmark at Wedgewood,18333  Lessard  Road,Edmonton,T6M 2Y5,AB,780-577-5000 (switchboard),780-484-6045,Wheel chair access available.,Caregivers are on staff 24,,Canada
Trochu - St. Mary's Health Care Centre,451 DeChauney Avenue,Trochu,T0M 2C0,AB,403-442-3955 (Switchboard),403-442-3945,Wheel chair access available.; Wheelchair accessible washroom - only available one for the public is on main floor.,Facility is locked from 1700H - 0800H and locked 24 hours on week-ends and Statutory holidays. Access may be granted via buzzer system.  One MUST schedule appointments to access DI or Lab service,,Canada
Tuoi Hac - Golden Age Manor,12607 148 Avenue,Edmonton,T5X 0C2,AB,780-476-8038 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Two Hills Health Centre,4401 53 Avenue,Two Hills,T0B 4K0,AB,780-657-3344,780-657-2508,Wheel chair access available.,"Visiting Hours:  11:00 am - 8:00 pm
24-Hour Emergency Servic",,Canada
Valleyview Health Centre,4802    Highway Street,Valleyview,T0H 3N0,AB,780-524-3356 (Switchboard),780-524-2107,Wheel chair access available.; Designated disabled parking spots.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,"Adults 18 years and older with a chronic disease or at risk of developing a chronic disease and able to participate in a group environment, and their families or caregivers.",Canada
Valleyview,65 Valleyview Drive,Medicine Hat,T1A 7K5,AB,403-526-7000 (switchboard),403-526-7449,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Vanderwell Heritage Place,301 6 Avenue,Slave Lake,T0G 2A0,AB,780-849-2927 (switchboard),780-849-5251,Wheel chair access available.,"Admin, Mon-Fri, 8-4:30 closed stats & weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Vegreville Care Centre,4525 50 Street,Vegreville,T9C 0A1,AB,780-632-2871,780-632-6680,Wheel chair access available.,,,Canada
Vegreville Manor,5913 49 Street,Vegreville,T9C 1X4,AB,780-632-3540 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Venta Care Centre,13525 102 Street,Edmonton,T5E 4K3,AB,780-476-6633,780-476-6943,Wheel chair access available.,,,Canada
Vermilion Valley Lodge,4610 53 Avenue,Vermilion,T9X 1G6,AB,780-853-5706 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Viewpoint,4503 48 Street,Camrose,T4V 4Z7,AB,780-672-5045 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Viking Health Centre,5110 57 Avenue,Viking,T0B 4N0,AB,780-336-4786,780-336-4983,Wheel chair access available.; Ambulance Bay,Visiting hours are 11:00 AM - 8:00 ,,Canada
Villa Marguerite,9810 165 Street,Edmonton,T5P 3S7,AB,,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Villa Marie,10 Carrington Drive,Red Deer,T4P 0S3,AB,403-406-5700 (Switchboard),403-406-5827,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
